Date,iShares Int High Yield BondEtf_Open_average,iShares Int High Yield BondEtf_Open_max,iShares Int High Yield BondEtf_Open_min,iShares Int High Yield BondEtf_High_average,iShares Int High Yield BondEtf_High_max,iShares Int High Yield BondEtf_High_min,iShares Int High Yield BondEtf_Low_average,iShares Int High Yield BondEtf_Low_max,iShares Int High Yield BondEtf_Low_min,iShares Int High Yield BondEtf_Close_average,iShares Int High Yield BondEtf_Close_max,iShares Int High Yield BondEtf_Close_min
2019-07-14,0.6876370166696328,0.6876370166696328,0.6876370166696328,0.56849354909549,0.56849354909549,0.56849354909549,0.7122670841537092,0.7122670841537092,0.7122670841537092,0.5916404459233778,0.5916404459233778,0.5916404459233778
2019-07-21,0.4750083145614812,0.4750083145614812,0.4750083145614812,0.42160646163198556,0.42160646163198556,0.42160646163198556,0.5545464950983596,0.5545464950983596,0.5545464950983596,0.4443985737025618,0.4443985737025618,0.4443985737025618
2019-07-28,-0.0438800732332772,-0.0438800732332772,-0.0438800732332772,-0.12964084352396749,-0.12964084352396749,-0.12964084352396749,-0.13245829205103055,-0.13245829205103055,-0.13245829205103055,-0.1265781588254874,-0.1265781588254874,-0.1265781588254874
2019-08-04,0.3273604311779521,0.3273604311779521,0.3273604311779521,0.3113805395969437,0.3113805395969437,0.3113805395969437,0.4035076087128779,0.4035076087128779,0.4035076087128779,0.3656293739284007,0.3656293739284007,0.3656293739284007
2019-08-11,-0.7736647644177934,-0.7736647644177934,-0.7736647644177934,-0.7294544021960393,-0.7294544021960393,-0.7294544021960393,-0.7266234163888887,-0.7266234163888887,-0.7266234163888887,-0.669005972044904,-0.669005972044904,-0.669005972044904
2019-08-18,-0.03309705987856209,-0.03309705987856209,-0.03309705987856209,0.43900370248355913,0.43900370248355913,0.43900370248355913,0.0059002034750888326,0.0059002034750888326,0.0059002034750888326,0.40844094626011757,0.40844094626011757,0.40844094626011757
2019-08-25,-0.3513261252614875,-0.3513261252614875,-0.3513261252614875,-0.4362347567624592,-0.4362347567624592,-0.4362347567624592,-0.7015675555753969,-0.7015675555753969,-0.7015675555753969,-0.8332568912636419,-0.8332568912636419,-0.8332568912636419
2019-09-01,-0.10056752835863846,-0.10056752835863846,-0.10056752835863846,-0.2558471448084472,-0.2558471448084472,-0.2558471448084472,-0.06266075332774682,-0.06266075332774682,-0.06266075332774682,-0.2119089412595466,-0.2119089412595466,-0.2119089412595466
2019-09-08,0.545854809653005,0.545854809653005,0.545854809653005,0.5862901828826971,0.5862901828826971,0.5862901828826971,0.6941399143893823,0.6941399143893823,0.6941399143893823,0.5053099293684165,0.5053099293684165,0.5053099293684165
2019-09-15,-0.4134220530609494,-0.4134220530609494,-0.4134220530609494,-0.547975890570215,-0.547975890570215,-0.547975890570215,-0.4857519272134266,-0.4857519272134266,-0.4857519272134266,-0.569217862788816,-0.569217862788816,-0.569217862788816
2019-09-22,-1.6266569275658227,-1.6266569275658227,-1.6266569275658227,-1.754194280157527,-1.754194280157527,-1.754194280157527,-1.7726490259321535,-1.7726490259321535,-1.7726490259321535,-1.8551148846185064,-1.8551148846185064,-1.8551148846185064
2019-09-29,-1.5648449492819438,-1.5648449492819438,-1.5648449492819438,-1.5918586144596323,-1.5918586144596323,-1.5918586144596323,-1.7789672160614096,-1.7789672160614096,-1.7789672160614096,-1.6018360934526386,-1.6018360934526386,-1.6018360934526386
2019-10-06,-0.34284479491179476,-0.34284479491179476,-0.34284479491179476,-0.49093974231637055,-0.49093974231637055,-0.49093974231637055,-0.3639732605287613,-0.3639732605287613,-0.3639732605287613,-0.3438339540859984,-0.3438339540859984,-0.3438339540859984
2019-10-13,1.9413035851607838,1.9413035851607838,1.9413035851607838,1.6807552096357001,1.6807552096357001,1.6807552096357001,1.875771553448579,1.875771553448579,1.875771553448579,1.7366512162229177,1.7366512162229177,1.7366512162229177
2019-10-20,1.0247279183239386,1.0247279183239386,1.0247279183239386,0.8383558708366748,0.8383558708366748,0.8383558708366748,0.7517792113801687,0.7517792113801687,0.7517792113801687,0.6738026808031257,0.6738026808031257,0.6738026808031257
2019-10-27,1.5332970098858363,1.5332970098858363,1.5332970098858363,1.4425493583095927,1.4425493583095927,1.4425493583095927,1.5450379775667031,1.5450379775667031,1.5450379775667031,1.5066249055369267,1.5066249055369267,1.5066249055369267
2019-11-03,0.07815759545458663,0.07815759545458663,0.07815759545458663,-0.05241124219423478,-0.05241124219423478,-0.05241124219423478,0.19121417096940035,0.19121417096940035,0.19121417096940035,0.05518834386726437,0.05518834386726437,0.05518834386726437
2019-11-10,0.20426201257846396,0.20426201257846396,0.20426201257846396,0.18108542572765768,0.18108542572765768,0.18108542572765768,0.35447723323805885,0.35447723323805885,0.35447723323805885,0.3264623805324301,0.3264623805324301,0.3264623805324301
2019-11-17,-0.1319599194563201,-0.1319599194563201,-0.1319599194563201,-0.0775192372432306,-0.0775192372432306,-0.0775192372432306,-0.1507183164437942,-0.1507183164437942,-0.1507183164437942,-0.1866395828285796,-0.1866395828285796,-0.1866395828285796
2019-11-24,0.17830523917194274,0.17830523917194274,0.17830523917194274,0.8615680463220461,0.8615680463220461,0.8615680463220461,0.31121230092759117,0.31121230092759117,0.31121230092759117,0.8817158393842747,0.8817158393842747,0.8817158393842747
