Date,BKEAY_Open_average,BKEAY_Open_max,BKEAY_Open_min,BKEAY_Open_volatility,BKEAY_Open_change,BKEAY_High_average,BKEAY_High_max,BKEAY_High_min,BKEAY_High_volatility,BKEAY_High_change,BKEAY_Low_average,BKEAY_Low_max,BKEAY_Low_min,BKEAY_Low_volatility,BKEAY_Low_change,BKEAY_Close_average,BKEAY_Close_max,BKEAY_Close_min,BKEAY_Close_volatility,BKEAY_Close_change,BKEAY_Volume_average,BKEAY_Volume_max,BKEAY_Volume_min,BKEAY_Volume_volatility,BKEAY_Volume_change
2016-08-28,4.02,4.04,4.0,0.040000000000000036,0.040000000000000036,4.03125,4.055,4.0,0.054999999999999716,0.024999999999999467,4.0075,4.03,4.0,0.03000000000000025,0.0,4.0287500000000005,4.055,4.0,0.054999999999999716,0.024999999999999467,9508,24671,3000,21671,-19732
2016-09-04,4.232333333333333,4.27,4.207,0.06299999999999972,0.04999999999999982,4.232333333333333,4.27,4.207,0.06299999999999972,0.04999999999999982,4.216,4.26,4.18,0.08000000000000007,0.0519999999999996,4.216,4.26,4.18,0.08000000000000007,0.0519999999999996,3492,7000,1476,5524,5524
2016-09-11,4.13,4.14,4.12,0.019999999999999574,0.019999999999999574,4.13,4.14,4.12,0.019999999999999574,0.019999999999999574,4.115,4.12,4.11,0.009999999999999787,-0.009999999999999787,4.115,4.12,4.11,0.009999999999999787,-0.009999999999999787,1325,1668,983,685,-685
2016-09-18,4.176,4.192,4.16,0.03200000000000003,-0.03200000000000003,4.1825,4.205,4.16,0.04499999999999993,-0.04499999999999993,4.176,4.192,4.16,0.03200000000000003,-0.03200000000000003,4.1825,4.205,4.16,0.04499999999999993,-0.04499999999999993,394,689,100,589,-589
2016-09-25,4.11,4.12,4.1,0.020000000000000462,0.009999999999999787,4.12,4.14,4.11,0.02999999999999936,0.02999999999999936,4.074666666666666,4.11,4.013999999999999,0.09600000000000097,-0.09600000000000097,4.12,4.14,4.11,0.02999999999999936,0.02999999999999936,4687,6655,952,5703,5703
2016-10-02,4.109999999999999,4.13,4.09,0.040000000000000036,0.040000000000000036,4.115,4.13,4.1,0.03000000000000025,0.03000000000000025,4.109999999999999,4.13,4.09,0.040000000000000036,0.040000000000000036,4.115,4.13,4.1,0.03000000000000025,0.03000000000000025,7151,14152,150,14002,-14002
2016-10-09,4.18,4.23,4.13,0.10000000000000053,-0.10000000000000053,4.18,4.23,4.13,0.10000000000000053,-0.10000000000000053,4.18,4.23,4.13,0.10000000000000053,-0.10000000000000053,4.18,4.23,4.13,0.10000000000000053,-0.10000000000000053,1378,1605,1151,454,-454
2016-10-16,4.055,4.06,4.05,0.009999999999999787,0.009999999999999787,4.07,4.08,4.06,0.020000000000000462,-0.020000000000000462,4.055,4.06,4.05,0.009999999999999787,0.009999999999999787,4.07,4.08,4.06,0.020000000000000462,-0.020000000000000462,6575,12788,363,12425,-12425
2016-10-23,4.03,4.03,4.03,0.0,0.0,4.06,4.06,4.06,0.0,0.0,4.02,4.02,4.02,0.0,0.0,4.06,4.06,4.06,0.0,0.0,8346,8346,8346,0,0
2016-10-30,3.98,3.98,3.98,0.0,0.0,3.98,3.98,3.98,0.0,0.0,3.98,3.98,3.98,0.0,0.0,3.98,3.98,3.98,0.0,0.0,1420,1420,1420,0,0
2016-11-06,3.8225,3.845,3.8,0.04500000000000037,-0.04500000000000037,3.8225,3.845,3.8,0.04500000000000037,-0.04500000000000037,3.8225,3.845,3.8,0.04500000000000037,-0.04500000000000037,3.8225,3.845,3.8,0.04500000000000037,-0.04500000000000037,370,408,332,76,76
2016-11-13,3.966666666666667,4.0,3.93,0.06999999999999984,0.040000000000000036,3.966666666666667,4.0,3.93,0.06999999999999984,0.040000000000000036,3.966666666666667,4.0,3.93,0.06999999999999984,0.040000000000000036,3.966666666666667,4.0,3.93,0.06999999999999984,0.040000000000000036,1311,2613,134,2479,1054
2016-11-20,4.108499999999999,4.167,4.05,0.11699999999999999,0.11699999999999999,4.1185,4.167,4.07,0.09699999999999953,0.09699999999999953,4.1,4.15,4.05,0.10000000000000053,0.10000000000000053,4.11,4.15,4.07,0.08000000000000007,0.08000000000000007,4773,7546,2000,5546,-5546
2016-11-27,4.13,4.2,4.06,0.14000000000000057,-0.14000000000000057,4.13,4.2,4.06,0.14000000000000057,-0.14000000000000057,4.109999999999999,4.2,4.02,0.1800000000000006,-0.1800000000000006,4.109999999999999,4.2,4.02,0.1800000000000006,-0.1800000000000006,2070,3602,538,3064,3064
2016-12-04,4.155,4.16,4.15,0.009999999999999787,0.009999999999999787,4.215,4.28,4.15,0.1299999999999999,0.1299999999999999,4.155,4.16,4.15,0.009999999999999787,0.009999999999999787,4.215,4.28,4.15,0.1299999999999999,0.1299999999999999,9490,14830,4150,10680,10680
