Date,iShares Agency Bond_Open_average,iShares Agency Bond_Open_max,iShares Agency Bond_Open_min,iShares Agency Bond_Open_volatility,iShares Agency Bond_Open_change,iShares Agency Bond_High_average,iShares Agency Bond_High_max,iShares Agency Bond_High_min,iShares Agency Bond_High_volatility,iShares Agency Bond_High_change,iShares Agency Bond_Low_average,iShares Agency Bond_Low_max,iShares Agency Bond_Low_min,iShares Agency Bond_Low_volatility,iShares Agency Bond_Low_change,iShares Agency Bond_Close_average,iShares Agency Bond_Close_max,iShares Agency Bond_Close_min,iShares Agency Bond_Close_volatility,iShares Agency Bond_Close_change
2018-10-14,110.17,110.17,110.17,0.0,0.0,110.26,110.26,110.26,0.0,0.0,110.12,110.12,110.12,0.0,0.0,110.2,110.2,110.2,0.0,0.0
2018-10-21,110.7,110.7,110.7,0.0,0.0,110.7,110.7,110.7,0.0,0.0,110.55,110.55,110.55,0.0,0.0,110.69,110.69,110.69,0.0,0.0
2018-10-28,110.03,110.03,110.03,0.0,0.0,110.12,110.12,110.12,0.0,0.0,110.03,110.03,110.03,0.0,0.0,110.04,110.04,110.04,0.0,0.0
2018-11-04,110.25,110.25,110.25,0.0,0.0,110.26,110.26,110.26,0.0,0.0,110.16,110.16,110.16,0.0,0.0,110.26,110.26,110.26,0.0,0.0
2018-11-11,110.58,110.58,110.58,0.0,0.0,110.74,110.74,110.74,0.0,0.0,110.57,110.57,110.57,0.0,0.0,110.73,110.73,110.73,0.0,0.0
2018-11-18,110.63,110.63,110.63,0.0,0.0,110.71,110.71,110.71,0.0,0.0,110.62,110.62,110.62,0.0,0.0,110.69,110.69,110.69,0.0,0.0
2018-11-25,110.71,110.71,110.71,0.0,0.0,110.84,110.84,110.84,0.0,0.0,110.64,110.64,110.64,0.0,0.0,110.84,110.84,110.84,0.0,0.0
2018-12-02,111.41,111.41,111.41,0.0,0.0,111.5,111.5,111.5,0.0,0.0,111.37,111.37,111.37,0.0,0.0,111.4,111.4,111.4,0.0,0.0
2018-12-09,111.29,111.29,111.29,0.0,0.0,111.47,111.47,111.47,0.0,0.0,111.29,111.29,111.29,0.0,0.0,111.43,111.43,111.43,0.0,0.0
2018-12-16,111.62,111.62,111.62,0.0,0.0,111.71,111.71,111.71,0.0,0.0,111.58,111.58,111.58,0.0,0.0,111.68,111.68,111.68,0.0,0.0
2018-12-23,111.89,111.89,111.89,0.0,0.0,112.14,112.14,112.14,0.0,0.0,111.89,111.89,111.89,0.0,0.0,112.13,112.13,112.13,0.0,0.0
2018-12-30,112.41,112.41,112.41,0.0,0.0,112.41,112.41,112.41,0.0,0.0,112.11,112.11,112.11,0.0,0.0,112.15,112.15,112.15,0.0,0.0
2019-01-06,112.16,112.16,112.16,0.0,0.0,112.21,112.21,112.21,0.0,0.0,112.1,112.1,112.1,0.0,0.0,112.18,112.18,112.18,0.0,0.0
2019-01-13,112.02,112.02,112.02,0.0,0.0,112.04,112.04,112.04,0.0,0.0,111.8,111.8,111.8,0.0,0.0,111.87,111.87,111.87,0.0,0.0
2019-01-20,112.07,112.07,112.07,0.0,0.0,112.15,112.15,112.15,0.0,0.0,112.01,112.01,112.01,0.0,0.0,112.05,112.05,112.05,0.0,0.0
2019-01-27,111.94,111.94,111.94,0.0,0.0,111.94,111.94,111.94,0.0,0.0,111.83,111.83,111.83,0.0,0.0,111.87,111.87,111.87,0.0,0.0
2019-02-03,112.12,112.12,112.12,0.0,0.0,112.23,112.23,112.23,0.0,0.0,112.12,112.12,112.12,0.0,0.0,112.16,112.16,112.16,0.0,0.0
2019-02-10,112.2,112.2,112.2,0.0,0.0,112.21,112.21,112.21,0.0,0.0,112.18,112.18,112.18,0.0,0.0,112.21,112.21,112.21,0.0,0.0
2019-02-17,112.28,112.28,112.28,0.0,0.0,112.3,112.3,112.3,0.0,0.0,112.2,112.2,112.2,0.0,0.0,112.3,112.3,112.3,0.0,0.0
2019-02-24,111.83,111.83,111.83,0.0,0.0,111.89,111.89,111.89,0.0,0.0,111.74,111.74,111.74,0.0,0.0,111.84,111.84,111.84,0.0,0.0
2019-03-03,112.29,112.29,112.29,0.0,0.0,112.36,112.36,112.36,0.0,0.0,112.25,112.25,112.25,0.0,0.0,112.32,112.32,112.32,0.0,0.0
2019-03-10,112.5,112.5,112.5,0.0,0.0,112.59,112.59,112.59,0.0,0.0,112.5,112.5,112.5,0.0,0.0,112.59,112.59,112.59,0.0,0.0
2019-03-17,113.41,113.41,113.41,0.0,0.0,113.6,113.6,113.6,0.0,0.0,113.35,113.35,113.35,0.0,0.0,113.51,113.51,113.51,0.0,0.0
2019-03-24,113.19,113.19,113.19,0.0,0.0,113.24,113.24,113.24,0.0,0.0,112.99,112.99,112.99,0.0,0.0,112.99,112.99,112.99,0.0,0.0
2019-03-31,112.94,112.94,112.94,0.0,0.0,112.95,112.95,112.95,0.0,0.0,112.87,112.87,112.87,0.0,0.0,112.9,112.9,112.9,0.0,0.0
2019-04-07,112.84,112.84,112.84,0.0,0.0,112.89,112.89,112.89,0.0,0.0,112.81,112.81,112.81,0.0,0.0,112.89,112.89,112.89,0.0,0.0
2019-04-14,112.88,112.88,112.88,0.0,0.0,112.88,112.88,112.88,0.0,0.0,112.81,112.81,112.81,0.0,0.0,112.83,112.83,112.83,0.0,0.0
2019-04-21,113.23,113.23,113.23,0.0,0.0,113.24,113.24,113.24,0.0,0.0,113.15,113.15,113.15,0.0,0.0,113.21,113.21,113.21,0.0,0.0
2019-04-28,113.18,113.18,113.18,0.0,0.0,113.23,113.23,113.23,0.0,0.0,113.18,113.18,113.18,0.0,0.0,113.21,113.21,113.21,0.0,0.0
2019-05-05,113.62,113.62,113.62,0.0,0.0,113.69,113.69,113.69,0.0,0.0,113.59,113.59,113.59,0.0,0.0,113.69,113.69,113.69,0.0,0.0
2019-05-12,113.63,113.63,113.63,0.0,0.0,113.66,113.66,113.66,0.0,0.0,113.53,113.53,113.53,0.0,0.0,113.53,113.53,113.53,0.0,0.0
2019-05-19,113.95,113.95,113.95,0.0,0.0,113.95,113.95,113.95,0.0,0.0,113.87,113.87,113.87,0.0,0.0,113.91,113.91,113.91,0.0,0.0
2019-05-26,114.65,114.65,114.65,0.0,0.0,114.85,114.85,114.85,0.0,0.0,114.61,114.61,114.61,0.0,0.0,114.83,114.83,114.83,0.0,0.0
2019-06-02,114.59,114.59,114.59,0.0,0.0,114.65,114.65,114.65,0.0,0.0,114.59,114.59,114.59,0.0,0.0,114.63,114.63,114.63,0.0,0.0
2019-06-09,114.81,114.81,114.81,0.0,0.0,114.87,114.87,114.87,0.0,0.0,114.79,114.79,114.79,0.0,0.0,114.86,114.86,114.86,0.0,0.0
2019-06-16,115.12,115.12,115.12,0.0,0.0,115.26,115.26,115.26,0.0,0.0,115.12,115.12,115.12,0.0,0.0,115.22,115.22,115.22,0.0,0.0
2019-06-23,115.07,115.07,115.07,0.0,0.0,115.07,115.07,115.07,0.0,0.0,114.84,114.84,114.84,0.0,0.0,114.93,114.93,114.93,0.0,0.0
2019-06-30,114.88,114.88,114.88,0.0,0.0,114.94,114.94,114.94,0.0,0.0,114.77,114.77,114.77,0.0,0.0,114.83,114.83,114.83,0.0,0.0
2019-07-07,114.66,114.66,114.66,0.0,0.0,114.8,114.8,114.8,0.0,0.0,114.66,114.66,114.66,0.0,0.0,114.8,114.8,114.8,0.0,0.0
2019-07-14,115.02,115.02,115.02,0.0,0.0,115.02,115.02,115.02,0.0,0.0,114.88,114.88,114.88,0.0,0.0,114.88,114.88,114.88,0.0,0.0
2019-07-21,114.95,114.95,114.95,0.0,0.0,114.97,114.97,114.97,0.0,0.0,114.87,114.87,114.87,0.0,0.0,114.87,114.87,114.87,0.0,0.0
2019-07-28,115.95,115.95,115.95,0.0,0.0,116.14,116.14,116.14,0.0,0.0,115.87,115.87,115.87,0.0,0.0,116.03,116.03,116.03,0.0,0.0
2019-08-04,116.41,116.41,116.41,0.0,0.0,116.61,116.61,116.61,0.0,0.0,116.37,116.37,116.37,0.0,0.0,116.58,116.58,116.58,0.0,0.0
2019-08-11,116.81,116.81,116.81,0.0,0.0,116.87,116.87,116.87,0.0,0.0,116.74,116.74,116.74,0.0,0.0,116.75,116.75,116.75,0.0,0.0
2019-08-18,117.14,117.14,117.14,0.0,0.0,117.21,117.21,117.21,0.0,0.0,117.0,117.0,117.0,0.0,0.0,117.08,117.08,117.08,0.0,0.0
2019-08-25,117.19,117.19,117.19,0.0,0.0,117.3,117.3,117.3,0.0,0.0,117.11,117.11,117.11,0.0,0.0,117.24,117.24,117.24,0.0,0.0
2019-09-01,116.65,116.65,116.65,0.0,0.0,116.66,116.66,116.66,0.0,0.0,116.55,116.55,116.55,0.0,0.0,116.55,116.55,116.55,0.0,0.0
2019-09-08,115.59,115.59,115.59,0.0,0.0,115.76,115.76,115.76,0.0,0.0,115.59,115.59,115.59,0.0,0.0,115.68,115.68,115.68,0.0,0.0
2019-09-15,116.26,116.26,116.26,0.0,0.0,116.49,116.49,116.49,0.0,0.0,116.25,116.25,116.25,0.0,0.0,116.31,116.31,116.31,0.0,0.0
2019-09-22,116.42,116.42,116.42,0.0,0.0,116.55,116.55,116.55,0.0,0.0,116.42,116.42,116.42,0.0,0.0,116.54,116.54,116.54,0.0,0.0
2019-09-29,116.98,116.98,116.98,0.0,0.0,117.0,117.0,117.0,0.0,0.0,116.88,116.88,116.88,0.0,0.0,116.92,116.92,116.92,0.0,0.0
2019-10-06,116.21,116.21,116.21,0.0,0.0,116.24,116.24,116.24,0.0,0.0,116.17,116.17,116.17,0.0,0.0,116.21,116.21,116.21,0.0,0.0
2019-10-13,116.09,116.09,116.09,0.0,0.0,116.13,116.13,116.13,0.0,0.0,116.0,116.0,116.0,0.0,0.0,116.02,116.02,116.02,0.0,0.0
2019-10-20,115.89,115.89,115.89,0.0,0.0,115.89,115.89,115.89,0.0,0.0,115.8,115.8,115.8,0.0,0.0,115.84,115.84,115.84,0.0,0.0
2019-10-27,115.99,115.99,115.99,0.0,0.0,115.99,115.99,115.99,0.0,0.0,115.88,115.88,115.88,0.0,0.0,115.9,115.9,115.9,0.0,0.0
2019-11-03,115.42,115.42,115.42,0.0,0.0,115.43,115.43,115.43,0.0,0.0,115.32,115.32,115.32,0.0,0.0,115.41,115.41,115.41,0.0,0.0
2019-11-10,115.88,115.88,115.88,0.0,0.0,116.0,116.0,116.0,0.0,0.0,115.88,115.88,115.88,0.0,0.0,115.94,115.94,115.94,0.0,0.0
2019-11-17,116.27,116.27,116.27,0.0,0.0,116.32,116.32,116.32,0.0,0.0,116.23,116.23,116.23,0.0,0.0,116.31,116.31,116.31,0.0,0.0
2019-11-24,115.83,115.83,115.83,0.0,0.0,115.95,115.95,115.95,0.0,0.0,115.83,115.83,115.83,0.0,0.0,115.93,115.93,115.93,0.0,0.0
2019-12-01,115.94,115.94,115.94,0.0,0.0,115.94,115.94,115.94,0.0,0.0,115.8,115.8,115.8,0.0,0.0,115.84,115.84,115.84,0.0,0.0
2019-12-08,115.95,115.95,115.95,0.0,0.0,115.95,115.95,115.95,0.0,0.0,115.79,115.79,115.79,0.0,0.0,115.83,115.83,115.83,0.0,0.0
2019-12-15,115.48,115.48,115.48,0.0,0.0,115.53,115.53,115.53,0.0,0.0,115.39,115.39,115.39,0.0,0.0,115.42,115.42,115.42,0.0,0.0
2019-12-22,115.59,115.59,115.59,0.0,0.0,115.72,115.72,115.72,0.0,0.0,115.5,115.5,115.5,0.0,0.0,115.72,115.72,115.72,0.0,0.0
2019-12-29,115.99,115.99,115.99,0.0,0.0,116.1,116.1,116.1,0.0,0.0,115.89,115.89,115.89,0.0,0.0,116.05,116.05,116.05,0.0,0.0
