Date,AAWW_Open_average,AAWW_Open_max,AAWW_Open_volatility,AAWW_Open_change,AAWW_High_average,AAWW_High_max,AAWW_High_volatility,AAWW_High_change,AAWW_Low_average,AAWW_Low_max,AAWW_Low_volatility,AAWW_Low_change,AAWW_Close_average,AAWW_Close_max,AAWW_Close_volatility,AAWW_Close_change,AAWW_Volume_average,AAWW_Volume_max,AAWW_Volume_volatility,AAWW_Volume_change
2017-01-15,51.160000000000004,51.85,1.5,-1.25,51.7,51.9,0.6000000000000014,-0.5500000000000043,50.586,50.98,0.8299999999999983,-0.45000000000000284,50.910000000000004,51.7,1.4000000000000057,-0.5500000000000043,109564,151461,76208,-48166
2017-01-22,53.05,54.4,3.8999999999999986,3.3999999999999986,54.07,54.9,2.9499999999999957,2.0999999999999943,52.33,53.5,3.0,2.0,53.69,54.75,2.8999999999999986,1.5499999999999972,215764,301925,139700,77007
2017-01-29,52.72,53.2,0.9000000000000057,-0.8000000000000043,53.02,53.7,1.1000000000000014,-0.5,51.89,52.7,1.5,-0.6499999999999986,52.38,52.85,1.25,-1.1499999999999986,177106,214598,68620,2548
2017-02-05,51.68,52.2,1.25,0.5,52.16,53.0,1.4500000000000028,1.2000000000000028,51.1,51.8,1.2999999999999972,0.6499999999999986,51.756,52.95,2.220000000000006,1.4000000000000057,140194,158206,51208,51208
2017-02-12,53.2375,54.4,2.1499999999999986,1.6000000000000014,54.074999999999996,54.55,1.75,1.75,52.7375,53.45,1.3500000000000014,1.3000000000000043,53.6,54.4,2.1000000000000014,1.4000000000000057,168050,225159,89624,-547
2017-02-19,53.72,55.6,3.75,2.1000000000000014,55.68,58.0,4.399999999999999,4.350000000000001,53.38,55.5,4.0,2.799999999999997,55.339999999999996,57.45,4.150000000000006,4.150000000000006,235240,298398,141585,87336
2017-02-26,57.14,57.7,1.3500000000000014,-0.8500000000000014,57.872,59.6,2.8999999999999986,-1.25,56.17,57.25,2.25,-0.6500000000000057,56.98,57.8,1.5,-0.5500000000000043,211177,342185,210193,-119640
2017-03-05,54.87,56.25,2.299999999999997,-1.8999999999999986,55.576,56.33,1.3799999999999955,-1.3799999999999955,54.13,54.95,1.4000000000000057,-1.3000000000000043,54.38,55.1,1.25,-1.25,134591,162280,67002,21669
2017-03-12,54.02,54.45,0.8500000000000014,0.6499999999999986,54.71,54.85,0.45000000000000284,0.45000000000000284,53.32,53.55,0.5,-0.14999999999999858,53.88,54.7,1.5,-0.44999999999999574,211248,313281,198575,10077
2017-03-19,51.7,53.35,2.6000000000000014,-2.6000000000000014,52.29,53.35,1.7000000000000028,-1.3000000000000043,50.77,51.35,1.2000000000000028,-1.2000000000000028,51.56,51.85,0.5,0.5,146234,164692,39135,-14543
2017-03-26,54.1,55.45,3.8500000000000014,3.799999999999997,55.268,56.25,2.5,2.1400000000000006,53.49,54.95,3.3500000000000014,1.9499999999999957,54.48,55.65,2.299999999999997,0.29999999999999716,228221,313349,150740,-9180
2017-04-02,53.84,54.4,0.8999999999999986,0.6000000000000014,54.72,56.1,1.8999999999999986,1.75,53.414,53.8,0.6499999999999986,0.3499999999999943,54.26,55.8,2.1999999999999957,1.75,151521,200796,109264,109264
2017-04-09,55.1375,55.65,1.3999999999999986,-1.3999999999999986,55.4,55.9,0.8999999999999986,-0.8999999999999986,54.3,54.9,1.2999999999999972,-1.2999999999999972,54.9375,55.65,1.75,-0.6999999999999957,140728,248444,170057,-58086
2017-04-16,56.32,57.9,3.1999999999999957,3.1999999999999957,57.05,58.9,3.8999999999999986,3.8999999999999986,55.879999999999995,57.05,2.799999999999997,2.799999999999997,56.74,58.4,3.4499999999999957,3.4499999999999957,140869,225380,142911,57092
2017-04-23,58.35,59.4,2.1000000000000014,-0.30000000000000426,59.33,60.1,1.8000000000000043,-0.9000000000000057,58.028,59.0,1.9099999999999966,-0.8999999999999986,58.71,59.8,1.8999999999999986,-0.5500000000000043,190320,278741,145107,-12025
2017-04-30,54.78,58.1,5.950000000000003,-5.950000000000003,55.31,59.0,6.25,-6.25,53.214,57.3,5.899999999999999,-5.279999999999994,53.72,57.8,5.549999999999997,-5.399999999999999,371919,541678,330880,-46443
2017-05-07,51.3,52.45,2.6500000000000057,-2.6500000000000057,51.75,52.85,2.5,-2.5,50.559999999999995,52.3,3.1999999999999957,-3.1999999999999957,50.74,52.35,2.950000000000003,-2.950000000000003,210244,255625,79356,-59592
2017-05-14,47.49,49.5,3.3999999999999986,-1.7999999999999972,48.396,49.98,3.6799999999999997,-1.279999999999994,46.769999999999996,49.05,3.5999999999999943,-1.7999999999999972,47.56,49.65,3.6000000000000014,-1.1999999999999957,935671,1464468,1249893,244623
2017-05-21,49.0,49.8,1.1499999999999986,1.1499999999999986,49.55,50.25,1.3999999999999986,0.8999999999999986,48.4875,49.45,1.8000000000000043,1.8000000000000043,49.3,50.05,1.3999999999999986,1.0,346655,481215,290702,-290702
2017-05-28,50.05,52.0,3.25,2.299999999999997,50.894,52.55,3.25,2.549999999999997,49.406,51.3,3.5,2.3499999999999943,50.5,52.45,3.75,3.4000000000000057,333405,423397,171915,116800
2017-06-04,52.52,53.35,1.25,1.2000000000000028,53.08,54.2,1.9500000000000028,1.8000000000000043,51.92,52.85,1.8500000000000014,1.8500000000000014,52.65,53.5,1.6000000000000014,1.2000000000000028,250937,341998,162632,-95275
2017-06-11,52.99,53.8,1.2999999999999972,-0.75,53.56,54.0,1.0499999999999972,0.20000000000000284,52.09,52.9,1.7999999999999972,-1.7999999999999972,52.74,53.55,1.6499999999999986,-1.6499999999999986,317772,412923,186812,186812
2017-06-18,51.06,51.9,1.6999999999999957,-0.6999999999999957,51.744,52.45,1.3500000000000014,-0.4299999999999997,50.35,50.8,0.8499999999999943,0.8499999999999943,50.95,51.7,1.4000000000000057,0.8000000000000043,371054,506933,283829,-122790
2017-06-25,51.62,52.2,1.1500000000000057,0.5500000000000043,52.86,55.2,3.200000000000003,3.200000000000003,50.924,51.75,1.6300000000000026,0.8500000000000014,52.1,54.8,3.8999999999999986,3.8999999999999986,335592,363137,59412,18954
2017-07-02,54.825,55.1,0.6499999999999986,0.25,55.675,56.55,1.5999999999999943,1.5999999999999943,53.875,54.85,1.75,1.75,55.2375,56.25,1.5499999999999972,1.5499999999999972,492081,604954,208590,-22480
2017-07-09,57.48,58.55,2.1999999999999957,1.2999999999999972,58.6,59.2,1.5,0.8500000000000014,56.556,57.35,1.5500000000000043,1.5500000000000043,57.93,58.9,1.8999999999999986,0.8500000000000014,673958,957114,604698,-593142
2017-07-16,58.1,58.75,1.4500000000000028,-1.1500000000000057,58.76,59.25,1.5,-0.8999999999999986,57.546,58.3,1.5700000000000003,-0.75,58.18,58.65,0.8999999999999986,-0.29999999999999716,272764,363846,184869,-184869
2017-07-23,58.63,58.95,1.25,0.10000000000000142,59.18,59.65,0.8500000000000014,0.19999999999999574,57.87,58.55,1.3499999999999943,-0.09999999999999432,58.730000000000004,59.4,1.4499999999999957,0.5,360813,482340,238335,237429
2017-07-30,64.19,67.2,7.600000000000001,5.949999999999996,65.564,67.75,7.399999999999999,5.499999999999993,63.062000000000005,64.86,5.759999999999998,5.649999999999999,64.63,66.8,7.0,5.8500000000000085,742316,1356786,944329,-17619
2017-08-06,63.15,65.55,4.25,-4.25,63.39,65.55,3.3999999999999986,-3.3999999999999986,61.876,63.95,3.6500000000000057,-2.8500000000000014,62.26,64.0,3.3500000000000014,-1.8999999999999986,341974,447791,245285,-245285
2017-08-13,61.83,62.9,2.799999999999997,-0.3499999999999943,62.63,63.1,1.0,-0.7999999999999972,61.134,61.9,1.8999999999999986,0.05000000000000426,61.814,62.85,2.3500000000000014,-1.0500000000000043,217403,271177,105362,-105362
2017-08-20,63.25,63.95,1.8000000000000043,1.8000000000000043,63.996,64.8,1.3499999999999943,0.9499999999999957,62.754,63.45,1.3000000000000043,1.3000000000000043,63.65,64.5,1.3999999999999986,0.7999999999999972,224838,366783,262097,117441
2017-08-27,65.4625,66.8,2.8499999999999943,2.8499999999999943,66.6125,68.2,3.1500000000000057,3.1500000000000057,65.03,66.5,3.3999999999999986,3.3999999999999986,66.4375,67.9,3.0500000000000114,3.0500000000000114,281073,298121,45246,44954
2017-09-03,66.62,67.7,1.6000000000000085,-1.6000000000000085,66.87,68.25,1.9000000000000057,-1.9000000000000057,65.3,66.0,1.0,-0.75,66.01,66.35,0.7999999999999972,-0.6499999999999915,264400,474920,346562,-202637
2017-09-10,66.33,67.35,1.5999999999999943,0.15000000000000568,66.91,67.5,1.25,-0.9000000000000057,65.7,66.6,1.6499999999999915,-0.29999999999999716,66.35,67.15,1.4500000000000028,-1.25,198384,383109,259199,-42221
2017-09-17,67.04,68.15,2.3000000000000114,1.7000000000000028,67.89,68.7,2.549999999999997,1.75,66.4,67.3,1.7000000000000028,-0.05000000000001137,67.05,68.15,2.1500000000000057,-0.04999999999999716,213331,420111,305073,173508
2017-09-24,66.17,67.2,1.7000000000000028,-0.25,67.114,67.95,1.5300000000000011,0.9299999999999926,65.41,65.75,0.6500000000000057,0.5999999999999943,66.33,67.25,2.0,2.0,287041,624996,437960,-415454
2017-10-01,67.29,68.25,2.25,-1.25,67.826,68.69,2.1899999999999977,-1.7999999999999972,65.99,67.3,3.25,-3.0,66.7,68.25,3.950000000000003,-3.950000000000003,239240,270525,72205,11044
2017-10-08,65.44,66.0,1.0499999999999972,0.6499999999999915,65.97,66.35,0.75,-0.05000000000001137,64.514,65.15,1.6300000000000026,-0.3299999999999983,65.34,65.9,1.2000000000000028,-0.3999999999999915,201929,245028,106940,8168
2017-10-15,63.36,64.55,2.5999999999999943,0.0,64.036,64.95,2.200000000000003,-0.269999999999996,62.27,63.45,2.75,1.5,63.31,64.6,2.6499999999999915,2.549999999999997,246232,391161,209291,-35683
2017-10-22,63.32,64.7,2.75,-2.75,63.6,65.6,3.6499999999999915,-3.6499999999999915,62.23,63.65,2.8999999999999986,-2.8999999999999986,62.68,63.7,2.200000000000003,-2.200000000000003,189301,266971,152022,112183
2017-10-29,61.43,61.95,1.4500000000000028,-1.2000000000000028,61.854,62.62,1.3699999999999974,-0.8999999999999986,60.3,61.15,2.1999999999999957,-2.1999999999999957,61.096000000000004,61.7,1.3500000000000014,-0.5,255811,328309,136919,105721
2017-11-05,55.8,58.5,5.200000000000003,-2.75,56.564,59.65,5.799999999999997,-4.0,54.372,57.1,5.190000000000005,-3.740000000000002,55.13,57.25,3.5,-2.299999999999997,538598,984360,720030,-720030
2017-11-12,53.24,53.65,1.5499999999999972,0.0,54.01,54.5,1.0499999999999972,-0.6000000000000014,52.85,53.35,1.25,0.3500000000000014,53.21,53.7,0.9500000000000028,0.3500000000000014,241432,486588,365189,-295262
