Date,Global X SuperDividend REIT_etf_Open_average,Global X SuperDividend REIT_etf_Open_max,Global X SuperDividend REIT_etf_Open_min,Global X SuperDividend REIT_etf_Open_volatility,Global X SuperDividend REIT_etf_Open_change,Global X SuperDividend REIT_etf_High_average,Global X SuperDividend REIT_etf_High_max,Global X SuperDividend REIT_etf_High_min,Global X SuperDividend REIT_etf_High_volatility,Global X SuperDividend REIT_etf_High_change,Global X SuperDividend REIT_etf_Low_average,Global X SuperDividend REIT_etf_Low_max,Global X SuperDividend REIT_etf_Low_min,Global X SuperDividend REIT_etf_Low_volatility,Global X SuperDividend REIT_etf_Low_change,Global X SuperDividend REIT_etf_Close_average,Global X SuperDividend REIT_etf_Close_max,Global X SuperDividend REIT_etf_Close_min,Global X SuperDividend REIT_etf_Close_volatility,Global X SuperDividend REIT_etf_Close_change
2018-11-11,14.7,14.7,14.7,0.0,0.0,14.83,14.83,14.83,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.81,14.81,14.81,0.0,0.0
2018-11-18,14.71,14.71,14.71,0.0,0.0,14.77,14.77,14.77,0.0,0.0,14.65,14.65,14.65,0.0,0.0,14.74,14.74,14.74,0.0,0.0
2018-11-25,14.88,14.88,14.88,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.78,14.78,14.78,0.0,0.0,14.87,14.87,14.87,0.0,0.0
2018-12-02,14.85,14.85,14.85,0.0,0.0,14.87,14.87,14.87,0.0,0.0,14.71,14.71,14.71,0.0,0.0,14.78,14.78,14.78,0.0,0.0
2018-12-09,14.59,14.59,14.59,0.0,0.0,14.68,14.68,14.68,0.0,0.0,14.55,14.55,14.55,0.0,0.0,14.63,14.63,14.63,0.0,0.0
2018-12-16,13.73,13.73,13.73,0.0,0.0,13.92,13.92,13.92,0.0,0.0,13.55,13.55,13.55,0.0,0.0,13.58,13.58,13.58,0.0,0.0
2018-12-23,13.79,13.79,13.79,0.0,0.0,13.79,13.79,13.79,0.0,0.0,13.6,13.6,13.6,0.0,0.0,13.64,13.64,13.64,0.0,0.0
2018-12-30,13.8,13.8,13.8,0.0,0.0,13.94,13.94,13.94,0.0,0.0,13.7,13.7,13.7,0.0,0.0,13.9,13.9,13.9,0.0,0.0
2019-01-06,14.44,14.44,14.44,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.5,14.5,14.5,0.0,0.0
2019-01-13,14.73,14.73,14.73,0.0,0.0,14.73,14.73,14.73,0.0,0.0,14.65,14.65,14.65,0.0,0.0,14.68,14.68,14.68,0.0,0.0
