Date,First Trust NASDAQ Technology Dividend_Open_average,First Trust NASDAQ Technology Dividend_Open_max,First Trust NASDAQ Technology Dividend_Open_min,First Trust NASDAQ Technology Dividend_Open_volatility,First Trust NASDAQ Technology Dividend_Open_change,First Trust NASDAQ Technology Dividend_High_average,First Trust NASDAQ Technology Dividend_High_max,First Trust NASDAQ Technology Dividend_High_min,First Trust NASDAQ Technology Dividend_High_volatility,First Trust NASDAQ Technology Dividend_High_change,First Trust NASDAQ Technology Dividend_Low_average,First Trust NASDAQ Technology Dividend_Low_max,First Trust NASDAQ Technology Dividend_Low_min,First Trust NASDAQ Technology Dividend_Low_volatility,First Trust NASDAQ Technology Dividend_Low_change,First Trust NASDAQ Technology Dividend_Close_average,First Trust NASDAQ Technology Dividend_Close_max,First Trust NASDAQ Technology Dividend_Close_min,First Trust NASDAQ Technology Dividend_Close_volatility,First Trust NASDAQ Technology Dividend_Close_change
2019-07-21,40.95,40.95,40.95,0.0,0.0,41.12,41.12,41.12,0.0,0.0,40.8,40.8,40.8,0.0,0.0,41.07,41.07,41.07,0.0,0.0
2019-07-28,38.47,38.47,38.47,0.0,0.0,38.47,38.47,38.47,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.91,37.91,37.91,0.0,0.0
2019-08-04,38.21,38.21,38.21,0.0,0.0,38.32,38.32,38.32,0.0,0.0,37.89,37.89,37.89,0.0,0.0,38.05,38.05,38.05,0.0,0.0
2019-08-11,38.67,38.67,38.67,0.0,0.0,38.82,38.82,38.82,0.0,0.0,38.61,38.61,38.61,0.0,0.0,38.73,38.73,38.73,0.0,0.0
2019-08-18,37.97,37.97,37.97,0.0,0.0,37.97,37.97,37.97,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.84,37.84,37.84,0.0,0.0
2019-08-25,38.8,38.8,38.8,0.0,0.0,38.89,38.89,38.89,0.0,0.0,38.55,38.55,38.55,0.0,0.0,38.7,38.7,38.7,0.0,0.0
2019-09-01,40.17,40.17,40.17,0.0,0.0,40.33,40.33,40.33,0.0,0.0,40.07,40.07,40.07,0.0,0.0,40.19,40.19,40.19,0.0,0.0
2019-09-08,40.47,40.47,40.47,0.0,0.0,40.59,40.59,40.59,0.0,0.0,40.41,40.41,40.41,0.0,0.0,40.52,40.52,40.52,0.0,0.0
2019-09-15,40.14,40.14,40.14,0.0,0.0,40.36,40.36,40.36,0.0,0.0,39.98,39.98,39.98,0.0,0.0,40.2,40.2,40.2,0.0,0.0
2019-09-22,39.96,39.96,39.96,0.0,0.0,40.2,40.2,40.2,0.0,0.0,39.84,39.84,39.84,0.0,0.0,40.11,40.11,40.11,0.0,0.0
2019-09-29,39.74,39.74,39.74,0.0,0.0,39.96,39.96,39.96,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.66,39.66,39.66,0.0,0.0
2019-10-06,40.14,40.14,40.14,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.01,40.01,40.01,0.0,0.0,40.01,40.01,40.01,0.0,0.0
2019-10-13,40.21,40.21,40.21,0.0,0.0,40.37,40.37,40.37,0.0,0.0,40.12,40.12,40.12,0.0,0.0,40.34,40.34,40.34,0.0,0.0
2019-10-20,40.9,40.9,40.9,0.0,0.0,41.09,41.09,41.09,0.0,0.0,40.9,40.9,40.9,0.0,0.0,41.01,41.01,41.01,0.0,0.0
2019-10-27,41.47,41.47,41.47,0.0,0.0,41.66,41.66,41.66,0.0,0.0,41.34,41.34,41.34,0.0,0.0,41.61,41.61,41.61,0.0,0.0
2019-11-03,42.01,42.01,42.01,0.0,0.0,42.16,42.16,42.16,0.0,0.0,41.95,41.95,41.95,0.0,0.0,42.1,42.1,42.1,0.0,0.0
2019-11-10,42.11,42.11,42.11,0.0,0.0,42.18,42.18,42.18,0.0,0.0,41.87,41.87,41.87,0.0,0.0,42.07,42.07,42.07,0.0,0.0
2019-11-17,41.78,41.78,41.78,0.0,0.0,42.17,42.17,42.17,0.0,0.0,41.78,41.78,41.78,0.0,0.0,42.16,42.16,42.16,0.0,0.0
2019-11-24,41.95,41.95,41.95,0.0,0.0,41.96,41.96,41.96,0.0,0.0,41.44,41.44,41.44,0.0,0.0,41.49,41.49,41.49,0.0,0.0
2019-12-01,41.68,41.68,41.68,0.0,0.0,41.82,41.82,41.82,0.0,0.0,41.66,41.66,41.66,0.0,0.0,41.66,41.66,41.66,0.0,0.0
2019-12-08,42.51,42.51,42.51,0.0,0.0,42.69,42.69,42.69,0.0,0.0,42.46,42.46,42.46,0.0,0.0,42.46,42.46,42.46,0.0,0.0
2019-12-15,43.09,43.09,43.09,0.0,0.0,43.15,43.15,43.15,0.0,0.0,42.99,42.99,42.99,0.0,0.0,43.11,43.11,43.11,0.0,0.0
2019-12-22,43.26,43.26,43.26,0.0,0.0,43.26,43.26,43.26,0.0,0.0,42.84,42.84,42.84,0.0,0.0,43.03,43.03,43.03,0.0,0.0
2019-12-29,43.17,43.17,43.17,0.0,0.0,43.44,43.44,43.44,0.0,0.0,43.17,43.17,43.17,0.0,0.0,43.3,43.3,43.3,0.0,0.0
