Date,IBA_Open_average,IBA_Open_max,IBA_Open_min,IBA_Open_volatility,IBA_Open_change,IBA_High_average,IBA_High_max,IBA_High_min,IBA_High_volatility,IBA_High_change,IBA_Low_average,IBA_Low_max,IBA_Low_min,IBA_Low_volatility,IBA_Low_change,IBA_Close_average,IBA_Close_max,IBA_Close_min,IBA_Close_volatility,IBA_Close_change,IBA_Volume_average,IBA_Volume_max,IBA_Volume_min,IBA_Volume_volatility,IBA_Volume_change
2019-01-06,42.476,42.86,42.0,0.8599999999999994,0.25,43.578,44.52,42.9,1.6200000000000045,1.5200000000000031,42.176,42.85,41.45,1.3999999999999986,1.1799999999999997,42.918,44.52,41.67,2.8500000000000014,2.8500000000000014,7395,9053,5004,4049,2634
2019-01-13,45.67,46.55,44.47,2.0799999999999983,2.0799999999999983,46.578,47.14,45.92,1.2199999999999989,1.1000000000000014,44.792,46.25,43.87,2.3800000000000026,2.1700000000000017,45.93,46.53,45.4,1.1300000000000026,0.8800000000000026,14712,26237,5970,20267,-7912
2019-01-20,45.457499999999996,46.72,43.92,2.799999999999997,-0.9600000000000009,45.832499999999996,46.72,45.42,1.2999999999999972,-0.9600000000000009,44.345,44.97,43.78,1.1899999999999977,-0.259999999999998,44.7475,45.07,43.92,1.1499999999999986,0.060000000000002274,8501,13986,2911,11075,-6374
2019-01-27,45.754000000000005,46.52,44.39,2.1300000000000026,1.7000000000000028,46.118,46.52,45.28,1.240000000000002,0.8100000000000023,44.878,45.71,44.3,1.4100000000000037,1.2000000000000028,45.84,46.21,45.27,0.9399999999999977,0.35999999999999943,11524,19345,5372,13973,-8495
2019-02-03,45.626,46.22,45.06,1.1599999999999966,0.6999999999999957,46.348,46.59,45.98,0.6100000000000065,0.6100000000000065,45.496,46.0,45.06,0.9399999999999977,0.7000000000000028,46.102,46.43,45.79,0.6400000000000006,0.6099999999999994,8622,13667,4860,8807,3032
2019-02-10,45.756,46.55,45.03,1.519999999999996,-1.0700000000000003,46.199999999999996,46.62,45.47,1.1499999999999986,-0.5799999999999983,45.41,46.15,44.78,1.3699999999999974,-0.6999999999999957,45.77,46.19,45.17,1.019999999999996,-0.3999999999999986,9536,19195,4555,14640,4547
2019-02-17,46.2,46.69,45.58,1.1099999999999994,1.1099999999999994,46.8125,47.11,46.59,0.519999999999996,0.519999999999996,45.714999999999996,46.37,45.0,1.3699999999999974,0.7899999999999991,46.4975,46.9,45.91,0.990000000000002,0.30999999999999517,8949,11327,6829,4498,-3311
2019-02-24,47.072,47.31,46.83,0.480000000000004,0.10000000000000142,47.690000000000005,48.34,46.93,1.4100000000000037,-1.0900000000000034,46.53,47.16,45.12,2.039999999999999,-1.7100000000000009,47.132,47.74,46.01,1.730000000000004,-1.4699999999999989,6560,9676,3878,5798,1489
2019-03-03,44.864,45.53,43.57,1.9600000000000009,-1.9200000000000017,45.368,45.73,44.47,1.259999999999998,-1.0200000000000031,44.356,45.13,43.57,1.5600000000000023,-1.5600000000000023,44.879999999999995,45.73,43.9,1.8299999999999983,-1.5700000000000003,24536,51360,3908,47452,27935
2019-03-10,44.448,44.99,43.62,1.3700000000000045,0.19999999999999574,45.224,45.98,44.66,1.3200000000000003,1.029999999999994,43.928,44.51,43.47,1.0399999999999991,0.00999999999999801,44.708,45.48,43.67,1.8099999999999952,0.529999999999994,6302,10627,2594,8033,5366
