Date,NICK_Open_average,NICK_Open_max,NICK_Open_min,NICK_Open_volatility,NICK_Open_change,NICK_High_average,NICK_High_max,NICK_High_min,NICK_High_volatility,NICK_High_change,NICK_Low_average,NICK_Low_max,NICK_Low_min,NICK_Low_volatility,NICK_Low_change,NICK_Close_average,NICK_Close_max,NICK_Close_min,NICK_Close_volatility,NICK_Close_change,NICK_Volume_average,NICK_Volume_max,NICK_Volume_min,NICK_Volume_volatility,NICK_Volume_change
2019-07-07,8.842,9.0,8.71,0.28999999999999915,-0.09999999999999964,8.964,9.11,8.8,0.3099999999999987,-0.20999999999999908,8.752,8.95,8.65,0.29999999999999893,-0.29999999999999893,8.798,8.95,8.65,0.29999999999999893,-0.29999999999999893,5792,9240,2872,6368,3803
2019-07-14,8.66,8.75,8.55,0.1999999999999993,-0.1999999999999993,8.835,8.91,8.68,0.23000000000000043,-0.23000000000000043,8.525,8.59,8.4,0.1899999999999995,-0.1899999999999995,8.61,8.78,8.4,0.379999999999999,-0.23000000000000043,1776,2848,1330,1518,1403
2019-07-21,8.482,8.61,8.4,0.20999999999999908,0.1999999999999993,8.788,8.94,8.65,0.28999999999999915,0.009999999999999787,8.472,8.61,8.4,0.20999999999999908,0.1999999999999993,8.572,8.65,8.48,0.16999999999999993,0.030000000000001137,2926,5267,1325,3942,-751
2019-07-28,8.5675,8.66,8.32,0.33999999999999986,-0.33000000000000007,8.77,8.89,8.52,0.370000000000001,-0.3600000000000012,8.425,8.65,8.32,0.33000000000000007,-0.33000000000000007,8.4875,8.7,8.35,0.34999999999999964,-0.17999999999999972,5623,11926,1351,10575,407
2019-08-04,8.415,8.52,8.17,0.34999999999999964,-0.33000000000000007,8.5275,8.72,8.4,0.3200000000000003,-0.11999999999999922,8.305,8.5,8.15,0.34999999999999964,-0.34999999999999964,8.31,8.52,8.15,0.3699999999999992,-0.3699999999999992,7090,22050,699,21351,21351
2019-08-11,8.202,8.55,8.07,0.4800000000000004,0.4300000000000015,8.586,9.0,8.29,0.7100000000000009,0.5500000000000007,8.2,8.55,8.07,0.4800000000000004,0.4300000000000015,8.426,8.75,8.15,0.5999999999999996,0.39000000000000057,39584,55476,12587,42889,-5247
2019-08-18,9.346,9.7,9.0,0.6999999999999993,0.4399999999999995,9.644,9.9,9.5,0.40000000000000036,-0.40000000000000036,9.14,9.41,8.77,0.6400000000000006,0.40000000000000036,9.496,9.8,9.28,0.5200000000000014,-0.5200000000000014,22287,40119,4960,35159,-35159
2019-08-25,9.129999999999999,9.2,9.06,0.1399999999999988,-0.03999999999999915,9.4,9.58,9.28,0.3000000000000007,-0.14000000000000057,8.9,9.16,8.62,0.5400000000000009,0.33999999999999986,9.0625,9.25,8.93,0.3200000000000003,0.17999999999999972,14730,33544,702,32842,-22016
2019-09-01,9.382,9.58,9.2,0.3800000000000008,-0.3800000000000008,9.422,9.58,9.24,0.33999999999999986,-0.33999999999999986,9.28,9.58,9.01,0.5700000000000003,-0.5700000000000003,9.34,9.58,9.15,0.4299999999999997,-0.4299999999999997,4484,18456,292,18164,18164
2019-09-08,9.129999999999999,9.26,9.03,0.23000000000000043,-0.120000000000001,9.248,9.48,9.03,0.45000000000000107,-0.45000000000000107,9.106,9.26,9.0,0.2599999999999998,-0.15000000000000036,9.208,9.48,9.0,0.4800000000000004,-0.4800000000000004,808,1401,250,1151,571
2019-09-15,9.134,9.31,9.0,0.3100000000000005,0.3100000000000005,9.284,9.4,9.23,0.16999999999999993,0.08000000000000007,9.028,9.11,9.0,0.10999999999999943,0.10999999999999943,9.22,9.4,9.11,0.2900000000000009,-0.120000000000001,4957,8423,2866,5557,1458
2019-09-22,8.994,9.19,8.82,0.3699999999999992,-0.1899999999999995,9.14,9.24,8.99,0.25,-0.11999999999999922,8.918000000000001,9.0,8.81,0.1899999999999995,0.1899999999999995,8.976,9.01,8.93,0.08000000000000007,0.02999999999999936,2401,5334,1107,4227,-3557
2019-09-29,8.932,8.99,8.9,0.08999999999999986,0.019999999999999574,9.033999999999999,9.12,8.94,0.17999999999999972,0.09999999999999964,8.876,8.94,8.81,0.129999999999999,-0.08000000000000007,8.92,9.0,8.81,0.1899999999999995,-0.15000000000000036,6509,20321,164,20157,4930
