Date,Guggenheim Solar_Open_average,Guggenheim Solar_Open_max,Guggenheim Solar_Open_min,Guggenheim Solar_Open_volatility,Guggenheim Solar_Open_change,Guggenheim Solar_High_average,Guggenheim Solar_High_max,Guggenheim Solar_High_min,Guggenheim Solar_High_volatility,Guggenheim Solar_High_change,Guggenheim Solar_Low_average,Guggenheim Solar_Low_max,Guggenheim Solar_Low_min,Guggenheim Solar_Low_volatility,Guggenheim Solar_Low_change,Guggenheim Solar_Close_average,Guggenheim Solar_Close_max,Guggenheim Solar_Close_min,Guggenheim Solar_Close_volatility,Guggenheim Solar_Close_change
2019-01-27,22.79,22.79,22.79,0.0,0.0,22.99,22.99,22.99,0.0,0.0,22.79,22.79,22.79,0.0,0.0,22.99,22.99,22.99,0.0,0.0
2019-02-03,22.77,22.77,22.77,0.0,0.0,22.98,22.98,22.98,0.0,0.0,22.74,22.74,22.74,0.0,0.0,22.88,22.88,22.88,0.0,0.0
2019-02-10,23.62,23.62,23.62,0.0,0.0,23.62,23.62,23.62,0.0,0.0,23.1,23.1,23.1,0.0,0.0,23.23,23.23,23.23,0.0,0.0
2019-02-17,25.6,25.6,25.6,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.16,25.16,25.16,0.0,0.0,25.21,25.21,25.21,0.0,0.0
2019-02-24,25.3,25.3,25.3,0.0,0.0,25.3,25.3,25.3,0.0,0.0,24.74,24.74,24.74,0.0,0.0,24.97,24.97,24.97,0.0,0.0
2019-03-03,23.49,23.49,23.49,0.0,0.0,24.07,24.07,24.07,0.0,0.0,23.45,23.45,23.45,0.0,0.0,24.01,24.01,24.01,0.0,0.0
2019-03-10,24.2,24.2,24.2,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.51,24.51,24.51,0.0,0.0
2019-03-17,23.18,23.18,23.18,0.0,0.0,23.26,23.26,23.26,0.0,0.0,22.94,22.94,22.94,0.0,0.0,23.12,23.12,23.12,0.0,0.0
2019-03-24,23.31,23.31,23.31,0.0,0.0,23.64,23.64,23.64,0.0,0.0,23.31,23.31,23.31,0.0,0.0,23.6,23.6,23.6,0.0,0.0
2019-03-31,24.83,24.83,24.83,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.74,24.74,24.74,0.0,0.0,24.97,24.97,24.97,0.0,0.0
2019-04-07,24.79,24.79,24.79,0.0,0.0,24.83,24.83,24.83,0.0,0.0,24.55,24.55,24.55,0.0,0.0,24.72,24.72,24.72,0.0,0.0
2019-04-14,25.03,25.03,25.03,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.01,25.01,25.01,0.0,0.0,25.32,25.32,25.32,0.0,0.0
2019-04-21,25.53,25.53,25.53,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.31,25.31,25.31,0.0,0.0,25.37,25.37,25.37,0.0,0.0
2019-04-28,25.44,25.44,25.44,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.55,25.55,25.55,0.0,0.0
2019-05-05,24.79,24.79,24.79,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.17,24.17,24.17,0.0,0.0,24.43,24.43,24.43,0.0,0.0
2019-05-12,25.1,25.1,25.1,0.0,0.0,25.1,25.1,25.1,0.0,0.0,24.73,24.73,24.73,0.0,0.0,24.99,24.99,24.99,0.0,0.0
