Date,EXPR_Open_average,EXPR_Open_max,EXPR_Open_min,EXPR_Open_volatility,EXPR_Open_change,EXPR_High_average,EXPR_High_max,EXPR_High_min,EXPR_High_volatility,EXPR_High_change,EXPR_Low_average,EXPR_Low_max,EXPR_Low_min,EXPR_Low_volatility,EXPR_Low_change,EXPR_Close_average,EXPR_Close_max,EXPR_Close_min,EXPR_Close_volatility,EXPR_Close_change,EXPR_Volume_average,EXPR_Volume_max,EXPR_Volume_min,EXPR_Volume_volatility,EXPR_Volume_change
2018-12-02,6.175,6.55,5.88,0.6699999999999999,-0.6699999999999999,6.2875,6.59,6.0,0.5899999999999999,-0.5899999999999999,5.9,6.06,5.77,0.29000000000000004,-0.29000000000000004,6.015000000000001,6.19,5.84,0.35000000000000053,-0.35000000000000053,2900927,3395843,2132840,1263003,-1263003
2018-12-09,5.684,5.94,5.5,0.4400000000000004,-0.4200000000000008,5.826,5.94,5.76,0.1800000000000006,-0.1800000000000006,5.55,5.67,5.43,0.2400000000000002,-0.2400000000000002,5.63,5.82,5.51,0.3100000000000005,-0.1800000000000006,2105540,2802550,1268627,1533923,45728
2018-12-16,5.33,5.54,4.93,0.6100000000000003,-0.5899999999999999,5.458,5.75,5.12,0.6299999999999999,-0.6299999999999999,5.152,5.49,4.83,0.6600000000000001,-0.6600000000000001,5.234,5.5,4.99,0.5099999999999998,-0.4900000000000002,2500027,4575206,1331832,3243374,-858581
2018-12-23,5.19,5.34,5.04,0.2999999999999998,0.15000000000000036,5.34,5.46,5.23,0.22999999999999954,-0.22999999999999954,4.995,5.07,4.94,0.1299999999999999,0.03000000000000025,5.215,5.44,5.11,0.33000000000000007,-0.33000000000000007,1894794,2063312,1660341,402971,-181743
2018-12-30,5.3225,5.47,5.07,0.39999999999999947,0.39999999999999947,5.54,5.75,5.4,0.34999999999999964,0.3099999999999996,5.2175,5.44,5.0,0.4400000000000004,0.4400000000000004,5.435,5.61,5.35,0.2600000000000007,0.2600000000000007,2066472,2311745,1902682,409063,-46237
2019-01-06,5.3839999999999995,5.59,5.02,0.5700000000000003,-0.2600000000000007,5.522,5.67,5.39,0.28000000000000025,-0.2600000000000007,5.192,5.5,4.95,0.5499999999999998,-0.16999999999999993,5.362,5.6,5.13,0.46999999999999975,-0.41000000000000014,2748761,4512112,1770850,2741262,-685132
2019-01-13,5.2075,5.31,5.14,0.16999999999999993,0.09999999999999964,5.342499999999999,5.47,5.24,0.22999999999999954,0.22999999999999954,5.1575,5.24,5.1,0.14000000000000057,0.14000000000000057,5.275,5.4,5.16,0.2400000000000002,0.2400000000000002,1602744,1839740,1362496,477244,-169249
2019-01-20,5.274,5.38,5.18,0.20000000000000018,-0.04999999999999982,5.418,5.64,5.25,0.3899999999999997,0.1200000000000001,5.158,5.28,5.07,0.20999999999999996,0.08000000000000007,5.306,5.6,5.11,0.4899999999999993,0.34999999999999964,2039456,2706084,977466,1728618,433635
2019-01-27,5.402,5.59,5.3,0.29000000000000004,-0.29000000000000004,5.46,5.59,5.39,0.20000000000000018,-0.1899999999999995,5.252,5.34,5.2,0.13999999999999968,-0.08999999999999986,5.346,5.41,5.28,0.1299999999999999,-0.040000000000000036,1898100,2880450,931048,1949402,-906687
2019-02-03,5.296,5.43,5.17,0.2599999999999998,-0.20000000000000018,5.428,5.5,5.32,0.17999999999999972,-0.04999999999999982,5.192,5.32,5.07,0.25,-0.1800000000000006,5.308,5.43,5.18,0.25,-0.019999999999999574,1097469,1611748,686225,925523,610005
