Date,Deep Value_Open_average,Deep Value_Open_max,Deep Value_Open_min,Deep Value_Open_volatility,Deep Value_Open_change,Deep Value_High_average,Deep Value_High_max,Deep Value_High_min,Deep Value_High_volatility,Deep Value_High_change,Deep Value_Low_average,Deep Value_Low_max,Deep Value_Low_min,Deep Value_Low_volatility,Deep Value_Low_change,Deep Value_Close_average,Deep Value_Close_max,Deep Value_Close_min,Deep Value_Close_volatility,Deep Value_Close_change
2018-06-10,35.83,35.83,35.83,0.0,0.0,36.13,36.13,36.13,0.0,0.0,35.8,35.8,35.8,0.0,0.0,36.02,36.02,36.02,0.0,0.0
2018-06-17,35.3,35.3,35.3,0.0,0.0,35.34,35.34,35.34,0.0,0.0,34.98,34.98,34.98,0.0,0.0,35.15,35.15,35.15,0.0,0.0
2018-06-24,34.59,34.59,34.59,0.0,0.0,34.76,34.76,34.76,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.76,34.76,34.76,0.0,0.0
2018-07-01,35.33,35.33,35.33,0.0,0.0,35.56,35.56,35.56,0.0,0.0,35.32,35.32,35.32,0.0,0.0,35.55,35.55,35.55,0.0,0.0
2018-07-08,35.13,35.13,35.13,0.0,0.0,35.13,35.13,35.13,0.0,0.0,34.92,34.92,34.92,0.0,0.0,35.09,35.09,35.09,0.0,0.0
2018-07-15,35.18,35.18,35.18,0.0,0.0,35.39,35.39,35.39,0.0,0.0,35.06,35.06,35.06,0.0,0.0,35.28,35.28,35.28,0.0,0.0
2018-07-22,35.18,35.18,35.18,0.0,0.0,35.37,35.37,35.37,0.0,0.0,35.18,35.18,35.18,0.0,0.0,35.37,35.37,35.37,0.0,0.0
2018-07-29,34.77,34.77,34.77,0.0,0.0,35.04,35.04,35.04,0.0,0.0,34.77,34.77,34.77,0.0,0.0,34.99,34.99,34.99,0.0,0.0
2018-08-05,35.18,35.18,35.18,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.19,35.19,35.19,0.0,0.0
2018-08-12,35.83,35.83,35.83,0.0,0.0,36.2,36.2,36.2,0.0,0.0,35.83,35.83,35.83,0.0,0.0,36.2,36.2,36.2,0.0,0.0
2018-08-19,35.96,35.96,35.96,0.0,0.0,36.1,36.1,36.1,0.0,0.0,35.9,35.9,35.9,0.0,0.0,35.93,35.93,35.93,0.0,0.0
2018-08-26,35.55,35.55,35.55,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.7,35.7,35.7,0.0,0.0
2018-09-02,35.14,35.14,35.14,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.14,35.14,35.14,0.0,0.0,35.36,35.36,35.36,0.0,0.0
2018-09-09,35.42,35.42,35.42,0.0,0.0,35.42,35.42,35.42,0.0,0.0,35.17,35.17,35.17,0.0,0.0,35.17,35.17,35.17,0.0,0.0
2018-09-16,35.67,35.67,35.67,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.3,35.3,35.3,0.0,0.0,35.3,35.3,35.3,0.0,0.0
2018-09-23,35.74,35.74,35.74,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.1,35.1,35.1,0.0,0.0,35.1,35.1,35.1,0.0,0.0
2018-09-30,34.3,34.3,34.3,0.0,0.0,34.46,34.46,34.46,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.45,34.45,34.45,0.0,0.0
2018-10-07,33.43,33.43,33.43,0.0,0.0,33.96,33.96,33.96,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2018-10-14,33.16,33.16,33.16,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.2,33.2,33.2,0.0,0.0
2018-10-21,32.43,32.43,32.43,0.0,0.0,33.1,33.1,33.1,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.44,32.44,32.44,0.0,0.0
2018-10-28,34.11,34.11,34.11,0.0,0.0,34.85,34.85,34.85,0.0,0.0,33.96,33.96,33.96,0.0,0.0,34.47,34.47,34.47,0.0,0.0
2018-11-04,34.97,34.97,34.97,0.0,0.0,34.97,34.97,34.97,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.4,34.4,34.4,0.0,0.0
2018-11-11,34.0,34.0,34.0,0.0,0.0,34.11,34.11,34.11,0.0,0.0,33.39,33.39,33.39,0.0,0.0,33.58,33.58,33.58,0.0,0.0
2018-11-18,33.63,33.63,33.63,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.85,33.85,33.85,0.0,0.0
2018-11-25,34.91,34.91,34.91,0.0,0.0,34.91,34.91,34.91,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.8,34.8,34.8,0.0,0.0
2018-12-02,32.59,32.59,32.59,0.0,0.0,32.59,32.59,32.59,0.0,0.0,31.69,31.69,31.69,0.0,0.0,32.22,32.22,32.22,0.0,0.0
2018-12-09,31.44,31.44,31.44,0.0,0.0,31.84,31.84,31.84,0.0,0.0,30.74,30.74,30.74,0.0,0.0,31.01,31.01,31.01,0.0,0.0
2018-12-16,28.92,28.92,28.92,0.0,0.0,29.46,29.46,29.46,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.82,28.82,28.82,0.0,0.0
2018-12-23,30.37,30.37,30.37,0.0,0.0,30.37,30.37,30.37,0.0,0.0,29.92,29.92,29.92,0.0,0.0,30.07,30.07,30.07,0.0,0.0
2018-12-30,30.8,30.8,30.8,0.0,0.0,31.73,31.73,31.73,0.0,0.0,30.74,30.74,30.74,0.0,0.0,31.32,31.32,31.32,0.0,0.0
2019-01-06,31.01,31.01,31.01,0.0,0.0,31.07,31.07,31.07,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.89,30.89,30.89,0.0,0.0
2019-01-13,31.08,31.08,31.08,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.68,31.68,31.68,0.0,0.0
2019-01-20,31.7,31.7,31.7,0.0,0.0,32.03,32.03,32.03,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.93,31.93,31.93,0.0,0.0
2019-01-27,32.02,32.02,32.02,0.0,0.0,32.26,32.26,32.26,0.0,0.0,31.83,31.83,31.83,0.0,0.0,32.25,32.25,32.25,0.0,0.0
