Date,NXST_stock_Open_average,NXST_stock_Open_max,NXST_stock_Open_min,NXST_stock_Open_volatility,NXST_stock_Open_change,NXST_stock_High_average,NXST_stock_High_max,NXST_stock_High_min,NXST_stock_High_volatility,NXST_stock_High_change,NXST_stock_Low_average,NXST_stock_Low_max,NXST_stock_Low_min,NXST_stock_Low_volatility,NXST_stock_Low_change,NXST_stock_Close_average,NXST_stock_Close_max,NXST_stock_Close_min,NXST_stock_Close_volatility,NXST_stock_Close_change,NXST_stock_Volume_average,NXST_stock_Volume_max,NXST_stock_Volume_min,NXST_stock_Volume_volatility,NXST_stock_Volume_change
2018-12-02,86.035,89.19,83.43,5.759999999999991,1.3599999999999994,88.3,89.66,86.64,3.019999999999996,0.0,83.7475,84.5,82.29,2.2099999999999937,0.6000000000000085,86.35249999999999,88.32,85.3,3.019999999999996,-3.019999999999996,1179583,2333522,579335,1754187,-1754187
2018-12-09,86.694,88.41,84.82,3.5900000000000034,-0.480000000000004,88.124,89.56,86.46,3.1000000000000085,0.3200000000000074,85.448,87.75,83.92,3.8299999999999983,0.5699999999999932,86.092,87.8,84.4,3.3999999999999915,0.5999999999999943,681919,1127887,492218,635669,-228562
2018-12-16,82.988,85.29,77.2,8.090000000000003,-7.789999999999992,83.948,85.91,78.96,6.950000000000003,-6.390000000000001,80.2,83.73,73.3,10.430000000000007,-10.299999999999997,80.642,84.08,73.62,10.459999999999994,-10.409999999999997,1091198,1637423,749239,888184,888184
2018-12-23,73.82249999999999,75.46,72.2,3.259999999999991,2.239999999999995,75.775,77.91,73.62,4.289999999999992,4.289999999999992,72.33,75.31,70.53,4.780000000000001,3.740000000000009,74.9325,76.4,71.81,4.590000000000003,4.590000000000003,589049,768539,363516,405023,271790
2018-12-30,78.2425,79.91,76.65,3.259999999999991,3.259999999999991,80.4025,81.43,78.81,2.6200000000000045,2.6200000000000045,77.1425,78.8,75.49,3.3100000000000023,3.3100000000000023,79.325,79.95,78.64,1.3100000000000023,1.3100000000000023,780585,1695680,366982,1328698,1132053
2019-01-06,82.124,83.32,80.09,3.2299999999999898,3.2299999999999898,83.704,85.11,81.55,3.5600000000000023,3.0,81.56,83.0,79.54,3.4599999999999937,3.4599999999999937,82.946,84.19,80.41,3.780000000000001,3.780000000000001,652144,1136610,483491,653119,-166406
2019-01-13,83.106,83.86,82.18,1.6799999999999926,-0.6099999999999994,84.192,84.99,83.5,1.4899999999999949,-0.6700000000000017,82.572,83.01,82.01,1.0,-0.09000000000000341,83.052,83.45,82.75,0.7000000000000028,0.18000000000000682,406670,635159,260635,374524,-230428
2019-01-20,82.4475,83.95,81.15,2.799999999999997,1.240000000000009,83.3675,84.41,82.19,2.219999999999999,0.7599999999999909,81.29,83.27,79.79,3.4799999999999898,3.4799999999999898,82.295,83.62,80.72,2.9000000000000057,2.9000000000000057,368819,486997,221961,265036,10762
2019-01-27,83.616,83.76,83.27,0.4900000000000091,0.46000000000000796,84.454,84.89,84.1,0.7900000000000063,0.4099999999999966,82.372,83.33,80.3,3.030000000000001,0.14000000000000057,83.66799999999999,84.07,83.38,0.6899999999999977,0.5599999999999881,372066,529580,241757,287823,88802
2019-02-03,83.778,84.4,83.09,1.3100000000000023,-1.0499999999999972,84.542,84.97,84.01,0.9599999999999937,-0.6400000000000006,83.008,84.01,82.06,1.9500000000000028,-0.2400000000000091,83.90599999999999,84.51,83.35,1.1600000000000108,0.6400000000000006,286049,340363,248782,91581,77798
2019-02-10,86.124,87.35,84.1,3.25,3.25,87.452,89.02,85.99,3.030000000000001,3.030000000000001,85.39,86.33,83.09,3.239999999999995,3.239999999999995,86.966,89.01,85.47,3.5400000000000063,3.5400000000000063,482809,579726,324762,254964,-43462
2019-02-17,89.9925,91.13,88.83,2.299999999999997,2.1199999999999903,91.1325,91.98,89.88,2.1000000000000085,1.9399999999999977,89.405,90.77,88.13,2.6400000000000006,2.3299999999999983,90.5825,91.8,88.89,2.9099999999999966,2.9099999999999966,428397,620906,351489,269417,-18556
2019-02-24,94.41,98.36,91.0,7.359999999999999,5.810000000000002,97.17,102.7,93.0,9.700000000000003,9.700000000000003,93.898,97.95,90.65,7.299999999999997,7.299999999999997,96.094,101.55,90.86,10.689999999999998,10.689999999999998,1011117,1766830,645104,1121726,1052788
2019-03-03,102.11800000000001,103.25,100.76,2.489999999999995,-0.5900000000000034,103.466,104.03,102.4,1.6299999999999955,1.1699999999999875,101.006,102.57,99.46,3.1099999999999994,1.720000000000013,102.306,103.21,100.73,2.4799999999999898,2.259999999999991,636023,882324,493801,388523,-56371
2019-03-10,105.424,107.27,103.37,3.8999999999999915,3.8999999999999915,106.766,108.32,104.15,4.1699999999999875,4.1699999999999875,104.862,106.5,102.27,4.230000000000004,4.170000000000002,105.978,107.27,104.0,3.269999999999996,2.5900000000000034,520321,597735,364603,233132,71595
2019-03-17,106.642,108.25,105.24,3.010000000000005,1.3599999999999994,108.078,109.55,107.29,2.259999999999991,1.1999999999999886,104.978,105.84,104.32,1.5200000000000102,-1.1599999999999966,106.33200000000001,108.65,105.2,3.450000000000003,-1.4200000000000017,635773,756998,492982,264016,-125777
2019-03-24,108.074,111.3,105.19,6.109999999999999,6.109999999999999,109.388,111.34,106.38,4.960000000000008,4.920000000000002,106.854,109.07,103.91,5.159999999999997,4.329999999999998,108.33,110.49,105.75,4.739999999999995,2.6200000000000045,570930,661044,468241,192803,-103869
2019-03-31,110.024,112.2,109.01,3.1899999999999977,3.1899999999999977,111.12,113.68,109.54,4.140000000000001,4.140000000000001,109.02,111.67,107.69,3.980000000000004,3.980000000000004,110.606,112.73,108.67,4.060000000000002,3.5600000000000023,444514,584767,332163,252604,252604
2019-04-07,113.45,115.61,111.64,3.969999999999999,3.1099999999999994,114.682,116.15,112.62,3.530000000000001,3.0900000000000034,112.6,114.58,110.82,3.760000000000005,3.3300000000000125,113.986,115.81,111.78,4.030000000000001,4.030000000000001,557087,745364,416213,329151,-161392
2019-04-14,117.2775,118.4,115.93,2.469999999999999,1.8499999999999943,118.355,119.93,117.0,2.930000000000007,1.1099999999999994,116.1225,117.61,115.05,2.5600000000000023,0.21000000000000796,116.9825,117.96,115.3,2.6599999999999966,-1.5300000000000011,407408,606920,281929,324991,145461
2019-04-21,115.27799999999999,116.46,113.71,2.75,1.2099999999999937,116.674,117.24,115.89,1.3499999999999943,1.2299999999999898,114.324,115.9,113.08,2.8200000000000074,2.2900000000000063,115.646,116.85,113.8,3.049999999999997,3.049999999999997,357430,544345,246343,298002,-298002
2019-04-28,115.884,117.81,111.5,6.310000000000002,-5.969999999999999,116.768,118.7,112.3,6.400000000000006,-5.680000000000007,113.54599999999999,116.58,109.66,6.920000000000002,-6.25,114.464,117.65,111.1,6.550000000000011,-6.550000000000011,498681,867546,331688,535858,156897
2019-05-05,109.838,112.59,107.25,5.340000000000003,0.6000000000000085,112.666,114.0,110.58,3.4200000000000017,-1.990000000000009,108.08,109.31,105.88,3.430000000000007,-0.8400000000000034,110.692,112.99,108.33,4.659999999999997,-1.3399999999999892,602307,910828,359409,551419,-551419
2019-05-12,106.354,109.63,103.8,5.829999999999998,-2.8799999999999955,107.922,110.22,106.09,4.1299999999999955,-2.6700000000000017,104.68599999999999,105.5,102.99,2.510000000000005,0.6899999999999977,106.122,107.73,105.01,2.719999999999999,0.15000000000000568,498488,719366,322979,396387,-189652
2019-05-19,104.644,105.76,102.66,3.1000000000000085,-2.0500000000000114,105.512,106.39,104.1,2.2900000000000063,-0.8300000000000125,103.462,104.58,101.14,3.4399999999999977,-1.0799999999999983,104.51,105.85,103.25,2.5999999999999943,-0.8999999999999915,373873,630243,230549,399694,145660
2019-05-26,104.035,104.78,102.77,2.010000000000005,-1.8100000000000023,105.865,106.81,103.8,3.010000000000005,-2.8299999999999983,103.1425,104.58,100.07,4.510000000000005,-4.510000000000005,103.70750000000001,105.09,100.15,4.939999999999998,-4.939999999999998,396195,653817,245745,408072,332668
2019-06-02,100.394,101.62,99.3,2.3200000000000074,-0.29999999999999716,101.31400000000001,102.09,100.54,1.5499999999999972,-1.039999999999992,98.83,99.79,98.06,1.730000000000004,-0.6900000000000119,99.708,101.29,98.47,2.8200000000000074,-0.75,455501,623281,308613,314668,-156796
2019-06-09,99.32000000000001,100.94,97.98,2.9599999999999937,2.450000000000003,100.31,101.41,99.22,2.1899999999999977,1.7199999999999989,98.038,98.98,97.31,1.6700000000000017,1.6500000000000057,99.396,101.08,98.31,2.769999999999996,0.09999999999999432,349517,444562,223268,221294,-180967
2019-06-16,101.33,103.12,99.25,3.8700000000000045,3.8700000000000045,102.88,104.57,100.94,3.6299999999999955,2.180000000000007,99.606,100.84,97.91,2.930000000000007,2.930000000000007,101.512,103.46,100.04,3.4199999999999875,1.269999999999996,474143,637594,348521,289073,26054
2019-06-23,100.026,101.62,98.9,2.719999999999999,-0.8700000000000045,100.766,102.23,99.67,2.5600000000000023,0.28000000000000114,98.50399999999999,99.85,97.57,2.280000000000001,0.5499999999999972,99.66799999999999,101.0,98.52,2.480000000000004,1.1599999999999966,1407661,5431468,331826,5099642,5099642
2019-06-30,104.9975,107.34,102.79,4.549999999999997,4.549999999999997,108.055,110.75,104.39,6.359999999999999,6.359999999999999,104.6675,107.34,102.02,5.320000000000007,5.320000000000007,107.5025,110.42,104.29,6.1299999999999955,5.809999999999988,434754,496949,364497,132452,-61863
