Date,VelocityShares 3x Long Gold linked to SP GSCI Gold_Open_average,VelocityShares 3x Long Gold linked to SP GSCI Gold_Open_max,VelocityShares 3x Long Gold linked to SP GSCI Gold_Open_min,VelocityShares 3x Long Gold linked to SP GSCI Gold_Open_volatility,VelocityShares 3x Long Gold linked to SP GSCI Gold_Open_change,VelocityShares 3x Long Gold linked to SP GSCI Gold_High_average,VelocityShares 3x Long Gold linked to SP GSCI Gold_High_max,VelocityShares 3x Long Gold linked to SP GSCI Gold_High_min,VelocityShares 3x Long Gold linked to SP GSCI Gold_High_volatility,VelocityShares 3x Long Gold linked to SP GSCI Gold_High_change,VelocityShares 3x Long Gold linked to SP GSCI Gold_Low_average,VelocityShares 3x Long Gold linked to SP GSCI Gold_Low_max,VelocityShares 3x Long Gold linked to SP GSCI Gold_Low_min,VelocityShares 3x Long Gold linked to SP GSCI Gold_Low_volatility,VelocityShares 3x Long Gold linked to SP GSCI Gold_Low_change,VelocityShares 3x Long Gold linked to SP GSCI Gold_Close_average,VelocityShares 3x Long Gold linked to SP GSCI Gold_Close_max,VelocityShares 3x Long Gold linked to SP GSCI Gold_Close_min,VelocityShares 3x Long Gold linked to SP GSCI Gold_Close_volatility,VelocityShares 3x Long Gold linked to SP GSCI Gold_Close_change
2018-10-07,85.52,85.52,85.52,0.0,0.0,86.32,86.32,86.32,0.0,0.0,85.01,85.01,85.01,0.0,0.0,85.12,85.12,85.12,0.0,0.0
2018-10-14,84.2,84.2,84.2,0.0,0.0,84.61,84.61,84.61,0.0,0.0,83.88,83.88,83.88,0.0,0.0,84.42,84.42,84.42,0.0,0.0
2018-10-21,85.83,85.83,85.83,0.0,0.0,86.05,86.05,86.05,0.0,0.0,84.6,84.6,84.6,0.0,0.0,85.55,85.55,85.55,0.0,0.0
2018-10-28,85.39,85.39,85.39,0.0,0.0,86.24,86.24,86.24,0.0,0.0,85.32,85.32,85.32,0.0,0.0,85.66,85.66,85.66,0.0,0.0
2018-11-04,80.17,80.17,80.17,0.0,0.0,80.29,80.29,80.29,0.0,0.0,79.3,79.3,79.3,0.0,0.0,79.47,79.47,79.47,0.0,0.0
2018-11-11,83.39,83.39,83.39,0.0,0.0,84.33,84.33,84.33,0.0,0.0,83.21,83.21,83.21,0.0,0.0,83.82,83.82,83.82,0.0,0.0
2018-11-18,84.24,84.24,84.24,0.0,0.0,84.24,84.24,84.24,0.0,0.0,83.49,83.49,83.49,0.0,0.0,83.65,83.65,83.65,0.0,0.0
2018-11-25,85.68,85.68,85.68,0.0,0.0,85.97,85.97,85.97,0.0,0.0,84.95,84.95,84.95,0.0,0.0,85.11,85.11,85.11,0.0,0.0
2018-12-02,87.97,87.97,87.97,0.0,0.0,88.55,88.55,88.55,0.0,0.0,87.47,87.47,87.47,0.0,0.0,87.87,87.87,87.87,0.0,0.0
2018-12-09,86.92,86.92,86.92,0.0,0.0,88.46,88.46,88.46,0.0,0.0,86.92,86.92,86.92,0.0,0.0,88.03,88.03,88.03,0.0,0.0
2018-12-16,91.86,91.86,91.86,0.0,0.0,92.91,92.91,92.91,0.0,0.0,91.69,91.69,91.69,0.0,0.0,92.73,92.73,92.73,0.0,0.0
2018-12-23,94.88,94.88,94.88,0.0,0.0,95.5,95.5,95.5,0.0,0.0,94.57,94.57,94.57,0.0,0.0,95.41,95.41,95.41,0.0,0.0
2018-12-30,97.46,97.46,97.46,0.0,0.0,97.54,97.54,97.54,0.0,0.0,96.16,96.16,96.16,0.0,0.0,96.62,96.62,96.62,0.0,0.0
2019-01-06,97.2,97.2,97.2,0.0,0.0,97.45,97.45,97.45,0.0,0.0,96.6,96.6,96.6,0.0,0.0,97.04,97.04,97.04,0.0,0.0
2019-01-13,94.79,94.79,94.79,0.0,0.0,95.41,95.41,95.41,0.0,0.0,94.34,94.34,94.34,0.0,0.0,94.39,94.39,94.39,0.0,0.0
2019-01-20,98.28,98.28,98.28,0.0,0.0,99.49,99.49,99.49,0.0,0.0,98.2,98.2,98.2,0.0,0.0,99.47,99.47,99.47,0.0,0.0
2019-01-27,101.05,101.05,101.05,0.0,0.0,101.76,101.76,101.76,0.0,0.0,100.66,100.66,100.66,0.0,0.0,101.06,101.06,101.06,0.0,0.0
2019-02-03,99.03,99.03,99.03,0.0,0.0,100.45,100.45,100.45,0.0,0.0,98.97,98.97,98.97,0.0,0.0,100.07,100.07,100.07,0.0,0.0
2019-02-10,102.3,102.3,102.3,0.0,0.0,103.29,103.29,103.29,0.0,0.0,101.32,101.32,101.32,0.0,0.0,102.97,102.97,102.97,0.0,0.0
2019-02-17,104.99,104.99,104.99,0.0,0.0,105.22,105.22,105.22,0.0,0.0,103.59,103.59,103.59,0.0,0.0,103.94,103.94,103.94,0.0,0.0
2019-02-24,94.41,94.41,94.41,0.0,0.0,95.11,95.11,95.11,0.0,0.0,93.66,93.66,93.66,0.0,0.0,94.48,94.48,94.48,0.0,0.0
2019-03-03,96.47,96.47,96.47,0.0,0.0,96.47,96.47,96.47,0.0,0.0,95.08,95.08,95.08,0.0,0.0,95.7,95.7,95.7,0.0,0.0
2019-03-10,98.17,98.17,98.17,0.0,0.0,98.39,98.39,98.39,0.0,0.0,97.42,97.42,97.42,0.0,0.0,97.61,97.61,97.61,0.0,0.0
2019-03-17,101.15,101.15,101.15,0.0,0.0,102.52,102.52,102.52,0.0,0.0,101.05,101.05,101.05,0.0,0.0,102.04,102.04,102.04,0.0,0.0
2019-03-24,95.71,95.71,95.71,0.0,0.0,95.74,95.74,95.74,0.0,0.0,93.7,93.7,93.7,0.0,0.0,93.73,93.73,93.73,0.0,0.0
2019-03-31,97.0,97.0,97.0,0.0,0.0,97.0,97.0,97.0,0.0,0.0,95.67,95.67,95.67,0.0,0.0,96.03,96.03,96.03,0.0,0.0
2019-04-07,92.55,92.55,92.55,0.0,0.0,93.94,93.94,93.94,0.0,0.0,92.3,92.3,92.3,0.0,0.0,93.55,93.55,93.55,0.0,0.0
2019-04-14,90.68,90.68,90.68,0.0,0.0,90.69,90.69,90.69,0.0,0.0,90.25,90.25,90.25,0.0,0.0,90.47,90.47,90.47,0.0,0.0
2019-04-21,91.61,91.61,91.61,0.0,0.0,91.65,91.65,91.65,0.0,0.0,91.15,91.15,91.15,0.0,0.0,91.5,91.5,91.5,0.0,0.0
2019-04-28,90.76,90.76,90.76,0.0,0.0,91.96,91.96,91.96,0.0,0.0,90.75,90.75,90.75,0.0,0.0,91.35,91.35,91.35,0.0,0.0
2019-05-05,95.27,95.27,95.27,0.0,0.0,95.81,95.81,95.81,0.0,0.0,94.7,94.7,94.7,0.0,0.0,95.45,95.45,95.45,0.0,0.0
2019-05-12,90.15,90.15,90.15,0.0,0.0,90.69,90.69,90.69,0.0,0.0,90.0,90.0,90.0,0.0,0.0,90.5,90.5,90.5,0.0,0.0
2019-05-19,91.57,91.57,91.57,0.0,0.0,91.91,91.91,91.91,0.0,0.0,91.12,91.12,91.12,0.0,0.0,91.83,91.83,91.83,0.0,0.0
2019-05-26,98.32,98.32,98.32,0.0,0.0,101.25,101.25,101.25,0.0,0.0,97.91,97.91,97.91,0.0,0.0,100.68,100.68,100.68,0.0,0.0
2019-06-02,101.29,101.29,101.29,0.0,0.0,101.4,101.4,101.4,0.0,0.0,100.37,100.37,100.37,0.0,0.0,101.0,101.0,101.0,0.0,0.0
2019-06-09,104.29,104.29,104.29,0.0,0.0,104.42,104.42,104.42,0.0,0.0,103.0,103.0,103.0,0.0,0.0,103.64,103.64,103.64,0.0,0.0
2019-06-16,119.6,119.6,119.6,0.0,0.0,122.82,122.82,122.82,0.0,0.0,119.08,119.08,119.08,0.0,0.0,122.59,122.59,122.59,0.0,0.0
2019-06-23,116.22,116.22,116.22,0.0,0.0,116.6,116.6,116.6,0.0,0.0,113.43,113.43,113.43,0.0,0.0,113.63,113.63,113.63,0.0,0.0
2019-06-30,117.49,117.49,117.49,0.0,0.0,117.76,117.76,117.76,0.0,0.0,115.13,115.13,115.13,0.0,0.0,115.13,115.13,115.13,0.0,0.0
2019-07-07,120.05,120.05,120.05,0.0,0.0,120.81,120.81,120.81,0.0,0.0,119.0,119.0,119.0,0.0,0.0,120.8,120.8,120.8,0.0,0.0
2019-07-14,123.54,123.54,123.54,0.0,0.0,124.25,124.25,124.25,0.0,0.0,122.9,122.9,122.9,0.0,0.0,123.26,123.26,123.26,0.0,0.0
2019-07-21,122.12,122.12,122.12,0.0,0.0,123.79,123.79,123.79,0.0,0.0,120.52,120.52,120.52,0.0,0.0,123.23,123.23,123.23,0.0,0.0
2019-07-28,132.51,132.51,132.51,0.0,0.0,134.36,134.36,134.36,0.0,0.0,130.0,130.0,130.0,0.0,0.0,131.87,131.87,131.87,0.0,0.0
2019-08-04,142.99,142.99,142.99,0.0,0.0,148.0,148.0,148.0,0.0,0.0,142.92,142.92,142.92,0.0,0.0,145.79,145.79,145.79,0.0,0.0
2019-08-11,141.56,141.56,141.56,0.0,0.0,142.93,142.93,142.93,0.0,0.0,140.23,140.23,140.23,0.0,0.0,140.96,140.96,140.96,0.0,0.0
2019-08-18,150.71,150.71,150.71,0.0,0.0,152.5,152.5,152.5,0.0,0.0,149.43,149.43,149.43,0.0,0.0,149.7,149.7,149.7,0.0,0.0
2019-08-25,148.88,148.88,148.88,0.0,0.0,150.86,150.86,150.86,0.0,0.0,146.22,146.22,146.22,0.0,0.0,148.41,148.41,148.41,0.0,0.0
2019-09-01,143.78,143.78,143.78,0.0,0.0,144.02,144.02,144.02,0.0,0.0,140.2,140.2,140.2,0.0,0.0,140.8,140.8,140.8,0.0,0.0
