Date,WBI Power Factor High Dividend_Open_average,WBI Power Factor High Dividend_Open_max,WBI Power Factor High Dividend_Open_min,WBI Power Factor High Dividend_Open_volatility,WBI Power Factor High Dividend_Open_change,WBI Power Factor High Dividend_High_average,WBI Power Factor High Dividend_High_max,WBI Power Factor High Dividend_High_min,WBI Power Factor High Dividend_High_volatility,WBI Power Factor High Dividend_High_change,WBI Power Factor High Dividend_Low_average,WBI Power Factor High Dividend_Low_max,WBI Power Factor High Dividend_Low_min,WBI Power Factor High Dividend_Low_volatility,WBI Power Factor High Dividend_Low_change,WBI Power Factor High Dividend_Close_average,WBI Power Factor High Dividend_Close_max,WBI Power Factor High Dividend_Close_min,WBI Power Factor High Dividend_Close_volatility,WBI Power Factor High Dividend_Close_change
2018-08-19,27.55,27.55,27.55,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.55,27.55,27.55,0.0,0.0
2018-08-26,27.3,27.3,27.3,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.16,27.16,27.16,0.0,0.0
2018-09-02,27.29,27.29,27.29,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.18,27.18,27.18,0.0,0.0,27.25,27.25,27.25,0.0,0.0
2018-09-09,27.4,27.4,27.4,0.0,0.0,27.63,27.63,27.63,0.0,0.0,27.35,27.35,27.35,0.0,0.0,27.63,27.63,27.63,0.0,0.0
2018-09-16,27.79,27.79,27.79,0.0,0.0,27.81,27.81,27.81,0.0,0.0,27.69,27.69,27.69,0.0,0.0,27.73,27.73,27.73,0.0,0.0
2018-09-23,26.96,26.96,26.96,0.0,0.0,27.0,27.0,27.0,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.97,26.97,26.97,0.0,0.0
2018-09-30,26.7,26.7,26.7,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.74,26.74,26.74,0.0,0.0
2018-10-07,25.76,25.76,25.76,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2018-10-14,25.7,25.7,25.7,0.0,0.0,26.02,26.02,26.02,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.79,25.79,25.79,0.0,0.0
2018-10-21,24.84,24.84,24.84,0.0,0.0,25.15,25.15,25.15,0.0,0.0,24.78,24.78,24.78,0.0,0.0,24.86,24.86,24.86,0.0,0.0
