Date,iShares Global Utilities_Open_average,iShares Global Utilities_Open_max,iShares Global Utilities_Open_min,iShares Global Utilities_Open_volatility,iShares Global Utilities_Open_change,iShares Global Utilities_High_average,iShares Global Utilities_High_max,iShares Global Utilities_High_min,iShares Global Utilities_High_volatility,iShares Global Utilities_High_change,iShares Global Utilities_Low_average,iShares Global Utilities_Low_max,iShares Global Utilities_Low_min,iShares Global Utilities_Low_volatility,iShares Global Utilities_Low_change,iShares Global Utilities_Close_average,iShares Global Utilities_Close_max,iShares Global Utilities_Close_min,iShares Global Utilities_Close_volatility,iShares Global Utilities_Close_change
2019-02-24,52.89,52.89,52.89,0.0,0.0,52.99,52.99,52.99,0.0,0.0,52.43,52.43,52.43,0.0,0.0,52.76,52.76,52.76,0.0,0.0
2019-03-03,53.11,53.11,53.11,0.0,0.0,53.52,53.52,53.52,0.0,0.0,53.11,53.11,53.11,0.0,0.0,53.5,53.5,53.5,0.0,0.0
2019-03-10,54.22,54.22,54.22,0.0,0.0,54.29,54.29,54.29,0.0,0.0,54.03,54.03,54.03,0.0,0.0,54.17,54.17,54.17,0.0,0.0
2019-03-17,54.52,54.52,54.52,0.0,0.0,54.57,54.57,54.57,0.0,0.0,54.4,54.4,54.4,0.0,0.0,54.55,54.55,54.55,0.0,0.0
2019-03-24,54.02,54.02,54.02,0.0,0.0,54.02,54.02,54.02,0.0,0.0,53.53,53.53,53.53,0.0,0.0,53.81,53.81,53.81,0.0,0.0
2019-03-31,54.02,54.02,54.02,0.0,0.0,54.05,54.05,54.05,0.0,0.0,53.72,53.72,53.72,0.0,0.0,53.75,53.75,53.75,0.0,0.0
2019-04-07,53.91,53.91,53.91,0.0,0.0,54.02,54.02,54.02,0.0,0.0,53.76,53.76,53.76,0.0,0.0,53.82,53.82,53.82,0.0,0.0
2019-04-14,53.04,53.04,53.04,0.0,0.0,53.18,53.18,53.18,0.0,0.0,52.99,52.99,52.99,0.0,0.0,53.08,53.08,53.08,0.0,0.0
2019-04-21,53.44,53.44,53.44,0.0,0.0,53.44,53.44,53.44,0.0,0.0,53.13,53.13,53.13,0.0,0.0,53.29,53.29,53.29,0.0,0.0
2019-04-28,53.47,53.47,53.47,0.0,0.0,53.59,53.59,53.59,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.43,53.43,53.43,0.0,0.0
2019-05-05,53.22,53.22,53.22,0.0,0.0,53.87,53.87,53.87,0.0,0.0,53.22,53.22,53.22,0.0,0.0,53.87,53.87,53.87,0.0,0.0
2019-05-12,53.99,53.99,53.99,0.0,0.0,54.3,54.3,54.3,0.0,0.0,53.94,53.94,53.94,0.0,0.0,54.08,54.08,54.08,0.0,0.0
2019-05-19,54.83,54.83,54.83,0.0,0.0,55.16,55.16,55.16,0.0,0.0,54.83,54.83,54.83,0.0,0.0,54.92,54.92,54.92,0.0,0.0
2019-05-26,53.81,53.81,53.81,0.0,0.0,54.21,54.21,54.21,0.0,0.0,53.69,53.69,53.69,0.0,0.0,54.19,54.19,54.19,0.0,0.0
2019-06-02,55.59,55.59,55.59,0.0,0.0,55.59,55.59,55.59,0.0,0.0,55.19,55.19,55.19,0.0,0.0,55.3,55.3,55.3,0.0,0.0
2019-06-09,54.81,54.81,54.81,0.0,0.0,54.9,54.9,54.9,0.0,0.0,54.56,54.56,54.56,0.0,0.0,54.66,54.66,54.66,0.0,0.0
2019-06-16,55.65,55.65,55.65,0.0,0.0,55.68,55.68,55.68,0.0,0.0,55.53,55.53,55.53,0.0,0.0,55.61,55.61,55.61,0.0,0.0
2019-06-23,54.61,54.61,54.61,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.15,54.15,54.15,0.0,0.0,54.49,54.49,54.49,0.0,0.0
2019-06-30,55.18,55.18,55.18,0.0,0.0,55.35,55.35,55.35,0.0,0.0,55.02,55.02,55.02,0.0,0.0,55.14,55.14,55.14,0.0,0.0
2019-07-07,55.37,55.37,55.37,0.0,0.0,55.37,55.37,55.37,0.0,0.0,55.24,55.24,55.24,0.0,0.0,55.33,55.33,55.33,0.0,0.0
2019-07-14,55.02,55.02,55.02,0.0,0.0,55.02,55.02,55.02,0.0,0.0,54.75,54.75,54.75,0.0,0.0,54.92,54.92,54.92,0.0,0.0
2019-07-21,54.84,54.84,54.84,0.0,0.0,54.99,54.99,54.99,0.0,0.0,54.73,54.73,54.73,0.0,0.0,54.92,54.92,54.92,0.0,0.0
2019-07-28,54.46,54.46,54.46,0.0,0.0,54.46,54.46,54.46,0.0,0.0,53.67,53.67,53.67,0.0,0.0,53.89,53.89,53.89,0.0,0.0
2019-08-04,54.86,54.86,54.86,0.0,0.0,54.93,54.93,54.93,0.0,0.0,54.5,54.5,54.5,0.0,0.0,54.73,54.73,54.73,0.0,0.0
2019-08-11,55.4,55.4,55.4,0.0,0.0,55.85,55.85,55.85,0.0,0.0,55.4,55.4,55.4,0.0,0.0,55.67,55.67,55.67,0.0,0.0
2019-08-18,55.36,55.36,55.36,0.0,0.0,55.64,55.64,55.64,0.0,0.0,55.36,55.36,55.36,0.0,0.0,55.64,55.64,55.64,0.0,0.0
2019-08-25,56.33,56.33,56.33,0.0,0.0,56.33,56.33,56.33,0.0,0.0,56.14,56.14,56.14,0.0,0.0,56.22,56.22,56.22,0.0,0.0
2019-09-01,56.35,56.35,56.35,0.0,0.0,56.35,56.35,56.35,0.0,0.0,56.0,56.0,56.0,0.0,0.0,56.07,56.07,56.07,0.0,0.0
2019-09-08,56.68,56.68,56.68,0.0,0.0,56.68,56.68,56.68,0.0,0.0,56.37,56.37,56.37,0.0,0.0,56.41,56.41,56.41,0.0,0.0
2019-09-15,57.59,57.59,57.59,0.0,0.0,57.8,57.8,57.8,0.0,0.0,57.59,57.59,57.59,0.0,0.0,57.68,57.68,57.68,0.0,0.0
2019-09-22,58.25,58.25,58.25,0.0,0.0,58.4,58.4,58.4,0.0,0.0,58.18,58.18,58.18,0.0,0.0,58.35,58.35,58.35,0.0,0.0
2019-09-29,58.27,58.27,58.27,0.0,0.0,58.39,58.39,58.39,0.0,0.0,58.13,58.13,58.13,0.0,0.0,58.19,58.19,58.19,0.0,0.0
2019-10-06,57.95,57.95,57.95,0.0,0.0,57.95,57.95,57.95,0.0,0.0,57.53,57.53,57.53,0.0,0.0,57.57,57.57,57.57,0.0,0.0
2019-10-13,57.97,57.97,57.97,0.0,0.0,58.18,58.18,58.18,0.0,0.0,57.97,57.97,57.97,0.0,0.0,58.1,58.1,58.1,0.0,0.0
2019-10-20,58.01,58.01,58.01,0.0,0.0,58.06,58.06,58.06,0.0,0.0,57.68,57.68,57.68,0.0,0.0,57.7,57.7,57.7,0.0,0.0
2019-10-27,58.3,58.3,58.3,0.0,0.0,58.3,58.3,58.3,0.0,0.0,57.71,57.71,57.71,0.0,0.0,57.72,57.72,57.72,0.0,0.0
2019-11-03,56.49,56.49,56.49,0.0,0.0,56.49,56.49,56.49,0.0,0.0,56.2,56.2,56.2,0.0,0.0,56.2,56.2,56.2,0.0,0.0
2019-11-10,57.24,57.24,57.24,0.0,0.0,57.65,57.65,57.65,0.0,0.0,57.24,57.24,57.24,0.0,0.0,57.31,57.31,57.31,0.0,0.0
2019-11-17,57.3,57.3,57.3,0.0,0.0,57.33,57.33,57.33,0.0,0.0,57.1,57.1,57.1,0.0,0.0,57.16,57.16,57.16,0.0,0.0
2019-11-24,56.95,56.95,56.95,0.0,0.0,56.95,56.95,56.95,0.0,0.0,56.67,56.67,56.67,0.0,0.0,56.73,56.73,56.73,0.0,0.0
2019-12-01,57.39,57.39,57.39,0.0,0.0,57.47,57.47,57.47,0.0,0.0,57.19,57.19,57.19,0.0,0.0,57.22,57.22,57.22,0.0,0.0
2019-12-08,57.37,57.37,57.37,0.0,0.0,57.91,57.91,57.91,0.0,0.0,57.37,57.37,57.37,0.0,0.0,57.9,57.9,57.9,0.0,0.0
2019-12-15,58.63,58.63,58.63,0.0,0.0,58.63,58.63,58.63,0.0,0.0,58.16,58.16,58.16,0.0,0.0,58.18,58.18,58.18,0.0,0.0
2019-12-22,58.5,58.5,58.5,0.0,0.0,58.6,58.6,58.6,0.0,0.0,58.43,58.43,58.43,0.0,0.0,58.57,58.57,58.57,0.0,0.0
2019-12-29,58.12,58.12,58.12,0.0,0.0,58.41,58.41,58.41,0.0,0.0,58.05,58.05,58.05,0.0,0.0,58.21,58.21,58.21,0.0,0.0
