Date,iShares Core High Dividend_Open_average,iShares Core High Dividend_Open_max,iShares Core High Dividend_Open_min,iShares Core High Dividend_Open_volatility,iShares Core High Dividend_Open_change,iShares Core High Dividend_High_average,iShares Core High Dividend_High_max,iShares Core High Dividend_High_min,iShares Core High Dividend_High_volatility,iShares Core High Dividend_High_change,iShares Core High Dividend_Low_average,iShares Core High Dividend_Low_max,iShares Core High Dividend_Low_min,iShares Core High Dividend_Low_volatility,iShares Core High Dividend_Low_change,iShares Core High Dividend_Close_average,iShares Core High Dividend_Close_max,iShares Core High Dividend_Close_min,iShares Core High Dividend_Close_volatility,iShares Core High Dividend_Close_change
2019-02-24,92.7,92.7,92.7,0.0,0.0,92.85,92.85,92.85,0.0,0.0,92.2,92.2,92.2,0.0,0.0,92.84,92.84,92.84,0.0,0.0
2019-03-03,91.51,91.51,91.51,0.0,0.0,91.69,91.69,91.69,0.0,0.0,90.98,90.98,90.98,0.0,0.0,91.63,91.63,91.63,0.0,0.0
2019-03-10,93.46,93.46,93.46,0.0,0.0,93.89,93.89,93.89,0.0,0.0,93.46,93.46,93.46,0.0,0.0,93.66,93.66,93.66,0.0,0.0
2019-03-17,92.92,92.92,92.92,0.0,0.0,93.21,93.21,93.21,0.0,0.0,92.2,92.2,92.2,0.0,0.0,92.35,92.35,92.35,0.0,0.0
2019-03-24,93.28,93.28,93.28,0.0,0.0,93.36,93.36,93.36,0.0,0.0,92.79,92.79,92.79,0.0,0.0,93.29,93.29,93.29,0.0,0.0
2019-03-31,94.34,94.34,94.34,0.0,0.0,94.56,94.56,94.56,0.0,0.0,94.22,94.22,94.22,0.0,0.0,94.56,94.56,94.56,0.0,0.0
2019-04-07,94.85,94.85,94.85,0.0,0.0,94.9,94.9,94.9,0.0,0.0,94.54,94.54,94.54,0.0,0.0,94.82,94.82,94.82,0.0,0.0
2019-04-14,95.23,95.23,95.23,0.0,0.0,95.23,95.23,95.23,0.0,0.0,94.53,94.53,94.53,0.0,0.0,94.71,94.71,94.71,0.0,0.0
2019-04-21,94.27,94.27,94.27,0.0,0.0,94.54,94.54,94.54,0.0,0.0,94.13,94.13,94.13,0.0,0.0,94.54,94.54,94.54,0.0,0.0
2019-04-28,94.59,94.59,94.59,0.0,0.0,94.91,94.91,94.91,0.0,0.0,94.41,94.41,94.41,0.0,0.0,94.73,94.73,94.73,0.0,0.0
2019-05-05,92.53,92.53,92.53,0.0,0.0,93.63,93.63,93.63,0.0,0.0,91.77,91.77,91.77,0.0,0.0,93.43,93.43,93.43,0.0,0.0
2019-05-12,93.15,93.15,93.15,0.0,0.0,93.94,93.94,93.94,0.0,0.0,93.05,93.05,93.05,0.0,0.0,93.47,93.47,93.47,0.0,0.0
2019-05-19,92.96,92.96,92.96,0.0,0.0,93.02,93.02,93.02,0.0,0.0,92.5,92.5,92.5,0.0,0.0,92.75,92.75,92.75,0.0,0.0
2019-05-26,89.9,89.9,89.9,0.0,0.0,90.17,90.17,90.17,0.0,0.0,89.45,89.45,89.45,0.0,0.0,89.51,89.51,89.51,0.0,0.0
