Date,WisdomTree Earnings 500_etf_Open_average,WisdomTree Earnings 500_etf_Open_max,WisdomTree Earnings 500_etf_Open_min,WisdomTree Earnings 500_etf_Open_volatility,WisdomTree Earnings 500_etf_Open_change,WisdomTree Earnings 500_etf_High_average,WisdomTree Earnings 500_etf_High_max,WisdomTree Earnings 500_etf_High_min,WisdomTree Earnings 500_etf_High_volatility,WisdomTree Earnings 500_etf_High_change,WisdomTree Earnings 500_etf_Low_average,WisdomTree Earnings 500_etf_Low_max,WisdomTree Earnings 500_etf_Low_min,WisdomTree Earnings 500_etf_Low_volatility,WisdomTree Earnings 500_etf_Low_change,WisdomTree Earnings 500_etf_Close_average,WisdomTree Earnings 500_etf_Close_max,WisdomTree Earnings 500_etf_Close_min,WisdomTree Earnings 500_etf_Close_volatility,WisdomTree Earnings 500_etf_Close_change
2019-02-10,31.39,31.39,31.39,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.52,31.52,31.52,0.0,0.0
2019-02-17,31.55,31.55,31.55,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.69,31.69,31.69,0.0,0.0
2019-02-24,31.75,31.75,31.75,0.0,0.0,31.82,31.82,31.82,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2019-03-03,30.87,30.87,30.87,0.0,0.0,31.08,31.08,31.08,0.0,0.0,30.82,30.82,30.82,0.0,0.0,31.03,31.03,31.03,0.0,0.0
2019-03-10,31.87,31.87,31.87,0.0,0.0,32.03,32.03,32.03,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2019-03-17,32.0,32.0,32.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.49,31.49,31.49,0.0,0.0
2019-03-24,31.77,31.77,31.77,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.79,31.79,31.79,0.0,0.0
2019-03-31,32.5,32.5,32.5,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.58,32.58,32.58,0.0,0.0
2019-04-07,32.86,32.86,32.86,0.0,0.0,32.92,32.92,32.92,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.88,32.88,32.88,0.0,0.0
2019-04-14,33.0,33.0,33.0,0.0,0.0,33.0,33.0,33.0,0.0,0.0,32.83,32.83,32.83,0.0,0.0,32.92,32.92,32.92,0.0,0.0
2019-04-21,33.05,33.05,33.05,0.0,0.0,33.13,33.13,33.13,0.0,0.0,32.94,32.94,32.94,0.0,0.0,33.13,33.13,33.13,0.0,0.0
2019-04-28,33.16,33.16,33.16,0.0,0.0,33.31,33.31,33.31,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.31,33.31,33.31,0.0,0.0
2019-05-05,32.26,32.26,32.26,0.0,0.0,32.58,32.58,32.58,0.0,0.0,31.9,31.9,31.9,0.0,0.0,32.49,32.49,32.49,0.0,0.0
2019-05-12,32.01,32.01,32.01,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.01,32.01,32.01,0.0,0.0,32.12,32.12,32.12,0.0,0.0
2019-05-19,31.73,31.73,31.73,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.7,31.7,31.7,0.0,0.0
2019-05-26,30.84,30.84,30.84,0.0,0.0,30.92,30.92,30.92,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.7,30.7,30.7,0.0,0.0
2019-06-02,31.91,31.91,31.91,0.0,0.0,32.22,32.22,32.22,0.0,0.0,31.91,31.91,31.91,0.0,0.0,32.15,32.15,32.15,0.0,0.0
2019-06-09,32.24,32.24,32.24,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.36,32.36,32.36,0.0,0.0
2019-06-16,33.01,33.01,33.01,0.0,0.0,33.12,33.12,33.12,0.0,0.0,32.94,32.94,32.94,0.0,0.0,32.94,32.94,32.94,0.0,0.0
2019-06-23,32.82,32.82,32.82,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.74,32.74,32.74,0.0,0.0,32.88,32.88,32.88,0.0,0.0
2019-06-30,33.3,33.3,33.3,0.0,0.0,33.48,33.48,33.48,0.0,0.0,33.19,33.19,33.19,0.0,0.0,33.4,33.4,33.4,0.0,0.0
2019-07-07,33.56,33.56,33.56,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.76,33.76,33.76,0.0,0.0
2019-07-14,33.73,33.73,33.73,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.44,33.44,33.44,0.0,0.0,33.44,33.44,33.44,0.0,0.0
2019-07-21,33.96,33.96,33.96,0.0,0.0,34.13,34.13,34.13,0.0,0.0,33.96,33.96,33.96,0.0,0.0,34.12,34.12,34.12,0.0,0.0
2019-07-28,33.13,33.13,33.13,0.0,0.0,33.13,33.13,33.13,0.0,0.0,32.74,32.74,32.74,0.0,0.0,32.96,32.96,32.96,0.0,0.0
2019-08-04,32.81,32.81,32.81,0.0,0.0,32.82,32.82,32.82,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.65,32.65,32.65,0.0,0.0
2019-08-11,31.95,31.95,31.95,0.0,0.0,32.33,32.33,32.33,0.0,0.0,31.95,31.95,31.95,0.0,0.0,32.33,32.33,32.33,0.0,0.0
2019-08-18,32.63,32.63,32.63,0.0,0.0,32.71,32.71,32.71,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.85,31.85,31.85,0.0,0.0
2019-08-25,32.86,32.86,32.86,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.64,32.64,32.64,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2019-09-01,33.43,33.43,33.43,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.44,33.44,33.44,0.0,0.0
2019-09-08,34.21,34.21,34.21,0.0,0.0,34.22,34.22,34.22,0.0,0.0,34.07,34.07,34.07,0.0,0.0,34.14,34.14,34.14,0.0,0.0
2019-09-15,34.1,34.1,34.1,0.0,0.0,34.13,34.13,34.13,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.83,33.83,33.83,0.0,0.0
2019-09-22,33.66,33.66,33.66,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.2,33.2,33.2,0.0,0.0,33.34,33.34,33.34,0.0,0.0
2019-09-29,32.87,32.87,32.87,0.0,0.0,33.17,33.17,33.17,0.0,0.0,32.81,32.81,32.81,0.0,0.0,33.12,33.12,33.12,0.0,0.0
2019-10-06,33.42,33.42,33.42,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.42,33.42,33.42,0.0,0.0,33.51,33.51,33.51,0.0,0.0
2019-10-13,33.74,33.74,33.74,0.0,0.0,33.86,33.86,33.86,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.75,33.75,33.75,0.0,0.0
2019-10-20,34.22,34.22,34.22,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.37,34.37,34.37,0.0,0.0
2019-10-27,34.57,34.57,34.57,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.57,34.57,34.57,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2019-11-03,35.2,35.2,35.2,0.0,0.0,35.29,35.29,35.29,0.0,0.0,35.15,35.15,35.15,0.0,0.0,35.27,35.27,35.27,0.0,0.0
2019-11-10,35.5,35.5,35.5,0.0,0.0,35.52,35.52,35.52,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.52,35.52,35.52,0.0,0.0
2019-11-17,35.41,35.41,35.41,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.32,35.32,35.32,0.0,0.0,35.41,35.41,35.41,0.0,0.0
2019-11-24,35.88,35.88,35.88,0.0,0.0,35.88,35.88,35.88,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.79,35.79,35.79,0.0,0.0
2019-12-01,35.66,35.66,35.66,0.0,0.0,35.91,35.91,35.91,0.0,0.0,35.66,35.66,35.66,0.0,0.0,35.86,35.86,35.86,0.0,0.0
2019-12-08,36.19,36.19,36.19,0.0,0.0,36.42,36.42,36.42,0.0,0.0,36.05,36.05,36.05,0.0,0.0,36.2,36.2,36.2,0.0,0.0
2019-12-15,36.71,36.71,36.71,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.71,36.71,36.71,0.0,0.0,36.8,36.8,36.8,0.0,0.0
2019-12-22,36.89,36.89,36.89,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.74,36.74,36.74,0.0,0.0,36.75,36.75,36.75,0.0,0.0
2019-12-29,36.65,36.65,36.65,0.0,0.0,36.81,36.81,36.81,0.0,0.0,36.61,36.61,36.61,0.0,0.0,36.71,36.71,36.71,0.0,0.0
