Date,CX_Open_average,CX_Open_max,CX_Open_volatility,CX_Open_change%,CX_High_average,CX_High_max,CX_High_volatility,CX_High_change%,CX_Low_average,CX_Low_max,CX_Low_volatility,CX_Low_change%,CX_Close_average,CX_Close_max,CX_Close_volatility,CX_Close_change%,CX_Volume_average,CX_Volume_max,CX_Volume_volatility,CX_Volume_change%
2017-04-30,8.842,9.0,0.35999999999999943,-2.3359288097886637,8.946,9.15,0.33000000000000007,-3.606557377049181,8.676,8.87,0.34999999999999964,-2.7057497181510537,8.76,8.93,0.33000000000000007,-2.799552071668533,9227460,18505400,14282600,-77.18071481837734
2017-05-07,8.774000000000001,8.81,0.08999999999999986,0.45871559633026543,8.858,8.93,0.14000000000000057,1.137656427758833,8.696,8.78,0.16000000000000014,1.5081206496519814,8.776,8.84,0.10999999999999943,0.6857142857142914,4289640,6100600,2531000,3.0397545698581108
2017-05-14,8.518,8.85,0.5999999999999996,-3.3898305084745646,8.624,8.85,0.5,-2.372881355932193,8.4,8.68,0.5600000000000005,-2.534562211981554,8.486,8.7,0.4499999999999993,-2.528735632183895,8815420,13411500,8709300,18.076644974692698
2017-05-21,8.5025,8.61,0.2599999999999998,-1.7647058823529453,8.5525,8.62,0.17999999999999972,-1.8604651162790715,8.3875,8.48,0.16999999999999993,-1.6568047337277965,8.4525,8.58,0.22000000000000064,-2.3310023310023227,4903725,6896000,3112600,12.174098874483544
2017-05-28,8.406,8.5,0.21000000000000085,1.796407185628747,8.546,8.67,0.1899999999999995,1.2850467289719558,8.354,8.48,0.23000000000000043,1.9230769230769247,8.464,8.66,0.39000000000000057,2.7283511269276444,5579400,8592800,4659800,56.963320181207074
2017-06-04,8.91,9.14,0.4900000000000002,5.664739884393065,9.086,9.29,0.41999999999999993,4.735062006764374,8.848,9.12,0.5299999999999994,6.169965075669376,9.03,9.28,0.47999999999999865,5.454545454545439,9937540,16500800,10393500,-38.518764596923575
2017-06-11,9.172,9.3,0.3500000000000014,-3.7634408602150686,9.326,9.4,0.16000000000000014,0.4301075268817112,9.098,9.21,0.28000000000000114,-2.7233115468409586,9.234,9.29,0.14999999999999858,-0.431499460625665,9856700,11637800,4285400,54.46520863935586
2017-06-18,9.178,9.31,0.2599999999999998,0.7575757575757607,9.24,9.31,0.16999999999999993,0.43149946062568423,9.026,9.1,0.16000000000000014,0.887902330743619,9.128,9.19,0.16999999999999993,1.8847006651884695,12402280,14289400,6817200,-44.788603348653005
2017-06-25,9.29,9.43,0.3100000000000005,3.3991228070175494,9.424,9.71,0.5500000000000007,6.004366812227082,9.206,9.4,0.34999999999999964,3.867403314917123,9.382,9.66,0.5199999999999996,5.68927789934354,13808100,16768700,6615700,12.979414951245937
2017-07-02,9.74,9.92,0.3000000000000007,3.118503118503126,9.9125,10.11,0.33000000000000007,2.743902439024386,9.6875,9.84,0.2599999999999998,2.7139874739039644,9.8425,10.07,0.41000000000000014,2.9652351738241407,18478975,21217100,5256900,21.786872542548
2017-07-09,10.154,10.26,0.27999999999999936,-0.6965174129353262,10.248,10.37,0.23999999999999844,-0.491159135559911,10.072,10.23,0.3000000000000007,-0.7992007992007999,10.182,10.26,0.22000000000000064,-1.0837438423645438,15083680,18658100,7398700,-4.978618634184269
2017-07-16,9.972,10.16,0.3200000000000003,1.4985014985015022,10.068,10.2,0.28999999999999915,1.8981018981018931,9.856,10.05,0.33999999999999986,3.5015447991761053,9.991999999999999,10.18,0.33999999999999986,2.8455284552845463,12697180,24820400,18202800,-73.3380606275483
2017-07-23,9.808,10.11,0.5599999999999987,-4.352126607319481,9.874,10.16,0.5199999999999996,-4.330708661417318,9.64,10.08,0.6500000000000004,-5.555555555555561,9.774,10.1,0.5099999999999998,-3.8613861386138497,12529180,18890300,12825600,35.424670634986064
2017-07-30,9.798,9.88,0.14000000000000057,0.5117707267144392,9.88,9.95,0.1399999999999988,-1.1077542799597124,9.7,9.78,0.129999999999999,-0.30864197530865367,9.799999999999999,9.93,0.23000000000000043,-2.215508559919425,7294540,15945500,12904200,-80.03888244332256
2017-08-06,9.456,9.67,0.40000000000000036,-4.136504653567739,9.54,9.77,0.40000000000000036,-3.684749232343904,9.364,9.63,0.45000000000000107,-3.738317757009358,9.404,9.65,0.4299999999999997,-3.626943005181343,6340280,9511900,6365400,79.46304044630405
2017-08-13,9.25,9.33,0.1899999999999995,-0.7543103448275702,9.33,9.37,0.10999999999999943,-1.0683760683760646,9.158000000000001,9.23,0.15000000000000036,-0.8686210640608042,9.22,9.32,0.17999999999999972,-0.8639308855291584,5298660,6764700,2698500,-13.000128375197912
2017-08-20,9.136000000000001,9.23,0.15000000000000036,-0.975081256771396,9.18,9.29,0.17999999999999972,-1.6146393972012765,9.01,9.11,0.21999999999999886,-2.4149286498353333,9.106,9.13,0.07000000000000028,-0.1095290251916929,8061000,12041900,7543400,151.47493608980773
