Date,EMKR_stock_Open_average,EMKR_stock_Open_max,EMKR_stock_Open_min,EMKR_stock_Open_volatility,EMKR_stock_Open_change,EMKR_stock_High_average,EMKR_stock_High_max,EMKR_stock_High_min,EMKR_stock_High_volatility,EMKR_stock_High_change,EMKR_stock_Low_average,EMKR_stock_Low_max,EMKR_stock_Low_min,EMKR_stock_Low_volatility,EMKR_stock_Low_change,EMKR_stock_Close_average,EMKR_stock_Close_max,EMKR_stock_Close_min,EMKR_stock_Close_volatility,EMKR_stock_Close_change,EMKR_stock_Volume_average,EMKR_stock_Volume_max,EMKR_stock_Volume_min,EMKR_stock_Volume_volatility,EMKR_stock_Volume_change
2018-08-12,4.69,4.85,4.5,0.34999999999999964,-0.1999999999999993,4.78,4.9,4.7,0.20000000000000018,-0.15000000000000036,4.58,4.7,4.45,0.25,-0.04999999999999982,4.676,4.75,4.63,0.1200000000000001,-0.04999999999999982,146700,310614,12176,298438,-84285
2018-08-19,4.680000000000001,4.75,4.65,0.09999999999999964,0.09999999999999964,4.806,4.9,4.75,0.15000000000000036,0.15000000000000036,4.632,4.71,4.5,0.20999999999999996,0.11000000000000032,4.7299999999999995,4.8,4.6,0.20000000000000018,0.20000000000000018,96039,158537,30757,127780,14693
2018-08-26,4.84,4.95,4.75,0.20000000000000018,0.04999999999999982,4.99,5.15,4.9,0.25,0.04999999999999982,4.79,4.85,4.75,0.09999999999999964,0.0,4.8759999999999994,4.95,4.85,0.10000000000000053,0.0,224956,516888,58823,458065,-16911
2018-09-02,4.75,4.9,4.6,0.3000000000000007,-0.3000000000000007,4.8125,4.95,4.7,0.25,-0.25,4.625,4.75,4.55,0.20000000000000018,-0.20000000000000018,4.6625,4.85,4.55,0.2999999999999998,-0.2999999999999998,71015,111753,37410,74343,-51387
2018-09-09,4.54,4.7,4.45,0.25,-0.04999999999999982,4.63,4.75,4.5,0.25,-0.15000000000000036,4.48,4.55,4.45,0.09999999999999964,-0.04999999999999982,4.53,4.65,4.45,0.20000000000000018,-0.15000000000000036,89541,172807,52850,119957,-53669
2018-09-16,4.45,4.5,4.4,0.09999999999999964,-0.04999999999999982,4.602,4.8,4.48,0.3199999999999994,-0.16999999999999993,4.42,4.45,4.4,0.04999999999999982,0.04999999999999982,4.49,4.6,4.4,0.1999999999999993,0.09999999999999964,158373,315829,63550,252279,146745
2018-09-23,4.53,4.6,4.45,0.14999999999999947,0.04999999999999982,4.676,4.78,4.6,0.1800000000000006,0.1800000000000006,4.5,4.6,4.45,0.14999999999999947,0.09999999999999964,4.6,4.75,4.5,0.25,0.20000000000000018,99677,144197,73809,70388,-3837
2018-09-30,4.728000000000001,5.03,4.61,0.41999999999999993,0.29000000000000004,4.774,5.1,4.61,0.4899999999999993,0.2699999999999996,4.57,4.74,4.5,0.2400000000000002,0.2400000000000002,4.638,4.87,4.5,0.3700000000000001,0.3700000000000001,318657,819436,97899,721537,515206
2018-10-07,5.206,5.41,4.86,0.5499999999999998,0.4299999999999997,5.428,5.54,5.34,0.20000000000000018,0.07000000000000028,5.112,5.21,4.86,0.34999999999999964,0.22999999999999954,5.26,5.4,5.18,0.22000000000000064,-0.08999999999999986,396131,820388,163009,657379,-552063
2018-10-14,5.144,5.31,5.07,0.23999999999999932,-0.0699999999999994,5.25,5.34,5.16,0.17999999999999972,-0.13999999999999968,5.044,5.14,4.93,0.20999999999999996,-0.08999999999999986,5.13,5.28,5.05,0.23000000000000043,-0.23000000000000043,140428,255654,67087,188567,-42423
2018-10-21,4.992,5.06,4.9,0.15999999999999925,-0.15999999999999925,5.114,5.18,5.03,0.14999999999999947,-0.08000000000000007,4.876,4.95,4.76,0.1900000000000004,-0.07000000000000028,4.994,5.04,4.95,0.08999999999999986,-0.04999999999999982,125702,230058,48791,181267,179657
2018-10-28,4.9799999999999995,5.18,4.89,0.29000000000000004,0.1899999999999995,5.158,5.39,5.0,0.3899999999999997,0.1899999999999995,4.922,5.14,4.84,0.2999999999999998,0.2999999999999998,5.042,5.32,4.89,0.4300000000000006,0.41999999999999993,80464,107033,51143,55890,-28516
