Date,First Trust ISE Global Wind EnergyEtf_Open_average,First Trust ISE Global Wind EnergyEtf_Open_max,First Trust ISE Global Wind EnergyEtf_Open_min,First Trust ISE Global Wind EnergyEtf_Open_volatility,First Trust ISE Global Wind EnergyEtf_Open_change,First Trust ISE Global Wind EnergyEtf_High_average,First Trust ISE Global Wind EnergyEtf_High_max,First Trust ISE Global Wind EnergyEtf_High_min,First Trust ISE Global Wind EnergyEtf_High_volatility,First Trust ISE Global Wind EnergyEtf_High_change,First Trust ISE Global Wind EnergyEtf_Low_average,First Trust ISE Global Wind EnergyEtf_Low_max,First Trust ISE Global Wind EnergyEtf_Low_min,First Trust ISE Global Wind EnergyEtf_Low_volatility,First Trust ISE Global Wind EnergyEtf_Low_change,First Trust ISE Global Wind EnergyEtf_Close_average,First Trust ISE Global Wind EnergyEtf_Close_max,First Trust ISE Global Wind EnergyEtf_Close_min,First Trust ISE Global Wind EnergyEtf_Close_volatility,First Trust ISE Global Wind EnergyEtf_Close_change
2019-01-13,12.08,12.08,12.08,0.0,0.0,12.11,12.11,12.11,0.0,0.0,12.08,12.08,12.08,0.0,0.0,12.09,12.09,12.09,0.0,0.0
2019-01-20,12.42,12.42,12.42,0.0,0.0,12.44,12.44,12.44,0.0,0.0,12.39,12.39,12.39,0.0,0.0,12.4,12.4,12.4,0.0,0.0
2019-01-27,12.9,12.9,12.9,0.0,0.0,12.95,12.95,12.95,0.0,0.0,12.89,12.89,12.89,0.0,0.0,12.93,12.93,12.93,0.0,0.0
2019-02-03,12.58,12.58,12.58,0.0,0.0,12.67,12.67,12.67,0.0,0.0,12.58,12.58,12.58,0.0,0.0,12.64,12.64,12.64,0.0,0.0
2019-02-10,12.87,12.87,12.87,0.0,0.0,12.92,12.92,12.92,0.0,0.0,12.87,12.87,12.87,0.0,0.0,12.89,12.89,12.89,0.0,0.0
2019-02-17,12.97,12.97,12.97,0.0,0.0,13.03,13.03,13.03,0.0,0.0,12.97,12.97,12.97,0.0,0.0,13.03,13.03,13.03,0.0,0.0
2019-02-24,13.03,13.03,13.03,0.0,0.0,13.03,13.03,13.03,0.0,0.0,12.91,12.91,12.91,0.0,0.0,12.99,12.99,12.99,0.0,0.0
2019-03-03,12.81,12.81,12.81,0.0,0.0,12.83,12.83,12.83,0.0,0.0,12.78,12.78,12.78,0.0,0.0,12.83,12.83,12.83,0.0,0.0
2019-03-10,13.28,13.28,13.28,0.0,0.0,13.28,13.28,13.28,0.0,0.0,13.21,13.21,13.21,0.0,0.0,13.21,13.21,13.21,0.0,0.0
2019-03-17,13.0,13.0,13.0,0.0,0.0,13.01,13.01,13.01,0.0,0.0,12.9,12.9,12.9,0.0,0.0,12.9,12.9,12.9,0.0,0.0
2019-03-24,13.07,13.07,13.07,0.0,0.0,13.07,13.07,13.07,0.0,0.0,13.01,13.01,13.01,0.0,0.0,13.04,13.04,13.04,0.0,0.0
2019-03-31,13.18,13.18,13.18,0.0,0.0,13.27,13.27,13.27,0.0,0.0,13.18,13.18,13.18,0.0,0.0,13.26,13.26,13.26,0.0,0.0
2019-04-07,13.18,13.18,13.18,0.0,0.0,13.18,13.18,13.18,0.0,0.0,13.16,13.16,13.16,0.0,0.0,13.16,13.16,13.16,0.0,0.0
2019-04-14,13.15,13.15,13.15,0.0,0.0,13.2,13.2,13.2,0.0,0.0,13.15,13.15,13.15,0.0,0.0,13.2,13.2,13.2,0.0,0.0
2019-04-21,13.16,13.16,13.16,0.0,0.0,13.18,13.18,13.18,0.0,0.0,13.13,13.13,13.13,0.0,0.0,13.16,13.16,13.16,0.0,0.0
2019-04-28,13.13,13.13,13.13,0.0,0.0,13.21,13.21,13.21,0.0,0.0,13.12,13.12,13.12,0.0,0.0,13.21,13.21,13.21,0.0,0.0
2019-05-05,12.92,12.92,12.92,0.0,0.0,12.97,12.97,12.97,0.0,0.0,12.86,12.86,12.86,0.0,0.0,12.96,12.96,12.96,0.0,0.0
2019-05-12,12.82,12.82,12.82,0.0,0.0,12.86,12.86,12.86,0.0,0.0,12.81,12.81,12.81,0.0,0.0,12.85,12.85,12.85,0.0,0.0
2019-05-19,12.89,12.89,12.89,0.0,0.0,12.89,12.89,12.89,0.0,0.0,12.86,12.86,12.86,0.0,0.0,12.88,12.88,12.88,0.0,0.0
2019-05-26,12.63,12.63,12.63,0.0,0.0,12.67,12.67,12.67,0.0,0.0,12.6,12.6,12.6,0.0,0.0,12.66,12.66,12.66,0.0,0.0
2019-06-02,13.16,13.16,13.16,0.0,0.0,13.25,13.25,13.25,0.0,0.0,13.16,13.16,13.16,0.0,0.0,13.22,13.22,13.22,0.0,0.0
2019-06-09,13.12,13.12,13.12,0.0,0.0,13.14,13.14,13.14,0.0,0.0,13.11,13.11,13.11,0.0,0.0,13.13,13.13,13.13,0.0,0.0
2019-06-16,13.4,13.4,13.4,0.0,0.0,13.48,13.48,13.48,0.0,0.0,13.4,13.4,13.4,0.0,0.0,13.46,13.46,13.46,0.0,0.0
2019-06-23,13.36,13.36,13.36,0.0,0.0,13.38,13.38,13.38,0.0,0.0,13.33,13.33,13.33,0.0,0.0,13.35,13.35,13.35,0.0,0.0
2019-06-30,13.55,13.55,13.55,0.0,0.0,13.58,13.58,13.58,0.0,0.0,13.47,13.47,13.47,0.0,0.0,13.58,13.58,13.58,0.0,0.0
2019-07-07,13.56,13.56,13.56,0.0,0.0,13.57,13.57,13.57,0.0,0.0,13.54,13.54,13.54,0.0,0.0,13.57,13.57,13.57,0.0,0.0
2019-07-14,13.62,13.62,13.62,0.0,0.0,13.62,13.62,13.62,0.0,0.0,13.57,13.57,13.57,0.0,0.0,13.59,13.59,13.59,0.0,0.0
2019-07-21,13.45,13.45,13.45,0.0,0.0,13.45,13.45,13.45,0.0,0.0,13.41,13.41,13.41,0.0,0.0,13.42,13.42,13.42,0.0,0.0
2019-07-28,13.0,13.0,13.0,0.0,0.0,13.0,13.0,13.0,0.0,0.0,12.93,12.93,12.93,0.0,0.0,12.97,12.97,12.97,0.0,0.0
2019-08-04,12.91,12.91,12.91,0.0,0.0,12.93,12.93,12.93,0.0,0.0,12.88,12.88,12.88,0.0,0.0,12.92,12.92,12.92,0.0,0.0
2019-08-11,12.61,12.61,12.61,0.0,0.0,12.74,12.74,12.74,0.0,0.0,12.61,12.61,12.61,0.0,0.0,12.74,12.74,12.74,0.0,0.0
2019-08-18,12.8,12.8,12.8,0.0,0.0,12.8,12.8,12.8,0.0,0.0,12.64,12.64,12.64,0.0,0.0,12.64,12.64,12.64,0.0,0.0
2019-08-25,12.86,12.86,12.86,0.0,0.0,12.91,12.91,12.91,0.0,0.0,12.85,12.85,12.85,0.0,0.0,12.87,12.87,12.87,0.0,0.0
2019-09-01,13.18,13.18,13.18,0.0,0.0,13.18,13.18,13.18,0.0,0.0,13.12,13.12,13.12,0.0,0.0,13.14,13.14,13.14,0.0,0.0
2019-09-08,13.49,13.49,13.49,0.0,0.0,13.5,13.5,13.5,0.0,0.0,13.44,13.44,13.44,0.0,0.0,13.45,13.45,13.45,0.0,0.0
2019-09-15,13.49,13.49,13.49,0.0,0.0,13.53,13.53,13.53,0.0,0.0,13.46,13.46,13.46,0.0,0.0,13.48,13.48,13.48,0.0,0.0
2019-09-22,13.31,13.31,13.31,0.0,0.0,13.31,13.31,13.31,0.0,0.0,13.17,13.17,13.17,0.0,0.0,13.19,13.19,13.19,0.0,0.0
2019-09-29,13.07,13.07,13.07,0.0,0.0,13.16,13.16,13.16,0.0,0.0,13.06,13.06,13.06,0.0,0.0,13.15,13.15,13.15,0.0,0.0
2019-10-06,13.23,13.23,13.23,0.0,0.0,13.28,13.28,13.28,0.0,0.0,13.23,13.23,13.23,0.0,0.0,13.25,13.25,13.25,0.0,0.0
2019-10-13,13.29,13.29,13.29,0.0,0.0,13.38,13.38,13.38,0.0,0.0,13.29,13.29,13.29,0.0,0.0,13.35,13.35,13.35,0.0,0.0
2019-10-20,13.55,13.55,13.55,0.0,0.0,13.55,13.55,13.55,0.0,0.0,13.5,13.5,13.5,0.0,0.0,13.5,13.5,13.5,0.0,0.0
2019-10-27,13.65,13.65,13.65,0.0,0.0,13.67,13.67,13.67,0.0,0.0,13.62,13.62,13.62,0.0,0.0,13.67,13.67,13.67,0.0,0.0
2019-11-03,13.59,13.59,13.59,0.0,0.0,13.65,13.65,13.65,0.0,0.0,13.59,13.59,13.59,0.0,0.0,13.65,13.65,13.65,0.0,0.0
2019-11-10,13.8,13.8,13.8,0.0,0.0,13.87,13.87,13.87,0.0,0.0,13.78,13.78,13.78,0.0,0.0,13.87,13.87,13.87,0.0,0.0
2019-11-17,13.8,13.8,13.8,0.0,0.0,13.8,13.8,13.8,0.0,0.0,13.7,13.7,13.7,0.0,0.0,13.72,13.72,13.72,0.0,0.0
