Date,UBS ETRACS Monthly Pay 2X_etf_Open_average,UBS ETRACS Monthly Pay 2X_etf_Open_max,UBS ETRACS Monthly Pay 2X_etf_Open_min,UBS ETRACS Monthly Pay 2X_etf_Open_volatility,UBS ETRACS Monthly Pay 2X_etf_Open_change,UBS ETRACS Monthly Pay 2X_etf_High_average,UBS ETRACS Monthly Pay 2X_etf_High_max,UBS ETRACS Monthly Pay 2X_etf_High_min,UBS ETRACS Monthly Pay 2X_etf_High_volatility,UBS ETRACS Monthly Pay 2X_etf_High_change,UBS ETRACS Monthly Pay 2X_etf_Low_average,UBS ETRACS Monthly Pay 2X_etf_Low_max,UBS ETRACS Monthly Pay 2X_etf_Low_min,UBS ETRACS Monthly Pay 2X_etf_Low_volatility,UBS ETRACS Monthly Pay 2X_etf_Low_change,UBS ETRACS Monthly Pay 2X_etf_Close_average,UBS ETRACS Monthly Pay 2X_etf_Close_max,UBS ETRACS Monthly Pay 2X_etf_Close_min,UBS ETRACS Monthly Pay 2X_etf_Close_volatility,UBS ETRACS Monthly Pay 2X_etf_Close_change
2017-08-06,17.37,17.37,17.37,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.18,17.18,17.18,0.0,0.0,17.73,17.73,17.73,0.0,0.0
2017-08-13,17.65,17.65,17.65,0.0,0.0,17.86,17.86,17.86,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.81,17.81,17.81,0.0,0.0
2017-08-20,18.17,18.17,18.17,0.0,0.0,18.19,18.19,18.19,0.0,0.0,18.1,18.1,18.1,0.0,0.0,18.12,18.12,18.12,0.0,0.0
2017-08-27,18.34,18.34,18.34,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.34,18.34,18.34,0.0,0.0,18.5,18.5,18.5,0.0,0.0
2017-09-03,18.35,18.35,18.35,0.0,0.0,18.42,18.42,18.42,0.0,0.0,18.26,18.26,18.26,0.0,0.0,18.33,18.33,18.33,0.0,0.0
2017-09-10,18.2,18.2,18.2,0.0,0.0,18.29,18.29,18.29,0.0,0.0,18.16,18.16,18.16,0.0,0.0,18.18,18.18,18.18,0.0,0.0
2017-09-17,18.4,18.4,18.4,0.0,0.0,18.58,18.58,18.58,0.0,0.0,18.39,18.39,18.39,0.0,0.0,18.52,18.52,18.52,0.0,0.0
2017-09-24,18.53,18.53,18.53,0.0,0.0,18.78,18.78,18.78,0.0,0.0,18.53,18.53,18.53,0.0,0.0,18.72,18.72,18.72,0.0,0.0
2017-10-01,18.82,18.82,18.82,0.0,0.0,18.85,18.85,18.85,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.84,18.84,18.84,0.0,0.0
2017-10-08,18.78,18.78,18.78,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.68,18.68,18.68,0.0,0.0,18.77,18.77,18.77,0.0,0.0
2017-10-15,18.72,18.72,18.72,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.68,18.68,18.68,0.0,0.0
2017-10-22,18.26,18.26,18.26,0.0,0.0,18.48,18.48,18.48,0.0,0.0,18.25,18.25,18.25,0.0,0.0,18.46,18.46,18.46,0.0,0.0
2017-10-29,18.4,18.4,18.4,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.3,18.3,18.3,0.0,0.0,18.3,18.3,18.3,0.0,0.0
2017-11-05,17.97,17.97,17.97,0.0,0.0,18.04,18.04,18.04,0.0,0.0,17.91,17.91,17.91,0.0,0.0,17.91,17.91,17.91,0.0,0.0
2017-11-12,17.72,17.72,17.72,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.7,17.7,17.7,0.0,0.0,17.76,17.76,17.76,0.0,0.0
2017-11-19,17.85,17.85,17.85,0.0,0.0,18.07,18.07,18.07,0.0,0.0,17.82,17.82,17.82,0.0,0.0,18.02,18.02,18.02,0.0,0.0
2017-11-26,18.08,18.08,18.08,0.0,0.0,18.08,18.08,18.08,0.0,0.0,17.82,17.82,17.82,0.0,0.0,18.06,18.06,18.06,0.0,0.0
2017-12-03,18.2,18.2,18.2,0.0,0.0,18.2,18.2,18.2,0.0,0.0,18.04,18.04,18.04,0.0,0.0,18.18,18.18,18.18,0.0,0.0
2017-12-10,17.96,17.96,17.96,0.0,0.0,18.02,18.02,18.02,0.0,0.0,17.85,17.85,17.85,0.0,0.0,17.85,17.85,17.85,0.0,0.0
2017-12-17,17.98,17.98,17.98,0.0,0.0,18.1,18.1,18.1,0.0,0.0,17.96,17.96,17.96,0.0,0.0,18.0,18.0,18.0,0.0,0.0
2017-12-24,18.06,18.06,18.06,0.0,0.0,18.18,18.18,18.18,0.0,0.0,18.03,18.03,18.03,0.0,0.0,18.12,18.12,18.12,0.0,0.0
2017-12-31,18.23,18.23,18.23,0.0,0.0,18.23,18.23,18.23,0.0,0.0,18.16,18.16,18.16,0.0,0.0,18.2,18.2,18.2,0.0,0.0
