Date,NPTN_stock_Open_average,NPTN_stock_Open_max,NPTN_stock_Open_min,NPTN_stock_Open_volatility,NPTN_stock_Open_change,NPTN_stock_High_average,NPTN_stock_High_max,NPTN_stock_High_min,NPTN_stock_High_volatility,NPTN_stock_High_change,NPTN_stock_Low_average,NPTN_stock_Low_max,NPTN_stock_Low_min,NPTN_stock_Low_volatility,NPTN_stock_Low_change,NPTN_stock_Close_average,NPTN_stock_Close_max,NPTN_stock_Close_min,NPTN_stock_Close_volatility,NPTN_stock_Close_change,NPTN_stock_Volume_average,NPTN_stock_Volume_max,NPTN_stock_Volume_min,NPTN_stock_Volume_volatility,NPTN_stock_Volume_change
2016-12-18,11.196,12.7,10.27,2.4299999999999997,-1.5299999999999994,11.71,12.8,11.26,1.540000000000001,-1.540000000000001,10.994,12.4,10.1,2.3000000000000007,-1.540000000000001,11.312,12.49,10.79,1.700000000000001,-1.58,1621947,4393141,494132,3899009,-356420
2016-12-25,10.9975,11.32,10.85,0.47000000000000064,-0.0600000000000005,11.1875,11.39,11.0,0.39000000000000057,-0.39000000000000057,10.76,10.91,10.51,0.40000000000000036,-0.1899999999999995,10.932500000000001,11.16,10.81,0.34999999999999964,-0.34999999999999964,752751,893881,612291,281590,222235
2017-01-01,10.935,11.01,10.8,0.20999999999999908,0.1999999999999993,11.1875,11.28,11.05,0.22999999999999865,0.09999999999999964,10.7725,10.88,10.51,0.370000000000001,0.3200000000000003,11.010000000000002,11.22,10.89,0.33000000000000007,0.07000000000000028,569560,752808,323078,429730,-403790
2017-01-08,11.018,11.28,10.82,0.4599999999999991,-0.14000000000000057,11.216000000000001,11.31,11.13,0.17999999999999972,-0.019999999999999574,10.824,11.0,10.66,0.33999999999999986,0.0600000000000005,10.978,11.2,10.79,0.41000000000000014,0.08999999999999986,666419,848338,510473,337865,43873
2017-01-15,10.7225,10.87,10.5,0.3699999999999992,-0.09999999999999964,10.932500000000001,11.13,10.77,0.3600000000000012,0.120000000000001,10.567499999999999,10.75,10.37,0.3800000000000008,0.05000000000000071,10.69,10.83,10.44,0.39000000000000057,0.08999999999999986,711290,880424,506233,374191,374191
2017-01-22,11.03,11.29,10.8,0.48999999999999844,0.1999999999999993,11.188,11.39,10.95,0.4400000000000013,0.10000000000000142,10.852,11.07,10.63,0.4399999999999995,0.14999999999999858,10.998,11.19,10.84,0.34999999999999964,-0.009999999999999787,505536,720981,249049,471932,-215089
2017-01-29,11.018,11.11,10.92,0.1899999999999995,0.049999999999998934,11.132,11.25,11.0,0.25,0.0,10.764,10.9,10.53,0.370000000000001,-0.009999999999999787,11.03,11.24,10.95,0.2900000000000009,0.27999999999999936,553570,685980,415129,270851,-127361
2017-02-05,10.958,11.2,10.76,0.4399999999999995,-0.25,11.11,11.24,10.95,0.2900000000000009,0.0,10.752,10.83,10.63,0.1999999999999993,0.009999999999999787,10.926,11.16,10.78,0.3800000000000008,0.2400000000000002,721620,1097869,448099,649770,505018
2017-02-12,11.862,12.16,11.25,0.9100000000000001,0.7599999999999998,12.14,12.31,11.82,0.4900000000000002,0.23000000000000043,11.708,11.96,11.15,0.8100000000000005,0.6799999999999997,11.991999999999999,12.17,11.62,0.5500000000000007,0.40000000000000036,726883,990313,448259,542054,-213274
2017-02-19,11.8475,12.29,11.07,1.2199999999999989,-0.9599999999999991,12.08,12.44,11.36,1.08,-1.08,11.3925,11.99,11.0,0.9900000000000002,-0.9399999999999995,11.6425,12.29,11.23,1.0599999999999987,-1.0599999999999987,1419397,2781381,860324,1921057,59504
