Date,HRLStock_Open_average,HRLStock_Open_max,HRLStock_Open_min,HRLStock_Open_volatility,HRLStock_Open_change,HRLStock_High_average,HRLStock_High_max,HRLStock_High_min,HRLStock_High_volatility,HRLStock_High_change,HRLStock_Low_average,HRLStock_Low_max,HRLStock_Low_min,HRLStock_Low_volatility,HRLStock_Low_change,HRLStock_Close_average,HRLStock_Close_max,HRLStock_Close_min,HRLStock_Close_volatility,HRLStock_Close_change,HRLStock_Volume_average,HRLStock_Volume_max,HRLStock_Volume_min,HRLStock_Volume_volatility,HRLStock_Volume_change
2016-11-20,35.5275,36.64,34.4,2.240000000000002,0.9100000000000037,36.18,36.78,35.25,1.5300000000000011,0.7199999999999989,34.8925,35.44,33.76,1.6799999999999997,1.480000000000004,35.4725,35.86,34.94,0.9200000000000017,0.9200000000000017,4226155,5697190,1693398,4003792,-4003792
2016-11-27,34.821999999999996,35.9,33.25,2.6499999999999986,-2.6499999999999986,35.076,35.93,33.94,1.990000000000002,-1.990000000000002,34.18,35.23,33.22,2.009999999999998,-1.8599999999999994,34.426,35.47,33.29,2.1799999999999997,-1.509999999999998,3809058,5609346,2417361,3191985,141619
2016-12-04,33.72,34.11,33.33,0.7800000000000011,0.29999999999999716,34.112,34.47,33.74,0.7299999999999969,0.21999999999999886,33.514,33.95,33.18,0.7700000000000031,0.25,33.89,34.39,33.31,1.0799999999999983,0.6000000000000014,3100835,3829874,2754290,1075584,-1051253
2016-12-11,34.592,35.0,34.3,0.7000000000000028,0.19000000000000483,34.964,35.17,34.69,0.480000000000004,0.03999999999999915,34.327999999999996,34.69,33.98,0.7100000000000009,0.21000000000000085,34.57,34.86,34.33,0.5300000000000011,0.060000000000002274,2440517,3711820,1864155,1847665,1847665
2016-12-18,34.834,35.11,34.7,0.4099999999999966,0.4099999999999966,35.194,35.44,34.95,0.4899999999999949,0.35999999999999943,34.704,34.91,34.48,0.4299999999999997,0.269999999999996,34.976,35.31,34.76,0.5500000000000043,0.5300000000000011,1669446,2540084,1306040,1234044,-310765
2016-12-25,35.215,35.35,34.94,0.4100000000000037,-0.0899999999999963,35.41,35.59,35.3,0.29000000000000625,-0.29000000000000625,34.8575,35.1,34.66,0.44000000000000483,-0.44000000000000483,35.0825,35.43,34.81,0.6199999999999974,-0.6199999999999974,1501569,1894047,1202239,691808,506195
2017-01-01,35.58,36.08,34.89,1.1899999999999977,1.1899999999999977,36.03,36.41,35.55,0.8599999999999994,0.8599999999999994,35.415,35.86,34.7,1.1599999999999966,1.1599999999999966,35.9125,36.34,35.29,1.0500000000000043,1.0500000000000043,2599944,2941290,2298615,642675,-280971
2017-01-08,35.296,35.9,34.86,1.0399999999999991,-0.5499999999999972,35.674,36.46,35.23,1.230000000000004,-0.8100000000000023,35.022,35.31,34.8,0.5100000000000051,0.010000000000005116,35.3,35.58,34.92,0.6599999999999966,-0.04999999999999716,2574452,3690563,1611555,2079008,-2079008
2017-01-15,36.065,36.41,35.58,0.8299999999999983,0.8299999999999983,36.505,36.74,36.31,0.4299999999999997,0.35999999999999943,35.8725,36.08,35.54,0.5399999999999991,0.5399999999999991,36.255,36.35,36.17,0.17999999999999972,-0.0799999999999983,2804887,3180627,2568363,612264,484538
2017-01-22,36.324,36.57,36.14,0.4299999999999997,-0.0799999999999983,36.52,36.68,36.29,0.39000000000000057,-0.09000000000000341,36.141999999999996,36.48,35.97,0.509999999999998,-0.0799999999999983,36.306,36.54,36.12,0.4200000000000017,-0.07000000000000028,2099065,2673725,1561466,1112259,-993922
2017-01-29,36.148,36.31,35.91,0.4000000000000057,0.10000000000000142,36.286,36.43,36.09,0.3399999999999963,-0.13000000000000256,35.802,36.07,35.37,0.7000000000000028,-0.020000000000003126,36.06,36.3,35.62,0.6799999999999997,-0.13000000000000256,2602848,3585724,1641044,1944680,650768
2017-02-05,36.344,36.87,36.0,0.8699999999999974,0.6999999999999957,36.69,37.27,36.29,0.980000000000004,0.980000000000004,36.196,36.77,35.85,0.9200000000000017,0.9200000000000017,36.53,37.13,35.87,1.2600000000000051,1.2600000000000051,1828491,2050242,1262453,787789,-149115
2017-02-12,37.318,37.77,37.04,0.730000000000004,-0.10000000000000142,37.664,37.97,37.33,0.6400000000000006,0.14999999999999858,37.036,37.32,36.86,0.46000000000000085,-0.03999999999999915,37.442,37.87,37.24,0.6299999999999955,0.00999999999999801,2332419,3164122,1500469,1663653,1022768
2017-02-19,36.3675,37.6,35.19,2.4100000000000037,-2.280000000000001,36.61,37.72,35.3,2.4200000000000017,-2.3900000000000006,35.78,37.27,34.19,3.0800000000000054,-2.7900000000000063,36.2125,37.6,34.66,2.940000000000005,-2.940000000000005,4327617,9063745,1804117,7259628,2640365
2017-02-26,35.024,35.3,34.62,0.6799999999999997,0.6300000000000026,35.326,35.61,34.8,0.8100000000000023,0.6400000000000006,34.884,35.16,34.48,0.6799999999999997,0.5100000000000051,35.148,35.37,34.65,0.7199999999999989,0.7199999999999989,2651490,4096718,1751268,2345450,-697697
2017-03-05,34.896,35.06,34.78,0.28000000000000114,-0.28000000000000114,35.066,35.16,34.93,0.22999999999999687,-0.05999999999999517,34.716,34.87,34.55,0.3200000000000003,-0.14000000000000057,34.824,35.07,34.55,0.5200000000000031,0.07000000000000028,2119539,2543240,1772343,770897,-698707
2017-03-12,35.038,35.35,34.79,0.5600000000000023,-0.020000000000003126,35.244,35.54,35.03,0.509999999999998,-0.17999999999999972,34.754,34.92,34.61,0.3100000000000023,-0.12000000000000455,34.996,35.43,34.7,0.7299999999999969,-0.01999999999999602,2321352,3587888,1658091,1929797,1355656
2017-03-19,34.774,34.94,34.55,0.39000000000000057,-0.12999999999999545,34.962,35.1,34.73,0.37000000000000455,-0.17999999999999972,34.486,34.78,34.28,0.5,-0.39000000000000057,34.672,34.95,34.48,0.47000000000000597,-0.4299999999999997,1990887,3160272,1375097,1785175,444941
2017-03-26,34.333999999999996,34.48,34.15,0.3299999999999983,-0.22999999999999687,34.59,34.7,34.38,0.3200000000000003,0.04000000000000625,34.106,34.25,33.96,0.28999999999999915,0.00999999999999801,34.382,34.63,34.15,0.480000000000004,0.480000000000004,2865092,3648915,2435996,1212919,-94007
2017-04-02,34.488,34.61,34.39,0.21999999999999886,-0.21999999999999886,34.656,34.88,34.5,0.38000000000000256,-0.38000000000000256,34.264,34.38,34.12,0.2600000000000051,-0.11999999999999744,34.398,34.51,34.25,0.259999999999998,-0.259999999999998,1868582,2206423,1485240,721183,-170314
2017-04-09,34.2375,34.34,34.15,0.19000000000000483,-0.11999999999999744,34.425,34.49,34.34,0.14999999999999858,-0.13999999999999346,34.0625,34.22,33.97,0.25,-0.22999999999999687,34.2475,34.4,34.04,0.35999999999999943,-0.35999999999999943,1899984,3948388,1087783,2860605,328413
2017-04-16,34.5,34.76,34.19,0.5700000000000003,0.3200000000000003,34.776,34.9,34.5,0.3999999999999986,0.39000000000000057,34.362,34.52,34.1,0.4200000000000017,0.3999999999999986,34.594,34.75,34.46,0.28999999999999915,0.22999999999999687,1628566,2009776,1147932,861844,689624
2017-04-23,35.046,35.37,34.9,0.46999999999999886,0.05000000000000426,35.202,35.45,34.97,0.480000000000004,0.14999999999999858,34.878,34.95,34.77,0.17999999999999972,0.10999999999999943,35.076,35.43,34.94,0.490000000000002,0.14000000000000057,2010862,2620988,1352032,1268956,690326
