Date,Vanguard Short-Term Government Bond_etf_Open_average,Vanguard Short-Term Government Bond_etf_Open_max,Vanguard Short-Term Government Bond_etf_Open_min,Vanguard Short-Term Government Bond_etf_Open_volatility,Vanguard Short-Term Government Bond_etf_Open_change,Vanguard Short-Term Government Bond_etf_High_average,Vanguard Short-Term Government Bond_etf_High_max,Vanguard Short-Term Government Bond_etf_High_min,Vanguard Short-Term Government Bond_etf_High_volatility,Vanguard Short-Term Government Bond_etf_High_change,Vanguard Short-Term Government Bond_etf_Low_average,Vanguard Short-Term Government Bond_etf_Low_max,Vanguard Short-Term Government Bond_etf_Low_min,Vanguard Short-Term Government Bond_etf_Low_volatility,Vanguard Short-Term Government Bond_etf_Low_change,Vanguard Short-Term Government Bond_etf_Close_average,Vanguard Short-Term Government Bond_etf_Close_max,Vanguard Short-Term Government Bond_etf_Close_min,Vanguard Short-Term Government Bond_etf_Close_volatility,Vanguard Short-Term Government Bond_etf_Close_change
2016-09-11,61.16,61.16,61.16,0.0,0.0,61.2,61.2,61.2,0.0,0.0,61.12,61.12,61.12,0.0,0.0,61.14,61.14,61.14,0.0,0.0
2016-09-18,61.17,61.17,61.17,0.0,0.0,61.2,61.2,61.2,0.0,0.0,61.13,61.13,61.13,0.0,0.0,61.19,61.19,61.19,0.0,0.0
2016-09-25,61.24,61.24,61.24,0.0,0.0,61.24,61.24,61.24,0.0,0.0,61.19,61.19,61.19,0.0,0.0,61.21,61.21,61.21,0.0,0.0
2016-10-02,61.08,61.08,61.08,0.0,0.0,61.08,61.08,61.08,0.0,0.0,61.05,61.05,61.05,0.0,0.0,61.07,61.07,61.07,0.0,0.0
2016-10-09,61.03,61.03,61.03,0.0,0.0,61.1,61.1,61.1,0.0,0.0,61.03,61.03,61.03,0.0,0.0,61.06,61.06,61.06,0.0,0.0
2016-10-16,61.1,61.1,61.1,0.0,0.0,61.11,61.11,61.11,0.0,0.0,61.07,61.07,61.07,0.0,0.0,61.11,61.11,61.11,0.0,0.0
2016-10-23,61.08,61.08,61.08,0.0,0.0,61.09,61.09,61.09,0.0,0.0,61.04,61.04,61.04,0.0,0.0,61.08,61.08,61.08,0.0,0.0
2016-10-30,61.12,61.12,61.12,0.0,0.0,61.16,61.16,61.16,0.0,0.0,61.11,61.11,61.11,0.0,0.0,61.15,61.15,61.15,0.0,0.0
2016-11-06,61.0,61.0,61.0,0.0,0.0,61.0,61.0,61.0,0.0,0.0,60.94,60.94,60.94,0.0,0.0,60.95,60.95,60.95,0.0,0.0
2016-11-13,60.84,60.84,60.84,0.0,0.0,60.87,60.87,60.87,0.0,0.0,60.82,60.82,60.82,0.0,0.0,60.82,60.82,60.82,0.0,0.0
2016-11-20,60.79,60.79,60.79,0.0,0.0,60.79,60.79,60.79,0.0,0.0,60.75,60.75,60.75,0.0,0.0,60.78,60.78,60.78,0.0,0.0
2016-11-27,60.74,60.74,60.74,0.0,0.0,60.8,60.8,60.8,0.0,0.0,60.74,60.74,60.74,0.0,0.0,60.79,60.79,60.79,0.0,0.0
2016-12-04,60.8,60.8,60.8,0.0,0.0,60.81,60.81,60.81,0.0,0.0,60.74,60.74,60.74,0.0,0.0,60.76,60.76,60.76,0.0,0.0
2016-12-11,60.61,60.61,60.61,0.0,0.0,60.66,60.66,60.66,0.0,0.0,60.61,60.61,60.61,0.0,0.0,60.64,60.64,60.64,0.0,0.0
2016-12-18,60.65,60.65,60.65,0.0,0.0,60.66,60.66,60.66,0.0,0.0,60.62,60.62,60.62,0.0,0.0,60.65,60.65,60.65,0.0,0.0
2016-12-25,60.7,60.7,60.7,0.0,0.0,60.92,60.92,60.92,0.0,0.0,60.69,60.69,60.69,0.0,0.0,60.92,60.92,60.92,0.0,0.0
2017-01-01,60.74,60.74,60.74,0.0,0.0,60.76,60.76,60.76,0.0,0.0,60.69,60.69,60.69,0.0,0.0,60.72,60.72,60.72,0.0,0.0
2017-01-08,60.75,60.75,60.75,0.0,0.0,60.76,60.76,60.76,0.0,0.0,60.7,60.7,60.7,0.0,0.0,60.73,60.73,60.73,0.0,0.0
2017-01-15,60.71,60.71,60.71,0.0,0.0,60.78,60.78,60.78,0.0,0.0,60.7,60.7,60.7,0.0,0.0,60.74,60.74,60.74,0.0,0.0
2017-01-22,60.79,60.79,60.79,0.0,0.0,60.8,60.8,60.8,0.0,0.0,60.74,60.74,60.74,0.0,0.0,60.76,60.76,60.76,0.0,0.0
2017-01-29,60.77,60.77,60.77,0.0,0.0,60.82,60.82,60.82,0.0,0.0,60.74,60.74,60.74,0.0,0.0,60.75,60.75,60.75,0.0,0.0
2017-02-05,60.78,60.78,60.78,0.0,0.0,60.81,60.81,60.81,0.0,0.0,60.78,60.78,60.78,0.0,0.0,60.8,60.8,60.8,0.0,0.0
2017-02-12,60.81,60.81,60.81,0.0,0.0,60.81,60.81,60.81,0.0,0.0,60.79,60.79,60.79,0.0,0.0,60.81,60.81,60.81,0.0,0.0
2017-02-19,60.89,60.89,60.89,0.0,0.0,60.91,60.91,60.91,0.0,0.0,60.86,60.86,60.86,0.0,0.0,60.9,60.9,60.9,0.0,0.0
2017-02-26,60.64,60.64,60.64,0.0,0.0,60.67,60.67,60.67,0.0,0.0,60.62,60.62,60.62,0.0,0.0,60.66,60.66,60.66,0.0,0.0
2017-03-05,60.59,60.59,60.59,0.0,0.0,60.63,60.63,60.63,0.0,0.0,60.59,60.59,60.59,0.0,0.0,60.6,60.6,60.6,0.0,0.0
2017-03-12,60.68,60.68,60.68,0.0,0.0,60.7,60.7,60.7,0.0,0.0,60.65,60.65,60.65,0.0,0.0,60.69,60.69,60.69,0.0,0.0
2017-03-19,60.74,60.74,60.74,0.0,0.0,60.78,60.78,60.78,0.0,0.0,60.74,60.74,60.74,0.0,0.0,60.75,60.75,60.75,0.0,0.0
2017-03-26,60.77,60.77,60.77,0.0,0.0,60.81,60.81,60.81,0.0,0.0,60.77,60.77,60.77,0.0,0.0,60.79,60.79,60.79,0.0,0.0
