Date,ESGR_stock_Open_average,ESGR_stock_Open_max,ESGR_stock_Open_min,ESGR_stock_Open_volatility,ESGR_stock_Open_change,ESGR_stock_High_average,ESGR_stock_High_max,ESGR_stock_High_min,ESGR_stock_High_volatility,ESGR_stock_High_change,ESGR_stock_Low_average,ESGR_stock_Low_max,ESGR_stock_Low_min,ESGR_stock_Low_volatility,ESGR_stock_Low_change,ESGR_stock_Close_average,ESGR_stock_Close_max,ESGR_stock_Close_min,ESGR_stock_Close_volatility,ESGR_stock_Close_change,ESGR_stock_Volume_average,ESGR_stock_Volume_max,ESGR_stock_Volume_min,ESGR_stock_Volume_volatility,ESGR_stock_Volume_change
2017-03-19,191.06,195.4,186.2,9.200000000000017,-7.0,192.25,196.35,188.5,7.849999999999994,-7.849999999999994,188.226,192.3,185.43,6.8700000000000045,-6.8700000000000045,188.97,193.4,186.05,7.349999999999994,-7.349999999999994,32175,38227,27021,11206,-8444
2017-03-26,186.11,190.25,183.85,6.400000000000006,6.400000000000006,188.69,192.45,185.6,6.849999999999994,6.849999999999994,184.65,189.2,181.5,7.699999999999989,7.699999999999989,187.74,191.3,184.85,6.450000000000017,6.450000000000017,28004,38352,14080,24272,-4136
2017-04-02,189.392,191.82,187.5,4.319999999999993,-4.319999999999993,191.12,193.55,188.65,4.900000000000006,-1.0500000000000114,187.53,189.5,184.8,4.699999999999989,-4.699999999999989,188.88,190.75,187.5,3.25,-2.3000000000000114,26346,31123,18710,12413,-457
2017-04-09,187.7625,188.75,187.2,1.5500000000000114,0.6000000000000227,188.65,188.9,188.15,0.75,-0.6500000000000057,185.66,187.3,183.05,4.25,-3.299999999999983,187.025,188.6,184.6,4.0,-3.950000000000017,18513,30513,10782,19731,12842
2017-04-16,186.12,187.25,183.6,3.6500000000000057,3.200000000000017,188.85399999999998,191.0,187.5,3.5,0.8499999999999943,184.72,186.35,182.05,4.299999999999983,4.299999999999983,187.21,188.8,186.6,2.200000000000017,2.200000000000017,20766,27392,15595,11797,-9831
2017-04-23,194.92,198.25,191.35,6.900000000000006,3.5500000000000114,196.76,199.95,193.45,6.5,1.450000000000017,192.59,194.95,187.6,7.349999999999994,5.849999999999994,194.85,197.15,192.25,4.900000000000006,2.5500000000000114,21411,26196,15825,10371,-10371
2017-04-30,192.77,194.8,191.5,3.3000000000000114,-1.8499999999999943,193.23,196.2,191.5,4.699999999999989,-2.6999999999999886,189.98,192.85,188.1,4.75,-4.75,191.83,194.2,190.55,3.6499999999999773,-3.6499999999999773,18985,32659,11094,21565,8336
2017-05-07,187.558,191.5,182.8,8.699999999999989,-6.539999999999992,188.69,192.4,184.35,8.050000000000011,-7.800000000000011,185.31,190.25,181.35,8.900000000000006,-6.449999999999989,187.1,191.6,184.05,7.549999999999983,-6.949999999999989,31162,55520,19224,36296,-4762
2017-05-14,184.45,185.15,183.15,2.0,0.8499999999999943,186.854,187.47,186.0,1.4699999999999989,-0.4199999999999875,183.894,184.55,183.15,1.4000000000000057,-0.05000000000001137,185.22,185.95,184.7,1.25,-0.4000000000000057,34121,47007,22202,24805,7915
2017-05-21,187.56,191.0,185.6,5.400000000000006,5.199999999999989,189.344,191.4,186.82,4.5800000000000125,2.9000000000000057,185.85,188.7,182.5,6.199999999999989,4.399999999999977,188.06,190.2,186.0,4.199999999999989,4.199999999999989,23448,25925,19201,6724,-821
2017-05-28,188.35,190.35,185.05,5.299999999999983,1.0999999999999943,191.3125,196.15,188.75,7.400000000000006,6.900000000000006,186.8625,190.35,185.05,5.299999999999983,4.299999999999983,189.95000000000002,193.8,187.65,6.150000000000006,6.0,23456,30528,17316,13212,10888
2017-06-04,192.52,194.95,190.7,4.25,-3.6500000000000057,196.11,200.1,192.5,7.599999999999994,-3.0,190.678,192.5,188.24,4.259999999999991,-1.3499999999999943,193.48,196.95,190.6,6.349999999999994,1.3499999999999943,26820,39040,18833,20207,-7069
2017-06-11,196.57,198.25,193.2,5.050000000000011,1.0,198.7,199.9,197.6,2.3000000000000114,-0.6000000000000227,192.25,196.45,180.5,15.949999999999989,14.900000000000006,197.29,197.8,196.7,1.1000000000000227,0.25,29852,48403,18145,30258,14234
2017-06-18,194.26,196.8,189.45,7.350000000000023,4.650000000000006,196.96,198.5,195.45,3.0500000000000114,-2.0,192.79,194.2,189.45,4.75,3.0500000000000114,195.06,197.0,194.4,2.5999999999999943,-2.5,25860,50071,17009,33062,25476
