Date,BREW_stock_Open_average,BREW_stock_Open_max,BREW_stock_Open_min,BREW_stock_Open_volatility,BREW_stock_Open_change,BREW_stock_High_average,BREW_stock_High_max,BREW_stock_High_min,BREW_stock_High_volatility,BREW_stock_High_change,BREW_stock_Low_average,BREW_stock_Low_max,BREW_stock_Low_min,BREW_stock_Low_volatility,BREW_stock_Low_change,BREW_stock_Close_average,BREW_stock_Close_max,BREW_stock_Close_min,BREW_stock_Close_volatility,BREW_stock_Close_change,BREW_stock_Volume_average,BREW_stock_Volume_max,BREW_stock_Volume_min,BREW_stock_Volume_volatility,BREW_stock_Volume_change
2016-12-18,17.19,18.35,16.2,2.150000000000002,-1.5,17.646,18.7,16.5,2.1999999999999993,-1.5,16.650000000000002,17.6,16.05,1.5500000000000007,-1.4000000000000021,17.02,18.2,16.2,2.0,-1.0999999999999979,181296,344495,77964,266531,-266531
2016-12-25,17.25,17.45,17.0,0.4499999999999993,-0.4499999999999993,17.5075,17.7,17.33,0.370000000000001,-0.370000000000001,16.97,17.25,16.75,0.5,-0.5,17.1,17.45,16.9,0.5500000000000007,-0.5500000000000007,80450,99691,53651,46040,-14525
2017-01-01,17.137500000000003,17.25,17.1,0.14999999999999858,0.0,17.2825,17.4,17.13,0.2699999999999996,-0.2699999999999996,16.75,17.0,16.5,0.5,-0.25,17.0375,17.25,16.75,0.5,-0.3500000000000014,106684,141948,80720,61228,-46843
2017-01-08,15.6,16.7,14.65,2.049999999999999,-2.049999999999999,15.91,16.75,14.85,1.9000000000000004,-0.9000000000000004,14.972,16.0,13.9,2.0999999999999996,-1.3499999999999996,15.36,16.05,14.5,1.5500000000000007,-0.5500000000000007,178260,300051,110304,189747,47015
2017-01-15,15.175,15.45,15.0,0.4499999999999993,-0.3999999999999986,15.4475,15.85,15.2,0.6500000000000004,0.40000000000000036,14.9425,15.05,14.85,0.20000000000000107,0.20000000000000107,15.15,15.45,15.0,0.4499999999999993,0.4499999999999993,105432,121257,85934,35323,-16843
2017-01-22,15.51,16.0,15.25,0.75,-0.1999999999999993,15.786,16.02,15.55,0.46999999999999886,-0.14999999999999858,15.219999999999999,15.45,15.1,0.34999999999999964,0.0,15.47,15.95,15.2,0.75,0.05000000000000071,82712,135004,59352,75652,-9272
2017-01-29,15.16,15.35,15.0,0.34999999999999964,0.1999999999999993,15.56,15.9,15.35,0.5500000000000007,0.5500000000000007,14.911999999999999,15.15,14.6,0.5500000000000007,0.2900000000000009,15.16,15.45,14.9,0.5499999999999989,0.3999999999999986,84745,113492,68315,45177,10821
2017-02-05,15.49,16.0,15.3,0.6999999999999993,0.6500000000000004,15.83,16.4,15.5,0.8999999999999986,0.5,15.334,15.65,15.22,0.4299999999999997,0.4299999999999997,15.64,16.2,15.35,0.8499999999999996,0.34999999999999964,81418,111007,33588,77419,60865
2017-02-12,15.76,15.9,15.55,0.34999999999999964,-0.25,16.08,16.5,15.85,0.6500000000000004,0.09999999999999964,15.59,15.65,15.5,0.15000000000000036,-0.05000000000000071,15.78,15.85,15.65,0.1999999999999993,0.049999999999998934,84742,195369,43911,151458,18039
2017-02-19,15.8,16.0,15.65,0.34999999999999964,-0.34999999999999964,15.8625,16.0,15.65,0.34999999999999964,-0.34999999999999964,15.4125,15.6,15.0,0.5999999999999996,-0.5999999999999996,15.6,15.85,15.3,0.5499999999999989,-0.34999999999999964,95447,147469,53438,94031,94031
