Date,GROW_stock_Open_average,GROW_stock_Open_max,GROW_stock_Open_min,GROW_stock_Open_volatility,GROW_stock_Open_change,GROW_stock_High_average,GROW_stock_High_max,GROW_stock_High_min,GROW_stock_High_volatility,GROW_stock_High_change,GROW_stock_Low_average,GROW_stock_Low_max,GROW_stock_Low_min,GROW_stock_Low_volatility,GROW_stock_Low_change,GROW_stock_Close_average,GROW_stock_Close_max,GROW_stock_Close_min,GROW_stock_Close_volatility,GROW_stock_Close_change,GROW_stock_Volume_average,GROW_stock_Volume_max,GROW_stock_Volume_min,GROW_stock_Volume_volatility,GROW_stock_Volume_change
2017-01-08,1.512,1.54,1.47,0.07000000000000006,0.07000000000000006,1.546,1.59,1.51,0.08000000000000007,0.020000000000000018,1.4984,1.53,1.446,0.08400000000000007,0.08400000000000007,1.5284,1.57,1.5,0.07000000000000006,0.040000000000000036,33219,63029,14122,48907,-14696
2017-01-15,1.59,1.7,1.53,0.16999999999999993,0.07000000000000006,1.66,1.78,1.53,0.25,0.09999999999999987,1.525,1.57,1.4580000000000002,0.11199999999999988,0.048000000000000265,1.605,1.67,1.52,0.1499999999999999,0.08000000000000007,64480,149869,19711,130158,-31443
2017-01-22,1.654,1.68,1.63,0.050000000000000044,0.0,1.714,1.7619999999999998,1.68,0.08199999999999985,0.010000000000000009,1.632,1.65,1.62,0.029999999999999805,0.0,1.6616,1.68,1.62,0.05999999999999983,-0.0020000000000000018,19779,46003,7177,38826,-6150
2017-01-29,1.748,1.85,1.69,0.16000000000000014,0.16000000000000014,1.784,1.87,1.69,0.18000000000000016,0.18000000000000016,1.6978,1.7790000000000001,1.65,0.12900000000000023,0.12900000000000023,1.764,1.85,1.65,0.20000000000000018,0.20000000000000018,21328,38166,7289,30877,30877
2017-02-05,1.969,2.02,1.83,0.18999999999999995,0.16999999999999993,2.0296,2.05,2.0,0.04999999999999982,-0.040000000000000036,1.908,1.97,1.83,0.1399999999999999,0.020000000000000018,1.946,1.97,1.86,0.10999999999999988,-0.09999999999999987,51841,133038,12479,120559,-117957
2017-02-12,1.84,1.87,1.78,0.09000000000000008,0.020000000000000018,1.862,1.87,1.86,0.010000000000000009,0.010000000000000009,1.7804,1.82,1.74,0.08000000000000007,-0.06000000000000005,1.828,1.86,1.79,0.07000000000000006,-0.07000000000000006,34112,60019,15701,44318,-29086
2017-02-19,1.7850000000000001,1.81,1.76,0.050000000000000044,-0.020000000000000018,1.82,1.85,1.79,0.06000000000000005,0.040000000000000036,1.7575,1.78,1.73,0.050000000000000044,0.050000000000000044,1.7825,1.82,1.73,0.09000000000000008,0.08000000000000007,19299,41964,4629,37335,-15915
2017-02-26,1.7908,1.83,1.75,0.08000000000000007,-0.06000000000000005,1.86,1.99,1.8,0.18999999999999995,-0.050000000000000044,1.7224,1.76,1.65,0.1100000000000001,-0.05800000000000005,1.774,1.84,1.73,0.1100000000000001,-0.040000000000000036,76016,165521,19126,146395,-53473
2017-03-05,1.634,1.78,1.51,0.27,-0.25,1.674,1.8,1.57,0.22999999999999998,-0.18999999999999995,1.572,1.7,1.5,0.19999999999999996,-0.16999999999999993,1.604,1.75,1.5,0.25,-0.16999999999999993,35811,83946,8050,75896,-20115
2017-03-12,1.564,1.61,1.51,0.10000000000000009,0.040000000000000036,1.6159999999999999,1.65,1.55,0.09999999999999987,0.06099999999999994,1.5164,1.564,1.4,0.16400000000000015,0.014000000000000012,1.5642,1.6,1.51,0.09000000000000008,0.050000000000000044,29676,75076,12296,62780,-4464
2017-03-19,1.6014,1.645,1.5519999999999998,0.0930000000000002,0.05499999999999994,1.6503999999999999,1.7,1.6119999999999999,0.08800000000000008,0.020000000000000018,1.5476,1.608,1.5,0.1080000000000001,0.050000000000000044,1.594,1.63,1.52,0.10999999999999988,-0.030000000000000027,27552,50373,13662,36711,-10111
2017-03-26,1.5604,1.6,1.5,0.10000000000000009,-0.018000000000000238,1.5958,1.61,1.58,0.030000000000000027,-0.028000000000000247,1.524,1.56,1.5,0.06000000000000005,0.020000000000000018,1.5506,1.5930000000000002,1.5,0.0930000000000002,0.06000000000000005,18147,24604,11433,13171,-13171
2017-04-02,1.5236,1.59,1.48,0.1100000000000001,-0.08000000000000007,1.542,1.59,1.52,0.07000000000000006,-0.07000000000000006,1.49,1.51,1.46,0.050000000000000044,-0.040000000000000036,1.4934,1.51,1.46,0.050000000000000044,-0.040000000000000036,15094,27483,6871,20612,-19515
2017-04-09,1.45,1.46,1.44,0.020000000000000018,-0.010000000000000009,1.48,1.49,1.46,0.030000000000000027,-0.030000000000000027,1.42375,1.4480000000000002,1.3969999999999998,0.05100000000000038,-0.03300000000000014,1.4425,1.48,1.4,0.08000000000000007,-0.030000000000000027,31033,65881,3092,62789,36304
2017-04-16,1.3814,1.45,1.35,0.09999999999999987,-0.07000000000000006,1.438,1.45,1.41,0.040000000000000036,-0.010000000000000009,1.3324,1.38,1.29,0.08999999999999986,0.08999999999999986,1.3756,1.4,1.33,0.06999999999999984,-0.009000000000000119,46660,137047,20524,116523,-115122
2017-04-23,1.3604,1.42,1.31,0.10999999999999988,-0.10999999999999988,1.38,1.43,1.34,0.08999999999999986,-0.08999999999999986,1.312,1.32,1.3,0.020000000000000018,-0.010000000000000009,1.34,1.37,1.31,0.06000000000000005,-0.020000000000000018,47491,107546,11636,95910,-82520
2017-04-30,1.3134000000000001,1.36,1.288,0.07200000000000006,-0.07200000000000006,1.332,1.36,1.31,0.050000000000000044,-0.030000000000000027,1.268,1.28,1.25,0.030000000000000027,0.0,1.286,1.3,1.28,0.020000000000000018,0.010000000000000009,32952,55264,5584,49680,-49680
2017-05-07,1.2953999999999999,1.3219999999999998,1.26,0.06199999999999983,-0.021999999999999797,1.336,1.41,1.29,0.11999999999999988,0.08800000000000008,1.27,1.3,1.26,0.040000000000000036,0.040000000000000036,1.312,1.38,1.27,0.10999999999999988,0.06999999999999984,30270,50965,15500,35465,21013
2017-05-14,1.4203999999999999,1.44,1.4,0.040000000000000036,0.030000000000000027,1.4514,1.47,1.44,0.030000000000000027,-0.010000000000000009,1.3921999999999999,1.43,1.36,0.06999999999999984,0.04899999999999993,1.4238,1.43,1.409,0.020999999999999908,0.0,21444,29782,1507,28275,-28275
