Date,Guggenheim CurrencyShares Swedish Krona_Open_average,Guggenheim CurrencyShares Swedish Krona_Open_max,Guggenheim CurrencyShares Swedish Krona_Open_min,Guggenheim CurrencyShares Swedish Krona_High_average,Guggenheim CurrencyShares Swedish Krona_High_max,Guggenheim CurrencyShares Swedish Krona_High_min,Guggenheim CurrencyShares Swedish Krona_Low_average,Guggenheim CurrencyShares Swedish Krona_Low_max,Guggenheim CurrencyShares Swedish Krona_Low_min,Guggenheim CurrencyShares Swedish Krona_Close_average,Guggenheim CurrencyShares Swedish Krona_Close_max,Guggenheim CurrencyShares Swedish Krona_Close_min
2019-05-26,-0.45103809206957285,-0.45103809206957285,-0.45103809206957285,-0.33532073057615047,-0.33532073057615047,-0.33532073057615047,-0.4479783953331682,-0.4479783953331682,-0.4479783953331682,-0.3266898749423265,-0.3266898749423265,-0.3266898749423265
2019-06-02,-0.0578010952508396,-0.0578010952508396,-0.0578010952508396,-0.12672462982636565,-0.12672462982636565,-0.12672462982636565,-0.027928524100911376,-0.027928524100911376,-0.027928524100911376,-0.1017265447288854,-0.1017265447288854,-0.1017265447288854
2019-06-09,-0.39099848179962715,-0.39099848179962715,-0.39099848179962715,-0.4692502126313939,-0.4692502126313939,-0.4692502126313939,-0.36898957061337045,-0.36898957061337045,-0.36898957061337045,-0.44472530757397694,-0.44472530757397694,-0.44472530757397694
2019-06-16,0.7555648842065646,0.7555648842065646,0.7555648842065646,0.8692868762802453,0.8692868762802453,0.8692868762802453,0.7845629281187575,0.7845629281187575,0.7845629281187575,0.8813187501388846,0.8813187501388846,0.8813187501388846
2019-06-23,0.572207685361482,0.572207685361482,0.572207685361482,0.47261607728171096,0.47261607728171096,0.47261607728171096,0.603076237233647,0.603076237233647,0.603076237233647,0.49489483115761973,0.49489483115761973,0.49489483115761973
2019-06-30,-0.11794879830171663,-0.11794879830171663,-0.11794879830171663,-0.2216635557020627,-0.2216635557020627,-0.2216635557020627,-0.10137892779877906,-0.10137892779877906,-0.10137892779877906,-0.19942254623077893,-0.19942254623077893,-0.19942254623077893
2019-07-07,0.9593335460331178,0.9593335460331178,0.9593335460331178,0.7977374335667543,0.7977374335667543,0.7977374335667543,0.9583600921266294,0.9583600921266294,0.9583600921266294,0.8022219863130975,0.8022219863130975,0.8022219863130975
2019-07-14,0.5349694532235805,0.5349694532235805,0.5349694532235805,0.43284129516302244,0.43284129516302244,0.43284129516302244,0.49165027649519866,0.49165027649519866,0.49165027649519866,0.39533011319173006,0.39533011319173006,0.39533011319173006
2019-07-21,-0.4996149544737665,-0.4996149544737665,-0.4996149544737665,-0.3984088027657033,-0.3984088027657033,-0.3984088027657033,-0.5169006106428838,-0.5169006106428838,-0.5169006106428838,-0.3943726207224731,-0.3943726207224731,-0.3943726207224731
2019-07-28,-0.9619864415516812,-0.9619864415516812,-0.9619864415516812,-1.0313791962084506,-1.0313791962084506,-1.0313791962084506,-1.76516614314453,-1.76516614314453,-1.76516614314453,-1.7939066070835954,-1.7939066070835954,-1.7939066070835954
