Date,VelocityShares 3x Long Silver linked to S&P GSCI S_Open_average,VelocityShares 3x Long Silver linked to S&P GSCI S_Open_max,VelocityShares 3x Long Silver linked to S&P GSCI S_Open_min,VelocityShares 3x Long Silver linked to S&P GSCI S_High_average,VelocityShares 3x Long Silver linked to S&P GSCI S_High_max,VelocityShares 3x Long Silver linked to S&P GSCI S_High_min,VelocityShares 3x Long Silver linked to S&P GSCI S_Low_average,VelocityShares 3x Long Silver linked to S&P GSCI S_Low_max,VelocityShares 3x Long Silver linked to S&P GSCI S_Low_min,VelocityShares 3x Long Silver linked to S&P GSCI S_Close_average,VelocityShares 3x Long Silver linked to S&P GSCI S_Close_max,VelocityShares 3x Long Silver linked to S&P GSCI S_Close_min
2019-01-27,1.313670689289728,1.313670689289728,1.313670689289728,1.364707342441098,1.364707342441098,1.364707342441098,1.3819859612473717,1.3819859612473717,1.3819859612473717,1.353877115419781,1.353877115419781,1.353877115419781
2019-02-03,0.9431051847842136,0.9431051847842136,0.9431051847842136,0.9363089463641304,0.9363089463641304,0.9363089463641304,0.9861891148226345,0.9861891148226345,0.9861891148226345,0.899774085114885,0.899774085114885,0.899774085114885
2019-02-10,0.7132155255862886,0.7132155255862886,0.7132155255862886,0.8131649932518569,0.8131649932518569,0.8131649932518569,0.6552193358347234,0.6552193358347234,0.6552193358347234,0.8773542528145125,0.8773542528145125,0.8773542528145125
2019-02-17,1.0940423916905309,1.0940423916905309,1.0940423916905309,0.9895583737168041,0.9895583737168041,0.9895583737168041,0.9824073584526883,0.9824073584526883,0.9824073584526883,0.8916601092629955,0.8916601092629955,0.8916601092629955
2019-02-24,-0.8956189034307876,-0.8956189034307876,-0.8956189034307876,-1.0241412751307677,-1.0241412751307677,-1.0241412751307677,-0.9240865557961562,-0.9240865557961562,-0.9240865557961562,-1.0139657829307998,-1.0139657829307998,-1.0139657829307998
2019-03-03,-0.6395854792781144,-0.6395854792781144,-0.6395854792781144,-0.8101776740023744,-0.8101776740023744,-0.8101776740023744,-0.7827736692964791,-0.7827736692964791,-0.7827736692964791,-0.7132935582303707,-0.7132935582303707,-0.7132935582303707
2019-03-10,-0.7161034127741092,-0.7161034127741092,-0.7161034127741092,-0.7828890487870314,-0.7828890487870314,-0.7828890487870314,-0.7666836601805653,-0.7666836601805653,-0.7666836601805653,-0.8969464356049744,-0.8969464356049744,-0.8969464356049744
2019-03-17,-0.5889075270293843,-0.5889075270293843,-0.5889075270293843,-0.543219881682726,-0.543219881682726,-0.543219881682726,-0.4568360597346624,-0.4568360597346624,-0.4568360597346624,-0.5049898700232732,-0.5049898700232732,-0.5049898700232732
2019-03-24,-1.57126197910113,-1.57126197910113,-1.57126197910113,-1.6117609390705083,-1.6117609390705083,-1.6117609390705083,-1.6473050196732346,-1.6473050196732346,-1.6473050196732346,-1.708079563418966,-1.708079563418966,-1.708079563418966
2019-03-31,-1.1367843280403611,-1.1367843280403611,-1.1367843280403611,-1.188457274117913,-1.188457274117913,-1.188457274117913,-1.1301802752777355,-1.1301802752777355,-1.1301802752777355,-1.0640359063234135,-1.0640359063234135,-1.0640359063234135
2019-04-07,-1.8328220558372283,-1.8328220558372283,-1.8328220558372283,-1.5502623933580058,-1.5502623933580058,-1.5502623933580058,-1.760417042579848,-1.760417042579848,-1.760417042579848,-1.539221491457736,-1.539221491457736,-1.539221491457736
2019-04-14,-1.2331458165896811,-1.2331458165896811,-1.2331458165896811,-1.2870305824020367,-1.2870305824020367,-1.2870305824020367,-1.1781486525019216,-1.1781486525019216,-1.1781486525019216,-1.2596441660260012,-1.2596441660260012,-1.2596441660260012
2019-04-21,-1.2326209999740956,-1.2326209999740956,-1.2326209999740956,-1.2784781100598974,-1.2784781100598974,-1.2784781100598974,-1.247413591049915,-1.247413591049915,-1.247413591049915,-1.2758172929825142,-1.2758172929825142,-1.2758172929825142
2019-04-28,-1.4176421508419765,-1.4176421508419765,-1.4176421508419765,-1.224819817341662,-1.224819817341662,-1.224819817341662,-1.3135912338211566,-1.3135912338211566,-1.3135912338211566,-1.1892554162816356,-1.1892554162816356,-1.1892554162816356
2019-05-05,-1.216903846560587,-1.216903846560587,-1.216903846560587,-1.296729108457417,-1.296729108457417,-1.296729108457417,-1.2644587141201935,-1.2644587141201935,-1.2644587141201935,-1.286554955628289,-1.286554955628289,-1.286554955628289
2019-05-12,-1.715605304907547,-1.715605304907547,-1.715605304907547,-1.721806824266964,-1.721806824266964,-1.721806824266964,-1.700910874875571,-1.700910874875571,-1.700910874875571,-1.7164156304563898,-1.7164156304563898,-1.7164156304563898
2019-05-19,-1.4038935278573579,-1.4038935278573579,-1.4038935278573579,-1.4819199458200172,-1.4819199458200172,-1.4819199458200172,-1.4047626209183028,-1.4047626209183028,-1.4047626209183028,-1.4843792297482672,-1.4843792297482672,-1.4843792297482672
2019-05-26,-0.9472203814519143,-0.9472203814519143,-0.9472203814519143,-0.7528116531307211,-0.7528116531307211,-0.7528116531307211,-0.9075575062014585,-0.9075575062014585,-0.9075575062014585,-0.7702654777430251,-0.7702654777430251,-0.7702654777430251
2019-06-02,-0.698998032148337,-0.698998032148337,-0.698998032148337,-0.7638646789599141,-0.7638646789599141,-0.7638646789599141,-0.880535505998937,-0.880535505998937,-0.880535505998937,-0.9270107424937645,-0.9270107424937645,-0.9270107424937645
2019-06-09,-0.2580135116527956,-0.2580135116527956,-0.2580135116527956,-0.3718394780247401,-0.3718394780247401,-0.3718394780247401,-0.3214389051360364,-0.3214389051360364,-0.3214389051360364,-0.4235045698287562,-0.4235045698287562,-0.4235045698287562
2019-06-16,1.281683103905961,1.281683103905961,1.281683103905961,1.589965343434742,1.589965343434742,1.589965343434742,1.473762828687465,1.473762828687465,1.473762828687465,1.6666039683241605,1.6666039683241605,1.6666039683241605
2019-06-23,0.8032150499411308,0.8032150499411308,0.8032150499411308,0.8999994466141426,0.8999994466141426,0.8999994466141426,0.684716360647308,0.684716360647308,0.684716360647308,0.46465872555594495,0.46465872555594495,0.46465872555594495
2019-06-30,0.3965620386294024,0.3965620386294024,0.3965620386294024,0.20802523704455136,0.20802523704455136,0.20802523704455136,0.34041152602435154,0.34041152602435154,0.34041152602435154,0.13163432457644528,0.13163432457644528,0.13163432457644528
2019-07-07,1.0755069746405772,1.0755069746405772,1.0755069746405772,1.2911004763949974,1.2911004763949974,1.2911004763949974,1.2308628642146648,1.2308628642146648,1.2308628642146648,1.4470060441545431,1.4470060441545431,1.4470060441545431
2019-07-14,2.8483011035718797,2.8483011035718797,2.8483011035718797,2.7831995247522734,2.7831995247522734,2.7831995247522734,2.854733518314618,2.854733518314618,2.854733518314618,2.816333342877591,2.816333342877591,2.816333342877591
2019-07-21,2.142796380526779,2.142796380526779,2.142796380526779,2.079176440659335,2.079176440659335,2.079176440659335,2.0900830590450754,2.0900830590450754,2.0900830590450754,2.0960544438174695,2.0960544438174695,2.0960544438174695
2019-07-28,1.6795270188844091,1.6795270188844091,1.6795270188844091,1.7045519153363318,1.7045519153363318,1.7045519153363318,1.5355983124789119,1.5355983124789119,1.5355983124789119,1.5673892108074392,1.5673892108074392,1.5673892108074392
2019-08-04,1.88008431325613,1.88008431325613,1.88008431325613,1.972818980606729,1.972818980606729,1.972818980606729,1.9372990154308767,1.9372990154308767,1.9372990154308767,1.945207777307772,1.945207777307772,1.945207777307772
