Date,PowerShares S&P EM Momentum Port_Open_average,PowerShares S&P EM Momentum Port_Open_max,PowerShares S&P EM Momentum Port_Open_min,PowerShares S&P EM Momentum Port_High_average,PowerShares S&P EM Momentum Port_High_max,PowerShares S&P EM Momentum Port_High_min,PowerShares S&P EM Momentum Port_Low_average,PowerShares S&P EM Momentum Port_Low_max,PowerShares S&P EM Momentum Port_Low_min,PowerShares S&P EM Momentum Port_Close_average,PowerShares S&P EM Momentum Port_Close_max,PowerShares S&P EM Momentum Port_Close_min
2019-05-26,1.0311485088284018,1.0311485088284018,1.0311485088284018,0.9760441015381832,0.9760441015381832,0.9760441015381832,1.0357517850866147,1.0357517850866147,1.0357517850866147,0.9222444235645512,0.9222444235645512,0.9222444235645512
2019-06-02,1.307829100734481,1.307829100734481,1.307829100734481,1.1317516949707818,1.1317516949707818,1.1317516949707818,1.2837986955636034,1.2837986955636034,1.2837986955636034,1.158078522055098,1.158078522055098,1.158078522055098
2019-06-09,0.9934962028778968,0.9934962028778968,0.9934962028778968,0.8294216857944621,0.8294216857944621,0.8294216857944621,0.9919774094298639,0.9919774094298639,0.9919774094298639,0.8551979512082492,0.8551979512082492,0.8551979512082492
2019-06-16,1.766366990442115,1.766366990442115,1.766366990442115,1.7748488732060625,1.7748488732060625,1.7748488732060625,1.7495147123747465,1.7495147123747465,1.7495147123747465,1.7806480632973702,1.7806480632973702,1.7806480632973702
2019-06-23,1.7697121855457911,1.7697121855457911,1.7697121855457911,1.6611404311193478,1.6611404311193478,1.6611404311193478,1.5954543525483227,1.5954543525483227,1.5954543525483227,1.5477243193407886,1.5477243193407886,1.5477243193407886
2019-06-30,1.4836797932591692,1.4836797932591692,1.4836797932591692,1.4407001817963752,1.4407001817963752,1.4407001817963752,1.5270671007680527,1.5270671007680527,1.5270671007680527,1.4735209181849314,1.4735209181849314,1.4735209181849314
2019-07-07,1.3875468087183074,1.3875468087183074,1.3875468087183074,1.3423359629413203,1.3423359629413203,1.3423359629413203,1.3929673096747708,1.3929673096747708,1.3929673096747708,1.3401401969965279,1.3401401969965279,1.3401401969965279
2019-07-14,1.2323864228096395,1.2323864228096395,1.2323864228096395,1.1994434070866973,1.1994434070866973,1.1994434070866973,1.1985918556228385,1.1985918556228385,1.1985918556228385,1.1728728896659997,1.1728728896659997,1.1728728896659997
2019-07-21,0.6589556377727585,0.6589556377727585,0.6589556377727585,0.7168917018883643,0.7168917018883643,0.7168917018883643,0.6976264234059971,0.6976264234059971,0.6976264234059971,0.7472533877459129,0.7472533877459129,0.7472533877459129
2019-07-28,-0.5945966949791275,-0.5945966949791275,-0.5945966949791275,-0.5704472898338113,-0.5704472898338113,-0.5704472898338113,-0.839730218161109,-0.839730218161109,-0.839730218161109,-0.8521260558099526,-0.8521260558099526,-0.8521260558099526
2019-08-04,-0.7284832495087842,-0.7284832495087842,-0.7284832495087842,-0.7074494868579008,-0.7074494868579008,-0.7074494868579008,-0.67476775495698,-0.67476775495698,-0.67476775495698,-0.6452241928116302,-0.6452241928116302,-0.6452241928116302
2019-08-11,-1.1632666843341426,-1.1632666843341426,-1.1632666843341426,-1.201265312987938,-1.201265312987938,-1.201265312987938,-1.3078018612925113,-1.3078018612925113,-1.3078018612925113,-1.261607123211888,-1.261607123211888,-1.261607123211888
2019-08-18,-1.7115031909709033,-1.7115031909709033,-1.7115031909709033,-1.7477787062933612,-1.7477787062933612,-1.7477787062933612,-1.5783254687578738,-1.5783254687578738,-1.5783254687578738,-1.608748195109557,-1.608748195109557,-1.608748195109557
2019-08-25,-0.6864921165419582,-0.6864921165419582,-0.6864921165419582,-0.7133685234652437,-0.7133685234652437,-0.7133685234652437,-0.7630396378700145,-0.7630396378700145,-0.7630396378700145,-0.7937135892193294,-0.7937135892193294,-0.7937135892193294
2019-09-01,-0.05341128595521026,-0.05341128595521026,-0.05341128595521026,-0.08566652574364125,-0.08566652574364125,-0.08566652574364125,-0.10550791108687398,-0.10550791108687398,-0.10550791108687398,-0.14282609827103462,-0.14282609827103462,-0.14282609827103462
2019-09-08,0.15292191623267204,0.15292191623267204,0.15292191623267204,0.11895535782624088,0.11895535782624088,0.11895535782624088,0.1583788475217144,0.1583788475217144,0.1583788475217144,0.11776576702950994,0.11776576702950994,0.11776576702950994
2019-09-15,-0.4434152115584491,-0.4434152115584491,-0.4434152115584491,-0.40753138550488055,-0.40753138550488055,-0.40753138550488055,-0.31652128516269223,-0.31652128516269223,-0.31652128516269223,-0.2878516208155047,-0.2878516208155047,-0.2878516208155047
2019-09-22,-0.6727972870487553,-0.6727972870487553,-0.6727972870487553,-0.6970189223364179,-0.6970189223364179,-0.6970189223364179,-0.548720797550275,-0.548720797550275,-0.548720797550275,-0.5749727373500738,-0.5749727373500738,-0.5749727373500738
