Date,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Open_average,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Open_max,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Open_min,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Open_volatility,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Open_change,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_High_average,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_High_max,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_High_min,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_High_volatility,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_High_change,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Low_average,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Low_max,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Low_min,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Low_volatility,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Low_change,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Close_average,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Close_max,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Close_min,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Close_volatility,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Close_change
2017-01-29,25.59,25.59,25.59,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.68,25.68,25.68,0.0,0.0
2017-02-05,25.61,25.61,25.61,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.63,25.63,25.63,0.0,0.0
2017-02-12,25.6,25.6,25.6,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0
2017-02-19,25.5,25.5,25.5,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.46,25.46,25.46,0.0,0.0
2017-02-26,25.68,25.68,25.68,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2017-03-05,25.64,25.64,25.64,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.78,25.78,25.78,0.0,0.0
2017-03-12,25.8,25.8,25.8,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.82,25.82,25.82,0.0,0.0
2017-03-19,25.77,25.77,25.77,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.8,25.8,25.8,0.0,0.0
2017-03-26,25.7,25.7,25.7,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.78,25.78,25.78,0.0,0.0
2017-04-02,25.75,25.75,25.75,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.79,25.79,25.79,0.0,0.0
2017-04-09,25.67,25.67,25.67,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.73,25.73,25.73,0.0,0.0
2017-04-16,25.8,25.8,25.8,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2017-04-23,25.65,25.65,25.65,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.71,25.71,25.71,0.0,0.0
2017-04-30,25.42,25.42,25.42,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.53,25.53,25.53,0.0,0.0
2017-05-07,25.57,25.57,25.57,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.55,25.55,25.55,0.0,0.0
2017-05-14,25.54,25.54,25.54,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.54,25.54,25.54,0.0,0.0
2017-05-21,25.52,25.52,25.52,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.57,25.57,25.57,0.0,0.0
2017-05-28,25.79,25.79,25.79,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.89,25.89,25.89,0.0,0.0
2017-06-04,25.67,25.67,25.67,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.68,25.68,25.68,0.0,0.0
2017-06-11,25.8,25.8,25.8,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.8,25.8,25.8,0.0,0.0
2017-06-18,26.09,26.09,26.09,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.09,26.09,26.09,0.0,0.0
2017-06-25,25.76,25.76,25.76,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.71,25.71,25.71,0.0,0.0,25.74,25.74,25.74,0.0,0.0
2017-07-02,25.75,25.75,25.75,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0
2017-07-09,26.08,26.08,26.08,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.2,26.2,26.2,0.0,0.0
2017-07-16,26.22,26.22,26.22,0.0,0.0,26.22,26.22,26.22,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.82,25.82,25.82,0.0,0.0
2017-07-23,25.81,25.81,25.81,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.77,25.77,25.77,0.0,0.0
2017-07-30,25.86,25.86,25.86,0.0,0.0,25.86,25.86,25.86,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.8,25.8,25.8,0.0,0.0
2017-08-06,25.58,25.58,25.58,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.62,25.62,25.62,0.0,0.0
2017-08-13,25.67,25.67,25.67,0.0,0.0,25.88,25.88,25.88,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.88,25.88,25.88,0.0,0.0
2017-08-20,25.88,25.88,25.88,0.0,0.0,25.89,25.89,25.89,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.83,25.83,25.83,0.0,0.0
2017-08-27,25.8,25.8,25.8,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.84,25.84,25.84,0.0,0.0
2017-09-03,25.81,25.81,25.81,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.94,25.94,25.94,0.0,0.0
2017-09-10,25.88,25.88,25.88,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.83,25.83,25.83,0.0,0.0
2017-09-17,26.13,26.13,26.13,0.0,0.0,26.15,26.15,26.15,0.0,0.0,26.06,26.06,26.06,0.0,0.0,26.14,26.14,26.14,0.0,0.0
